Name,ExportName,IsFruit,DeadExportName,FileName,TileWidth,TileHeight,TimeMin,FruitCount,ExpClear,InstantComplete,Tool,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,Price,CollectIconFileName,CollectIconExportName,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,ShopIconClipped,BirdCanLand,PendingRelease,BuySound
CacaoTree,cacao_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,2100,2,5,19,Saw,TID_CACAO_TREE,TID_CACAO_TREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,550,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,2100,3,,19,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,2100,4,,19,,,,,,,,,,,,,,,,
CoffeeBush,coffee_bush_stage_1,,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,1500,2,4,16,Axe,TID_COFFEE_BUSH,TID_COFFEE_BUSH_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,375,sc/icons.sc,tool_collect_eggs,,,,,,,Buy
,blueberry_bush_stage_2,,,,,,1500,3,,16,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1500,4,,16,,,,,,,,,,,,,,,,
OliveTree,olive_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,1440,2,4,16,Saw,TID_PRODUCT_OLIVETREE,TID_PRODUCT_OLIVETREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,620,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,1440,3,,16,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1440,4,,16,,,,,,,,,,,,,,,,
LemonTree,lemon_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,1800,2,4,17,Saw,TID_TREE_LEMONTREE,TID_TREE_LEMONTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,670,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,1800,3,,17,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1800,4,,17,,,,,,,,,,,,,,,,
PeachTree,peach_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,1800,2,4,17,Saw,TID_TREE_PEACHTREE,TID_TREE_PEACHTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,750,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,1800,3,,17,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1800,4,,17,,,,,,,,,,,,,,,,
OrangeTree,orange_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,1860,2,4,18,Saw,TID_TREE_ORANGETREE,TID_TREE_ORANGETREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,720,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,1860,3,,18,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1860,4,,18,,,,,,,,,,,,,,,,
BananaTree,blueberry_bush_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,1680,2,4,17,Saw,TID_TREE_BANANATREE,TID_TREE_BANANATREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,800,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,1680,3,,17,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1680,4,,17,,,,,,,,,,,,,,,,
PlumTree,plum_tree_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,1500,2,4,16,Saw,TID_PLUMTREE,TID_TREE_PLUMTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,600,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,1500,3,,16,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1500,4,,16,,,,,,,,,,,,,,,,
MangoTree,blueberry_bush_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,1920,2,4,18,Saw,TID_MANGOTREE,TID_TREE_MANGOTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,770,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,1920,3,,18,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1920,4,,18,,,,,,,,,,,,,,,,
CoconutTree,blueberry_bush_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,2160,2,4,19,Saw,TID_COCONUTTREE,TID_TREE_COCONUTTREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,810,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,2160,3,,19,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,2160,4,,19,,,,,,,,,,,,,,,,
GuavaTree,blueberry_bush_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,2040,2,4,19,Saw,TID_GUAVATREE,TID_TREE_GUAVATREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,860,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,2040,3,,19,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,2040,4,,19,,,,,,,,,,,,,,,,
PomegranateTree,blueberry_bush_stage_1,TRUE,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,1620,2,4,17,Saw,TID_POMEGRANATETREE,TID_TREE_POMEGRANATETREE_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,910,sc/icons.sc,tool_collect_eggs,,,,,TRUE,,Buy
,blueberry_bush_stage_2,,,,,,1620,3,,17,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,1620,4,,17,,,,,,,,,,,,,,,,
BlueberryBush,blueberry_bush_stage_1,,nectar_dandelion_stage_2,sc/fruit_trees_berrybushes.sc,1,1,2100,2,4,19,Axe,TID_BLUEBERRY_BUSH,TID_BLUEBERRY_BUSH_DESCRIPTION,BigPineTap,BigPineTap,BigPineCollect,550,sc/icons.sc,tool_collect_eggs,,,,,,,Buy
,blueberry_bush_stage_2,,,,,,2100,3,,19,,,,,,,,,,,,,,,,
,blueberry_bush_stage_3,,,,,,2100,4,,19,,,,,,,,,,,,,,,,
