Name,Index,TaskGroup,TaskType,Good,FarmPoints,XPLevelSegments,Amounts,TID,Probability,IconFileName,IconExportName
String,int,String,String,String,int,String,String,String,int,String,String
Easy_CollectFruit_Peach,18,Easy,CollectFruit,Peach,50,15;35;75;102,2;4;4;4;6,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Cherry,19,Easy,CollectFruit,Cherry,50,15;35;75;102,2;4;4;4;6,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Banana,20,Easy,CollectFruit,Banana,50,15;35;75;102,2;4;4;4;6,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Pomegranate,21,Easy,CollectFruit,Pomegranate,50,15;35;75;102,2;4;4;4;6,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Coffee,22,Easy,CollectFruit,Coffee,50,15;35;75;102,2;4;6;6;6,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Plum,23,Easy,CollectFruit,Plum,50,15;35;75;102,2;4;6;6;6,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Olive,24,Easy,CollectFruit,Olive,50,15;35;75;102,2;4;6;6;6,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Raspberry,25,Easy,CollectFruit,Raspberry,50,15;35;75;102,2;4;6;6;6,TID_TASK_COLLECT_FRUIT,1,,
Easy_CollectFruit_Apple,26,Easy,CollectFruit,Apple,50,15;35;75;102,2;4;6;6;6,TID_TASK_COLLECT_FRUIT,1,,
Easy_UseNet_Fish Meat,27,Easy,UseNet,Fish Meat,50,15;35;75;102,1;3;3;6;6,TID_FARM_PASS_TASK_CATCH_NET,1,,
Easy_CastNet_DuckTrap,28,Easy,CastNet,DuckTrap,50,15;35;75;102,1;1;1;1;2,TID_FARM_PASS_TASK_CAST_DUCK,1,,
Easy_CastNet_LobsterBox,29,Easy,CastNet,LobsterBox,50,15;35;75;102,1;1;1;1;2,TID_FARM_PASS_TASK_CAST_LOBSTER,1,,
Easy_CastNet_FishingNet,30,Easy,CastNet,FishingNet,50,15;35;75;102,1;1;2;3;5,TID_TASK_CAST_NET,1,,
Easy_CastNet_MysteryNet,31,Easy,CastNet,MysteryNet,50,15;35;75;102,1;1;1;1;1,TID_TASK_CAST_MYSTERY_NET,0,,
Easy_UseLure_BaitGreen,32,Easy,UseLure,BaitGreen,50,15;35;75;102,1;1;1;2;2,TID_TASK_USELURE,0,,
Easy_UseLure_BaitBlue,33,Easy,UseLure,BaitBlue,50,15;35;75;102,1;1;1;2;2,TID_TASK_USELURE,0,,
Easy_UseLure_BaitPurple,34,Easy,UseLure,BaitPurple,50,15;35;75;102,1;1;1;1;1,TID_TASK_USELURE,0,,
Easy_UseLure_BaitGold,35,Easy,UseLure,BaitGold,50,15;35;75;102,1;1;1;1;1,TID_TASK_USELURE,0,,
Easy_ActivateBooster,36,Easy,ActivateBooster,,50,15;35;75;102,1;1;1;2;2,TID_FARM_PASS_TASK_ACTIVATE_BOOSTER,1,sc/icons.sc,booster_menu_icon
Easy_PutStuffToRss,37,Easy,PutStuffToRss,,50,15;35;75;102,1;5;10;15;20,TID_FARM_PASS_TASK_SELL_RSS,1,sc/icons.sc,task_icon_roadside_shop
Easy_CompletePeopleOrder,38,Easy,CompletePeopleOrder,,50,15;35;75;102,1;1;2;3;4,TID_FARM_PASS_TASK_SELL_FARM_VISITORS,1,sc/icons.sc,task_icon_complete_visitor_order
Easy_GiveHelp,39,Easy,GiveHelp,,50,15;35;75;102,1;1;3;5;10,TID_FARM_PASS_TASK_HELP_OTHERS,1,sc/icons.sc,tool_request_help
Easy_WheelOfFortune,40,Easy,WheelOfFortune,,50,15;35;75;102,1;1;1;1;1,TID_FARM_PASS_TASK_SPIN_WHEEL,1,sc/icons.sc,task_icon_free_wof_spin
Easy_FinishDerbyTask,41,Easy,FinishDerbyTask,,50,15;35;75;102,1;1;1;1;1,TID_FARM_PASS_TASK_DERBY,1,sc/icons.sc,nh_derby_building_icon
Easy_VisitSanctuary,42,Easy,VisitSanctuary,,50,15;35;75;102,1;1;1;1;1,TID_FARM_PASS_TASK_VISIT_SANCTUARY,0,sc/icons.sc,icon_sanctuary
Easy_FeedSanctuaryAnimal,43,Easy,FeedSanctuaryAnimal,,50,15;35;75;102,1;1;1;1;2,TID_FARM_PASS_TASK_FEED_SANCTUARY,1,sc/icons.sc,tool_feed_herbivore
Easy_WakeupSanctuaryAnimal,44,Easy,WakeupSanctuaryAnimal,,50,15;35;75;102,1;1;1;1;2,TID_FARM_PASS_TASK_WAKE_SANCTUARY,1,sc/icons.sc,icon_sanctuary
Easy_PickupTownVisitor,45,Easy,PickupTownVisitor,,50,15;35;75;102,1;1;1;2;3,TID_FARM_PASS_TASK_PICK_UP_VISITORS,0,sc/train_icons.sc,icon_personal_train_lvl1
Easy_CollectDerbyPoints,46,Easy,CollectDerbyPoints,,50,15;35;75;102,50;50;50;50;50,TID_FARM_PASS_TASK_DERBYPOINTS,1,sc/icons.sc,nh_derby_building_icon
Easy_ServiceTownVisitor,47,Easy,ServiceTownVisitor,,50,15;35;75;102,1;1;1;2;3,TID_FARM_PASS_TASK_SERVE_TOWNIES,1,sc/train_icons.sc,icon_personal_train_lvl1
Easy_ServiceTownBuilding_Grocery Store,48,Easy,ServiceTownBuilding,Grocery Store,50,15;35;75;102,1;1;1;2;3,TID_FARM_PASS_TASK_SERVE_GROCERYSTORE,1,sc/train_icons.sc,shop_icon_store_lvl1
Easy_ServiceTownBuilding_Movietheater,49,Easy,ServiceTownBuilding,Movietheater,50,15;35;75;102,1;1;1;2;3,TID_FARM_PASS_TASK_SERVE_MOVIETHEATER,1,sc/train_icons.sc,shop_icon_movietheater_lvl1
Easy_ServiceTownBuilding_Diner,50,Easy,ServiceTownBuilding,Diner,50,15;35;75;102,1;1;1;2;3,TID_FARM_PASS_TASK_SERVE_DINER,1,sc/train_icons.sc,shop_icon_diner_lvl1
Easy_ServiceTownBuilding_Bed and Breakfast,51,Easy,ServiceTownBuilding,Bed and Breakfast,50,15;35;75;102,1;1;1;1;2,TID_FARM_PASS_TASK_SERVE_BEDBREAKFAST,1,sc/train_icons.sc,shop_icon_bb_lvl1
Easy_ServiceTownBuilding_Spa,52,Easy,ServiceTownBuilding,Spa,50,15;35;75;102,1;1;1;1;2,TID_FARM_PASS_TASK_SERVE_SPA,1,sc/train_icons.sc,shop_icon_spa_lvl1
Easy_ServiceTownBuilding_Gift shop,53,Easy,ServiceTownBuilding,Gift shop,50,15;35;75;102,1;1;1;1;2,TID_FARM_PASS_TASK_SERVE_GIFTSHOP,1,sc/train_icons.sc,shop_icon_souvenier_lvl1
Easy_ServiceTownBuilding_Beach cafe,54,Easy,ServiceTownBuilding,Beach cafe,50,15;35;75;102,1;1;1;1;2,TID_FARM_PASS_TASK_SERVE_BEACHCAFE,1,sc/train_icons.sc,shop_icon_beachbar_lvl1
Easy_CollectBuilding_Bakery,55,Easy,CollectBuilding,Bakery,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Cafe_Kiosk,56,Easy,CollectBuilding,Cafe_Kiosk,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Essentials_Oil_Lab,57,Easy,CollectBuilding,Essentials_Oil_Lab,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Barbecue_Grill,58,Easy,CollectBuilding,Barbecue_Grill,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Cake_Oven,59,Easy,CollectBuilding,Cake_Oven,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Deep_Fryer,60,Easy,CollectBuilding,Deep_Fryer,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Donut_Maker,61,Easy,CollectBuilding,Donut_Maker,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Flowershop,62,Easy,CollectBuilding,Flowershop,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Ice_Cream_Maker,63,Easy,CollectBuilding,Ice_Cream_Maker,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Pasta_Maker,64,Easy,CollectBuilding,Pasta_Maker,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Perfumerie,65,Easy,CollectBuilding,Perfumerie,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Sauce_Mixer,66,Easy,CollectBuilding,Sauce_Mixer,50,15;35;75;102,2;2;3;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Dairy,67,Easy,CollectBuilding,Dairy,50,15;35;75;102,2;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Fondue_Maker,68,Easy,CollectBuilding,Fondue_Maker,50,15;35;75;102,2;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Honey_Extractor,69,Easy,CollectBuilding,Honey_Extractor,50,15;35;75;102,2;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Porridge_Bar,70,Easy,CollectBuilding,Porridge_Bar,50,15;35;75;102,2;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Sugar_Mill,71,Easy,CollectBuilding,Sugar_Mill,50,15;35;75;102,2;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Tea_Stand,72,Easy,CollectBuilding,Tea_Stand,50,15;35;75;102,2;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Sandwich_Bar,73,Easy,CollectBuilding,Sandwich_Bar,50,15;35;75;102,2;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Waffle_Maker,74,Easy,CollectBuilding,Waffle_Maker,50,15;35;75;102,2;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Candy_Machine,75,Easy,CollectBuilding,Candy_Machine,50,15;35;75;102,2;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Hotdog_Stand,76,Easy,CollectBuilding,Hotdog_Stand,50,15;35;75;102,2;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Juice_Press,77,Easy,CollectBuilding,Juice_Press,50,15;35;75;102,2;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Loom,78,Easy,CollectBuilding,Loom,50,15;35;75;102,1;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Milkshake_Bar,79,Easy,CollectBuilding,Milkshake_Bar,50,15;35;75;102,1;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Popcorn_Pot,80,Easy,CollectBuilding,Popcorn_Pot,50,15;35;75;102,1;2;2;3;5,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Smoothie_Mixer,81,Easy,CollectBuilding,Smoothie_Mixer,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Cupcake_Maker,82,Easy,CollectBuilding,Cupcake_Maker,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Omelet_Maker,83,Easy,CollectBuilding,Omelet_Maker,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Yoghurt_Maker,84,Easy,CollectBuilding,Yoghurt_Maker,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Pie_Oven,85,Easy,CollectBuilding,Pie_Oven,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Salad_Bar,86,Easy,CollectBuilding,Salad_Bar,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Sewing_Machine,87,Easy,CollectBuilding,Sewing_Machine,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Sushi_Bar,88,Easy,CollectBuilding,Sushi_Bar,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Taco_Kitchen,89,Easy,CollectBuilding,Taco_Kitchen,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Wok_Kitchen,90,Easy,CollectBuilding,Wok_Kitchen,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Bath_Kiosk,91,Easy,CollectBuilding,Bath_Kiosk,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Jeweler,92,Easy,CollectBuilding,Jeweler,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Pasta_Kitchen,93,Easy,CollectBuilding,Pasta_Kitchen,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Soup_Kitchen,94,Easy,CollectBuilding,Soup_Kitchen,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Fudge_Shop,95,Easy,CollectBuilding,Fudge_Shop,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Stew_Pot,96,Easy,CollectBuilding,Stew_Pot,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Candle_Maker,97,Easy,CollectBuilding,Candle_Maker,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Hat_Maker,98,Easy,CollectBuilding,Hat_Maker,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Preservation_Station,99,Easy,CollectBuilding,Preservation_Station,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Pottery_Studio,100,Easy,CollectBuilding,Pottery_Studio,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Jam_Maker,101,Easy,CollectBuilding,Jam_Maker,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_CollectBuilding_Smelter,102,Easy,CollectBuilding,Smelter,50,15;35;75;102,1;2;2;3;3,TID_FARM_PASS_TASK_COLLECT_BUILDING,1,,
Easy_HarvestField_Strawberry,103,Easy,HarvestField,Strawberry,50,15;35;75;102,5;5;5;5;10,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_TeaLeaves,104,Easy,HarvestField,TeaLeaves,50,15;35;75;102,5;5;5;5;10,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Tomato,105,Easy,HarvestField,Tomato,50,15;35;75;102,5;5;5;5;10,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Asparagus,106,Easy,HarvestField,Asparagus,50,15;35;75;102,5;5;5;5;10,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Onion,107,Easy,HarvestField,Onion,50,15;35;75;102,5;5;5;5;10,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Watermelon,108,Easy,HarvestField,Watermelon,50,15;35;75;102,5;5;5;5;10,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Bellpepper,109,Easy,HarvestField,Bellpepper,50,15;35;75;102,6;6;6;12;12,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Peony,110,Easy,HarvestField,Peony,50,15;35;75;102,6;6;6;12;12,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Chili,111,Easy,HarvestField,Chili,50,15;35;75;102,6;6;6;12;12,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Potato,112,Easy,HarvestField,Potato,50,15;35;75;102,6;6;6;12;12,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Lettuce,113,Easy,HarvestField,Lettuce,50,15;35;75;102,6;6;6;12;12,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Grapes,114,Easy,HarvestField,Grapes,50,15;35;75;102,6;6;6;12;12,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Mint,115,Easy,HarvestField,Mint,50,15;35;75;102,6;6;6;12;12,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Pumpkin,116,Easy,HarvestField,Pumpkin,50,15;35;75;102,6;6;6;12;12,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Cotton,117,Easy,HarvestField,Cotton,50,15;35;75;102,6;6;6;12;12,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Ginger,118,Easy,HarvestField,Ginger,50,15;35;75;102,6;6;6;12;12,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Indigo,119,Easy,HarvestField,Indigo,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Clay,120,Easy,HarvestField,Clay,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Lily,121,Easy,HarvestField,Lily,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Sunflower,122,Easy,HarvestField,Sunflower,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Broccoli,123,Easy,HarvestField,Broccoli,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Sesame,124,Easy,HarvestField,Sesame,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_PassionFruit,125,Easy,HarvestField,PassionFruit,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Chickpea,126,Easy,HarvestField,Chickpea,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Rice,127,Easy,HarvestField,Rice,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Cabbage,128,Easy,HarvestField,Cabbage,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Beetroot,129,Easy,HarvestField,Beetroot,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Eggplant,130,Easy,HarvestField,Eggplant,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Cucumber,131,Easy,HarvestField,Cucumber,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Pineapple,132,Easy,HarvestField,Pineapple,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Garlic,133,Easy,HarvestField,Garlic,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Sugarcane,134,Easy,HarvestField,Sugarcane,50,15;35;75;102,7;14;14;14;21,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Chamomile,135,Easy,HarvestField,Chamomile,50,15;35;75;102,8;16;24;24;24,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Mushroom,136,Easy,HarvestField,Mushroom,50,15;35;75;102,8;16;24;24;24,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Soybean,137,Easy,HarvestField,Soybean,50,15;35;75;102,8;16;24;24;24,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Carrot,138,Easy,HarvestField,Carrot,50,15;35;75;102,8;16;24;24;24,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Oats,139,Easy,HarvestField,Oats,50,15;35;75;102,8;16;24;24;24,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Corn,140,Easy,HarvestField,Corn,50,15;35;75;102,8;16;24;24;24,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_HarvestField_Wheat,141,Easy,HarvestField,Wheat,50,15;35;75;102,8;16;24;24;24,TID_FARM_PASS_TASK_HARVEST_CROP,1,,
Easy_BuyFruitTree_AppleTree,142,Easy,BuyFruitTree,AppleTree,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_CherryTree,143,Easy,BuyFruitTree,CherryTree,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_RaspberryBush,144,Easy,BuyFruitTree,RaspberryBush,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_BlackberryBush,145,Easy,BuyFruitTree,BlackberryBush,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_CacaoTree,146,Easy,BuyFruitTree,CacaoTree,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_CoffeeBush,147,Easy,BuyFruitTree,CoffeeBush,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_OliveTree,148,Easy,BuyFruitTree,OliveTree,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_LemonTree,149,Easy,BuyFruitTree,LemonTree,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_PeachTree,150,Easy,BuyFruitTree,PeachTree,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_OrangeTree,151,Easy,BuyFruitTree,OrangeTree,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_BananaTree,152,Easy,BuyFruitTree,BananaTree,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_PlumTree,153,Easy,BuyFruitTree,PlumTree,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_MangoTree,154,Easy,BuyFruitTree,MangoTree,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
Easy_BuyFruitTree_CoconutTree,155,Easy,BuyFruitTree,CoconutTree,50,15;35;75;102,1;1;2;3;5,TID_TASK_PLANT_TREE,1,,
