Name,FileName,ExportName,TimeMin,TimeSec,TileWidth,TileHeight,Piece,PieceTileX,PieceTileY,PieceMirrored,ShopIconFileName,ShopIconExportName,Animal,Capacity,Price,CollectIconFileName,CollectIconExportName,TID,MaxHabitatsColumnName,BuySound,RandomSounds,TapSound,ShopDescriptionTID,NewResidentPanicTime,PendingRelease
PigHabitat,sc/buildings_new.sc,pasture_pig,,,4,4,Fence_Pig01_Back,,,,sc/icons.sc,shop_icon_pigpen,Pig,5,150,sc/icons.sc,tool_collect_bacon,TID_PIG_HABITAT,MaxPigHabitats,Buy,RandomPigs,MenuBleep,TID_PIG_HABITAT_SHOP_DESCRIPTION,,
,,,,,,,Fence_Pig01_Back,,1,,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Back,,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Back,,3,,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Back,,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Back,1,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Pig_Trough_01,2,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Back,3,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Front,4,,,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Front,4,1,,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Front,4,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Front,4,3,,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Front,,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Front,1,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Front,2,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Pig01_Front,3,4,TRUE,,,,,,,,,,,,,,,
SheepHabitat,sc/buildings_new.sc,pasture_sheep,,,4,4,Fence_Sheep01_Back,,,,sc/icons.sc,shop_icon_sheeppasture,Sheep,5,300,sc/icons.sc,tool_collect_wool,TID_SHEEP_HABITAT,MaxSheepHabitats,Buy,RandomSheep,MenuBleep,TID_SHEEP_HABITAT_SHOP_DESCRIPTION,,
,,,,,,,Fence_Sheep01_Back,,1,,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Back,,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Back,,3,,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Back,,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Sheep_Trough_01,1,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Back,2,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Back,3,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Front,4,,,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Front,4,1,,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Front,4,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Front,4,3,,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Front,,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Front,1,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Front,2,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Sheep01_Front,3,4,TRUE,,,,,,,,,,,,,,,
GoatHabitat,sc/buildings_new.sc,pasture_goat,,,3,3,Fence_Goat01,,,,sc/icons.sc,shop_icon_goatyard,Goat,4,1000,sc/icons.sc,tool_collect_milk,TID_GOAT_HABITAT,MaxGoatHabitats,Buy,RandomGoats,MenuBleep,TID_GOAT_HABITAT_SHOP_DESCRIPTION,,
,,,,,,,Fence_Goat01,,1,,,,,,,,,,,,,,,,
,,,,,,,Fence_Goat01,,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Goat01,,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Goat01,1,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Goat01,2,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Goat01,3,,,,,,,,,,,,,,,,,
,,,,,,,Fence_Goat01,3,1,,,,,,,,,,,,,,,,
,,,,,,,Fence_Goat01,3,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Goat01,,3,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Goat01,1,3,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Goat01,2,3,TRUE,,,,,,,,,,,,,,,
LambHabitat,sc/buildings_new.sc,pasture_lamb,,,4,4,Fence_Lamb01,,,,sc/icons.sc,shop_icon_lambpasture,Lamb,5,500,sc/icons.sc,tool_collect_lamb,TID_LAMB_HABITAT,MaxLambHabitats,Buy,RandomLamb,MenuBleep,TID_LAMB_HABITAT_SHOP_DESCRIPTION,,
,,,,,,,Lamb_Trough_01,,1,,,,,,,,,,,,,,,,
,,,,,,,Lamb_Hay,,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb02,,3,,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb03,,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb04,1,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb04,2,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb04,3,,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb05,4,,,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb03,4,1,,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb03,4,2,,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb03,4,3,,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb04,,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb02,1,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb02,2,4,TRUE,,,,,,,,,,,,,,,
,,,,,,,Fence_Lamb02,3,4,TRUE,,,,,,,,,,,,,,,
