Name,TID,FileName,ExportName,MovementExportName,CatchExportName,CollectingStateDurationMS,SpawnDelayMS,FlipFacing,MovementBehavior,SpawnSound,CatchSound,CatchReward,CatchCoins,CatchXp,MaxRewardedCatchesPerDay,MaxRewardedCatchesPerEvent,CollectionText,Size,TileWidth,TileHeight
GhostPirate,TID_GHOST_PIRATE_NAME,sc/seasonal_creatures.sc,ghost_pirate_idle,ghost_pirate_idle,ghost_collect,800,960,FALSE,ChillGhost,GhostCommonSpawn,GhostCommonCollect,Product,10,5,2,10,TID_GHOST_PIRATE_TEXT,70,,
GhostWitch,TID_GHOST_WITCH_NAME,sc/seasonal_creatures.sc,ghost_witch_idle,ghost_witch_idle,ghost_collect,800,960,FALSE,ChillGhost,GhostRareSpawn,GhostRareCollect,Diamond,20,10,1,1,TID_GHOST_WITCH_TEXT,70,,
MalamuteRudolf,TID_MALAMUTE_RUDOLF_NAME,sc/seasonal_creatures.sc,dog01_malamute_rudolf_idle01,dog01_malamute_rudolf_run01,icy_collect_fx,800,960,FALSE,HuskySantaGroundFollower,HuskyRareSpawn,HuskyRareCollect,Tool,20,10,1,10,TID_MALAMUTE_RUDOLF_TEXT,100,,
MalamuteElf,TID_MALAMUTE_ELF_NAME,sc/seasonal_creatures.sc,dog01_malamute_elf_idle01,dog01_malamute_elf_walk01,icy_collect_fx,800,960,FALSE,TruckGroundFollower,HuskyCommonSpawn,HuskyCommonCollect,Product,20,10,2,10,TID_MALAMUTE_ELF_TEXT,100,,
MalamuteJumper,TID_MALAMUTE_JUMPER_NAME,sc/seasonal_creatures.sc,dog01_malamute_jumper_idle01,dog01_malamute_jumper_walk01,icy_collect_fx,800,960,FALSE,TomGroundFollower,HuskyCommonSpawn,HuskyCommonCollect,Product,20,10,2,10,TID_MALAMUTE_JUMPER_TEXT,100,,
MalamuteChicken,TID_MALAMUTE_CHICKEN_NAME,sc/seasonal_creatures.sc,dog01_malamute_chicken_idle01,dog01_malamute_chicken_walk01,icy_collect_fx,800,960,FALSE,ChillGround,HuskyRareSpawn,HuskyRareCollect,Upgrade,20,10,1,5,TID_MALAMUTE_CHICKEN_TEXT,100,,
MalamuteGift,TID_MALAMUTE_GIFT_NAME,sc/seasonal_creatures.sc,dog01_malamute_giftbox_idle01,dog01_malamute_giftbox_walk01,icy_collect_fx,800,960,FALSE,RoseGroundFollower,HuskyRareSpawn,HuskyRareCollect,Tool,20,10,1,10,TID_MALAMUTE_GIFT_TEXT,100,,
HuskyGift,TID_HUSKY_GIFT_NAME,sc/seasonal_creatures.sc,dog01_husky_giftbox_idle01,dog01_husky_giftbox_walk01,icy_collect_fx,800,960,FALSE,EarnestGroundFollower,HuskyRareSpawn,HuskyRareCollect,Tool,20,10,1,10,TID_HUSKY_GIFT_TEXT,100,,
HuskySanta,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,dog01_husky_santa_idle01,dog01_husky_santa_walk01,icy_collect_fx,800,960,FALSE,SlowGround,HuskyRareSpawn,HuskyRareCollect,Voucher,20,10,1,3,TID_HUSKY_SANTA_TEXT,100,,
HuskyElf,TID_HUSKY_ELF_NAME,sc/seasonal_creatures.sc,dog01_husky_hungry_elf_idle01,dog01_husky_hungry_elf_walk01,icy_collect_fx,800,960,FALSE,TruckGroundFollower,HuskyCommonSpawn,HuskyCommonCollect,Product,20,10,2,10,TID_HUSKY_ELF_TEXT,100,,
HuskyJumper,TID_HUSKY_JUMPER_NAME,sc/seasonal_creatures.sc,dog01_husky_jumper_idle01,dog01_husky_jumper_walk01,icy_collect_fx,800,960,FALSE,TomGroundFollower,HuskyCommonSpawn,HuskyCommonCollect,Product,20,10,2,10,TID_HUSKY_JUMPER_TEXT,100,,
HuskySnowman,TID_HUSKY_SNOWMAN_NAME,sc/seasonal_creatures.sc,dog01_husky_snowman_idle01,dog01_husky_snowman_walk01,icy_collect_fx,800,960,FALSE,BaptisteGroundFollower,HuskyRareSpawn,HuskyRareCollect,Expansion,20,10,1,5,TID_HUSKY_SNOWMAN_TEXT,100,,
HuskySantaSpecial,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,dog01_husky_santa_idle01,dog01_husky_santa_walk01,icy_collect_fx,800,960,FALSE,SlowGround,HuskyRareSpawn,HuskyRareCollect,SantaSpecial,20,10,1,3,TID_HUSKY_SANTA_TEXT,100,,
Chickzilla,TID_DECO_CHICKZILLA,sc/seasonal_creatures.sc,chickzilla_idle,chickzilla_walk,chickzilla_collect_fx,800,960,FALSE,Chickzilla,ChickRareSpawn,ChickRareCollect,Product,0,0,10,150,TID_HUSKY_SANTA_TEXT,100,1,1
ChickTilly,TID_DECO_TNTILLY,sc/seasonal_creatures.sc,chick01_tilly_idle,chick01_tilly_run3,chick_collect_fx,800,960,FALSE,ChickTilly,ChickCommonSpawn,ChickCommonCollect,Deco2,1,1,100,100,TID_HUSKY_SANTA_TEXT,100,,
ChickMysteryBox,TID_DECO_SNEAKY_BEAK,sc/seasonal_creatures.sc,chick01_mysterybox_idle,chick01_mysterybox_idle,chick01_mysterybox_collect,8000,960,FALSE,ChickMysteryBox,ChickCommonSpawn,ChickCommonCollect,Deco3,1,1,100,100,TID_HUSKY_SANTA_TEXT,100,,
ChickTom,TID_DECO_TINY_TOM,sc/seasonal_creatures.sc,chick01_tom_idle,chick01_tom_walk,chick_collect_fx,800,960,FALSE,ChickTom,ChickCommonSpawn,ChickCommonCollect,Deco4,1,1,100,100,TID_HUSKY_SANTA_TEXT,100,,
ChickBaptiste,TID_DECO_BEAKTISTE,sc/seasonal_creatures.sc,chick01_baptiste_idle,chick01_baptiste_walk,chick_baptiste_collect_fx,800,960,FALSE,ChickBaptiste,ChickCommonSpawn,ChickCommonCollect,Deco5,1,1,100,100,TID_HUSKY_SANTA_TEXT,100,,
ChickCapybara,TID_DECO_CAPY_COWBOY,sc/seasonal_creatures.sc,chick01_capybara_idle,chick01_capybara_walk,chick_capybara_collect_fx,800,960,FALSE,ChickCapybara,ChickCommonSpawn,ChickCommonCollect,Deco6,1,1,100,100,TID_HUSKY_SANTA_TEXT,100,,
ChickBubble,TID_DECO_GREAT_HATCHINI,sc/seasonal_creatures.sc,chick01_bubble_idle,chick01_bubble_float,chick_bubble_collect,2000,960,FALSE,ChickBubble,ChickCommonSpawn,ChickCommonCollect,Deco7,1,1,100,100,TID_HUSKY_SANTA_TEXT,100,,
ChickSign,TID_SEASONAL_CREATURE_SIGN_CHICK,sc/seasonal_creatures.sc,chick01_aprilfools_sign_idle,chick01_aprilfools_sign_walk,chick_collect_fx,800,960,FALSE,ChickSign,ChickCommonSpawn,ChickCommonCollect,Product,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
LambSnowy,TID_LAMB_SNOWY,sc/seasonal_creatures.sc,lamb01_snowy_idle01,lamb01_snowy_walk01,lamb_collect_fx,800,960,FALSE,LambSnowy,LambCommonSpawn,LambCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
LambFluff,TID_LAMB_FLUFF,sc/seasonal_creatures.sc,lamb01_fluff_idle01,lamb01_fluff_walk01,lamb_collect_fx,800,960,FALSE,LambFluff,LambCommonSpawn,LambCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
Note01,TID_NOTE_ONE,sc/seasonal_creatures.sc,sc_note_01_idle,sc_note_01_run,note_collect_fx,800,960,FALSE,Note01,MusicalNoteGeneralCommonSpawn,MusicalNoteTripletCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,60,,
Note02,TID_NOTE_TWO,sc/seasonal_creatures.sc,sc_note_02_idle,sc_note_02_run02,note_collect_fx,800,960,FALSE,Note02,MusicalNoteGeneralCommonSpawn,MusicalNoteBendyCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,60,,
Note03,TID_NOTE_THREE,sc/seasonal_creatures.sc,sc_note_03_idle,sc_note_03_run,note_collect_fx,800,960,FALSE,Note03,MusicalNoteGeneralCommonSpawn,MusicalNoteTripletCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,60,,
Note04,TID_NOTE_FOUR,sc/seasonal_creatures.sc,sc_note_04_idle,sc_note_04_run,note_collect_fx,800,960,FALSE,Note04,MusicalNoteGeneralCommonSpawn,MusicalNoteSingleCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,60,,
Note05,TID_NOTE_FIVE,sc/seasonal_creatures.sc,sc_note_05_idle,sc_note_05_run,note_collect_fx,800,960,FALSE,Note05,MusicalNoteGeneralRareSpawn,MusicalNoteBendyRareCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,60,,
Note06,TID_NOTE_SIX,sc/seasonal_creatures.sc,sc_note_06_idle,sc_note_06_run,note_collect_fx,800,960,FALSE,Note06,MusicalNoteGeneralRareSpawn,MusicalNoteSingleRareCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,60,,
Note07,TID_NOTE_SEVEN,sc/seasonal_creatures.sc,sc_note_07_idle,sc_note_07_run,note_collect_fx,800,960,FALSE,Note07,MusicalNoteGeneralRareSpawn,MusicalNoteTripletRareCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,60,,
Note08,TID_NOTE_EIGHT,sc/seasonal_creatures.sc,sc_note_08_idle,sc_note_08_run,note_collect_fx,800,960,FALSE,Note08,MusicalNoteGeneralRareSpawn,MusicalNoteTripletRareCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,60,,
CreaturePlaceholder11,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,chick01_aprilfools_sign_idle,chick01_aprilfools_sign_walk,chick_collect_fx,800,960,FALSE,ChickSign,ChickCommonSpawn,ChickCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
CreaturePlaceholder12,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,chick01_aprilfools_sign_idle,chick01_aprilfools_sign_walk,chick_collect_fx,800,960,FALSE,ChickSign,ChickCommonSpawn,ChickCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
CreaturePlaceholder13,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,chick01_aprilfools_sign_idle,chick01_aprilfools_sign_walk,chick_collect_fx,800,960,FALSE,ChickSign,ChickCommonSpawn,ChickCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
CreaturePlaceholder14,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,chick01_aprilfools_sign_idle,chick01_aprilfools_sign_walk,chick_collect_fx,800,960,FALSE,ChickSign,ChickCommonSpawn,ChickCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
CreaturePlaceholder15,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,chick01_aprilfools_sign_idle,chick01_aprilfools_sign_walk,chick_collect_fx,800,960,FALSE,ChickSign,ChickCommonSpawn,ChickCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
CreaturePlaceholder16,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,chick01_aprilfools_sign_idle,chick01_aprilfools_sign_walk,chick_collect_fx,800,960,FALSE,ChickSign,ChickCommonSpawn,ChickCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
CreaturePlaceholder17,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,chick01_aprilfools_sign_idle,chick01_aprilfools_sign_walk,chick_collect_fx,800,960,FALSE,ChickSign,ChickCommonSpawn,ChickCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
CreaturePlaceholder18,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,chick01_aprilfools_sign_idle,chick01_aprilfools_sign_walk,chick_collect_fx,800,960,FALSE,ChickSign,ChickCommonSpawn,ChickCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
CreaturePlaceholder19,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,chick01_aprilfools_sign_idle,chick01_aprilfools_sign_walk,chick_collect_fx,800,960,FALSE,ChickSign,ChickCommonSpawn,ChickCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
CreaturePlaceholder20,TID_HUSKY_SANTA_NAME,sc/seasonal_creatures.sc,chick01_aprilfools_sign_idle,chick01_aprilfools_sign_walk,chick_collect_fx,800,960,FALSE,ChickSign,ChickCommonSpawn,ChickCommonCollect,Deco1,1,1,100,200,TID_HUSKY_SANTA_TEXT,100,,
