Name,RewardsToChoose,Reward,RewardCount,RewardWeighting,FallbackReward,FallbackRewardCount,FakeReward,DiamondToCashRate
CoinsXLarge100,1,FreeCash,4000,1,,,,
CoinsXLarge9999,1,DiamondsAsCash,12,1,,,,V1
BoxSilo1,1,Box_Silo_1Star,1,1,,,,
BoxSilo3,1,Box_Silo_3Star,1,1,,,,
BoatCoinsSmall,1,FreeCash,500,1,,,,
BoatCoinsMed,1,FreeCash,1500,1,,,,
BoatToolsMix,1,Axe,2,1,,,,
,,Saw,2,1,,,,
,,Shovel,2,1,,,,
BoatCoinsSmallDouble,1,FreeCash,1000,1,,,,
BoatCoinsMedDouble,1,FreeCash,3000,1,,,,
BoatToolsMixDouble,1,Axe,4,1,,,,
,,Saw,4,1,,,,
,,Shovel,4,1,,,,
BoatHardBonusTools,1,Box_Tools_3Star,1,1,Box_Tools_1Star,1,,
Workbench_Green_Cog_Common_2,1,Workbench_Green_Cog_Common,2,1,FreeCash,800,,
Workbench_Blue_Cog_Common_2,1,Workbench_Blue_Cog_Common,2,1,FreeCash,800,,
Workbench_Silver_Cog_Rare_2,1,Workbench_Silver_Cog_Rare,2,1,FreeCash,1500,,
Workbench_Gold_Cog_Epic_2,1,Workbench_Gold_Cog_Epic,2,1,FreeCash,1500,,
Workbench_Purple_Cog_Mythic_2,1,Workbench_Purple_Cog_Mythic,2,1,FreeCash,1500,,
Material Pool 1,1,Workbench_Green_Cog_Common,6,4,FreeCash,800,,
,,Workbench_Blue_Cog_Common,6,4,FreeCash,800,,
Material Pool 2,1,Box_WorkbenchMaterials_1Star,1,8,FreeCash,1500,,
BoatHardBonusLandExpansion,1,Box_Expansion_1Star,1,3,FreeCash,2000,,
,,Puzzle Piece 1,1,1,Box_Tools_1Star,1,,
BoatMediumBonusLandExpanion,1,LandCommon,1,4,FreeCash,800,,
,,LandUncommon,1,3,FreeCash,800,,
,,LandRare,1,2,FreeCash,800,,
,,FreeCash,1500,10,,,,
,,Voucher1,2,2,FreeCash,800,,
,,Voucher2,2,2,FreeCash,800,,
,,Voucher3,2,12,FreeCash,800,,
,,Voucher4,2,6,FreeCash,800,,
,,Voucher5,2,1,Box_Tools_1Star,1,,
,,Puzzle Piece 1,1,1,Box_Tools_1Star,1,,
BoatNauticalMiles_LandPool,1,LandCommon,2,4,FreeCash,1000,,
,,LandUncommon,2,5,FreeCash,1000,,
,,LandRare,2,7,FreeCash,1000,,
BoatNauticalMiles_BoxCoinXP,1,Box_ExpOrCoins,1,1,,,,
BoatNauticalMiles_BoxLand2Star,1,Box_Expansion_2Star,1,1,FreeCash,2000,,
BoatNauticalMiles_PuzzlePiece,1,Puzzle Piece 1,1,1,FreeCash,1500,,
BoatNauticalMiles_BoxLand1Star,1,Box_Expansion_1Star,1,1,Box_Tools_1Star,1,,
BoatEasyBonusVouchers,1,Voucher1,1,12,FreeCash,800,,
,,Voucher2,1,6,FreeCash,800,,
,,Voucher3,1,3,FreeCash,800,,
,,Voucher4,1,1,FreeCash,800,,
,,Voucher5,1,1,FreeCash,800,,
BoatLegacy_BoxLand1Star,1,Box_Expansion_1Star,1,1,FreeCash,1000,,
GiftHorsePlaceholder,2,Axe,1,1,,,,
,,Saw,1,1,,,,
,,Shovel,1,1,,,,
,,Pickaxe,1,1,,,,
,,Dynamite,1,1,,,,
