,Hand Pies,
,Goat Cheese Toast,
,FishSkewer,
,Mushroom Pot Pie,
,Falafel,
,Stuffed Peppers,
,Eggplant Parmesan,
,Samosa,
,Hummus Wrap,
,Doner_Kebab_Stand,
,Soup_Kitchen,
,Sushi_Bar,
,Wok_Kitchen,
,Pasta_Kitchen,
,Hotdog_Stand,
,Omelet_Maker,
,Taco_Kitchen,
,Stew_Pot,
PG_DessertBuffet,Cookie,"[BROAD 74] (min level 10) sweet tooth, ice cream parlor, candy shop, cakes pies and pastries, all sweets and desserts"
,Carrot Pie,
,Pumpkin Pie,
,Raspberry Muffin,
,Carrot Cake,
,Berry Cake,
,Birthday Cake,
,Cheese Cake,
,Blackberry Muffin,
,Apple Pie,
,Blueberry Cheesecake,
,Blueberry Muffin,
,Strawberry Cake,
,Chocolate Cake,
,Honey Apple Cake,
,Fancy Cake,
,Chocolate Pie,
,Pineapple Cake,
,Lemon Pie,
,Lemon Cake,
,Peach Tart,
,Chocolate fondue,
,Gingerbread Cookie,
,Fruitcake,
,Passion Fruit Pie,
,Chocolate Roll,
,Tropical fondue,
,Macaroon,
,Pomegranate Cake,
,Pineapple coconut bars,
,Ice_Cream_Maker,
,Candy_Machine,
,Donut_Maker,
,Fudge_Shop,
,Cupcake_Maker,
,Waffle_Maker,
,Milkshake_Bar,
PG_FarmProduce,Egg,"[BROAD 68] (min level 1) raw produce, fresh ingredients, farm harvest, crops fruit and animal goods, anything grown or gathered"
,Wheat,
,Corn,
,Soybean,
,Milk,
,Sugarcane,
,Carrot,
,Bacon,
,Indigo,
,Apple,
,Pumpkin,
,Wool,
,Cotton,
,Raspberry,
,Cherry,
,BlackBean,
,Chili,
,Lamb Meat,
,Blackberry,
,Fish Meat,
,Blueberry,
,Tomato,
,Goat Milk,
,Strawberry,
,Potato,
,Cacao,
,Honeycomb,
,Coffee,
,Lobster Meat,
,Chamomile,
,Asparagus,
,Duck Down,
,Sesame,
,Pineapple,
,Lily,
,Rice,
,Olive,
,Lettuce,
,Garlic,
,PeanutBag,
,Sunflower,
,Cabbage,
,Lemon,
,Onion,
,Cucumber,
,Orange,
,Beetroot,
,Bellpepper,
,Peach,
,Ginger,
,TeaLeaves,
,Peony,
,Broccoli,
,Grapes,
,Mint,
,Banana,
,PassionFruit,
,Mushroom,
,Eggplant,
,Watermelon,
,Clay,
,Plum,
,Chickpea,
,Mango,
,Coconut,
,Guava,
,Pomegranate,
,Oats,
PG_HealthyEats,Roasted Tomatoes,"[BROAD 63] (min level 26) wholesome healthy eats, plant-based, vegan options, fitness food, light bites"
,Spicy Bean Doner,
,Tomato Soup,
,Pumpkin Soup,
,Asparagus Soup,
,Bean Salad,
,GreekSalad,
,Lettuce,
,VeggieBagel,
,Cabbage Soup,
,Grilled Asparagus,
,Grilled Onion,
,Cucumber,
,Onion Soup,
,Roast veggies,
,VeggieDip,
,Coleslaw,
,Beetroot salad,
,Tofu Dog,
,Spicy Bean Taco,
,PotatoSoup,
,Summer Rolls,
,PepperSoup,
,Fruit Salad,
,Summer Salad,
,Broccoli Soup,
,MushroomSalad,
,Tofu stir fry,
,Grilled Eggplant,
,Hummus,
,Falafel,
,MushroomSoup,
,Chickpea Stew,
,Hummus Wrap,
,Orange Salad,
,Apple porridge,
,Sweet porridge,
,Fresh porridge,
,Juice_Press,
,Smoothie_Mixer,
,Yoghurt_Maker,
PG_BakedGoods,Bread,"[BROAD 56] (min level 2) bakery and baked goods, breads and pastries, pies cakes and donuts, fresh from the oven, all oven treats"
,Corn Bread,
,Cookie,
,Raspberry Muffin,
,Blackberry Muffin,
,Blueberry Muffin,
,Potato Bread,
,Gingerbread Cookie,
,BananaBread,
,Macaroon,
,Pineapple coconut bars,
,Pie_Oven,
,Cake_Oven,
,Donut_Maker,
,Cupcake_Maker,
,Waffle_Maker,
PG_ArtisanCrafts,Loom,"[BROAD 48] (min level 17) gift shop, handmade goods, beauty and decor, home and lifestyle, all non-food crafts"
,Sewing_Machine,
,Jeweler,
,Candle_Maker,
,Flowershop,
,Essentials_Oil_Lab,
,Hat_Maker,
,Bath_Kiosk,
,Pottery_Studio,
,Perfumerie,
PG_GeneralStore,Egg,"[BROAD 48] (min level 1) everyday staples, anything goes, all-purpose basket, corner shop essentials, a bit of everything"
,Wheat,
,Bread,
,Cream,
,Milk,
,Brown_Sugar,
,Corn Bread,
,Butter,
,Carrot,
,Bacon,
,Cookie,
,Cheese,
,White Sugar,
,Apple,
,Syrup,
,Raspberry Muffin,
,Cherry,
,Apple Juice,
,Vanilla Ice Cream,
,Tomato,
,Goat Cheese,
,Apple Jam,
,Potato,
,Cacao,
,Honey,
,Potato Bread,
,Toffee,
,Chocolate,
,Lollipop,
,BerrySmoothie,
,Cabbage,
,Lemon,
,Tomato Sauce,
,Orange Juice,
,Marmelade,
,Green Tea,
,Gingerbread Cookie,
,Banana,
,Eggplant,
,BananaBread,
,Pickles,
,Ice Tea,
,Rich Fudge,
,Macaroon,
,Coconut Ice Cream,
,Dried Fruit,
,Pomegranate,
,Vanilla Milkshake,
PG_BigBreakfast,Egg,"[BROAD 45] (min level 1) hearty farmhouse breakfast, brunch spread, diner morning, eggs bacon and pancakes, bed and breakfast"
,Bread,
,Milk,
,Corn Bread,
,Pancakes,
,Bacon,
,Bacon and Eggs,
,Syrup,
,Raspberry Muffin,
,Blackberry Muffin,
,Apple Juice,
,Blueberry Muffin,
,Apple Jam,
,Honey,
,EggSandwich,
,Honey Toast,
,Orange Juice,
,Marmelade,
,BananaBread,
,Goat Cheese Toast,
,BananaPancakes,
,Cafe_Kiosk,
,Omelet_Maker,
,Yoghurt_Maker,
,Waffle_Maker,
,Porridge_Bar,
PG_DrinksAndRefreshments,Peanut Butter Milkshake,"[BROAD 42] (min level 26) drinks bar, refreshment stand, all beverages, juices smoothies coffee and tea, thirst quenchers"
,Juice_Press,
,Cafe_Kiosk,
,Smoothie_Mixer,
,Tea_Stand,
,Milkshake_Bar,
PG_PantryStaples,Honey,"[BROAD 37] (min level 6) dairy basics, sugar and syrup, jams sauces and preserves, cooking essentials, kitchen pantry"
,Plain Yoghurt,
,Strawberry Yoghurt,
,Tropical Yoghurt,
,Dairy,
,Sugar_Mill,
,Jam_Maker,
,Sauce_Mixer,
,Preservation_Station,
PG_SnacksAndBites,Cookie,"[BROAD 30] (min level 8) snacks and nibbles, party snacks, movie night bites, fairground finger food, anything munchable"
,EggRoll,
,Corn Dog,
,Summer Rolls,
,Gingerbread Cookie,
,Nachos,
,Pickles,
,Dried Fruit,
,Rice Ball,
,Pineapple coconut bars,
,Popcorn_Pot,
,Candy_Machine,
,Deep_Fryer,
PG_Orchard,Apple,"[UTILITY 19] (min level 15) orchard fruit harvest, fruit picking, stone fruit, fruit pies and jams, apple season"
,Cherry,
,Apple Juice,
,Apple Pie,
,Cherry Juice,
,Cherry Popsicle,
,Apple Jam,
,Cherry Jam,
,Honey Apple Cake,
,Caramel Apple,
,Peach,
,Peach Tart,
,Peach Jam,
,Peach Ice Cream,
,Banana,
,Plum,
,PlumJam,
,Mango,
,PlumSmoothie,
PG_Textiles,Wool,"[UTILITY 18] (min level 16) tailor and textiles, knitting and sewing, clothing and fabric, sweaters and scarves, hats and accessories"
,Cotton,
,Loom,
,Sewing_Machine,
,Hat_Maker,
PG_VegetableGarden,Soybean,"[UTILITY 17] (min level 5) backyard veggie patch, garden harvest, market greens, root cellar, farm vegetables"
,Carrot,
,Pumpkin,
,Carrot Cake,
,Tomato,
,Baked Potato,
,Potato,
,Asparagus,
,Lettuce,
,Garlic,
,Cabbage,
,Onion,
,Cucumber,
,Beetroot,
,Bellpepper,
,Broccoli,
,Eggplant,
PG_Seafood,Fish Meat,"[UTILITY 16] (min level 27) fresh seafood and fish dishes, catch of the day, fish fry, seafood feast, coastal cuisine"
,Fishburger,
,Fish Pie,
,Fish and Chips,
,Lobster Meat,
,Frutti di Mare Pizza,
,Lobster Soup,
,Lobster Skewer,
,Fish Soup,
,LobsterSushi,
,SeafoodSalad,
,Fish Taco,
,Lobster Pasta,
,Spicy fish,
,Canned Fish,
,FishSkewer,
PG_MiningAndMetals,Mine,"[UTILITY 15] (min level 24) mining and smelting, raw ores and metals, silver gold and platinum bars, gemstone jewelry, blacksmith forge"
,Smelter,
,Jeweler,
PG_BerryPatch,Raspberry,"[UTILITY 14] (min level 19) berry picking patch, jam making, summer berries, berry desserts, strawberry fields"
,Berry Cake,
,Blackberry,
,Blueberry,
,Berry Juice,
,Strawberry,
,Strawberry Ice Cream,
,Strawberry Cake,
,Raspberry Jam,
,Blackberry Jam,
,Strawberry Candle,
,Strawberry Jam,
,BerrySmoothie,
,Strawberry Yoghurt,
PG_BathAndBody,Beeswax,"[UTILITY 13] (min level 48) bath and body care, soaps lotions and face masks, perfumes and aromatherapy oils, self-care essentials, pampering gift"
,Essentials_Oil_Lab,
,Bath_Kiosk,
,Perfumerie,
PG_DairyFarm,Milk,"[UTILITY 13] (min level 6) creamery dairy farm, cheese board, fresh milk and yoghurt, butter churn, dairy treats"
,Cheese Cake,
,Vanilla Ice Cream,
,Blueberry Cheesecake,
,Goat Milk,
,Cheese omelet,
,Cheese fondue,
,Goat Cheese Toast,
,Plain Yoghurt,
,Dairy,
PG_AnimalFarm,Egg,"[UTILITY 12] (min level 1) barnyard animal farm, livestock care, fresh eggs and milk, meat and wool, animal feed"
,Milk,
,Bacon,
,Wool,
,Lamb Meat,
,Goat Milk,
,Hammermill,
PG_BakingPantry,Egg,"[UTILITY 12] (min level 1) everything for sweet baking, candy-making ingredients, sugar flour and cocoa, dessert staples, confectioner's pantry"
,Wheat,
,Cream,
,Milk,
,Brown_Sugar,
,Sugarcane,
,Butter,
,White Sugar,
,Syrup,
,Cacao,
,Honey,
,Chocolate,
PG_Flowers,Lily,"[UTILITY 12] (min level 49) fresh cut flowers, flower shop, garden blooms, bouquet gift, floral arrangement"
,Sunflower,
,Peony,
,FlowerCrown,
,Floral candle,
,Flowershop,
PG_SaucesAndCondiments,VeggieDip,"[UTILITY 12] (min level 54) sauces and condiments, dips dressings and spreads, oils and marinades, table sauces, kitchen flavour shelf"
,Pickles,
,Sauce_Mixer,
PG_Honey,Honey,"[UTILITY 8] (min level 39) golden honey harvest, beekeeping, bee farm, honeycomb, honey treats and soap"
,Honeycomb,
,Honey Popcorn,
,Honey Apple Cake,
,Beeswax,
,Honey Toast,
,Honey Tea,
,Honey Soap,
PG_HerbsAndTea,Chamomile,"[UTILITY 7] (min level 45) fragrant herb garden, herbal tea, fresh herbs and spices, apothecary, wellness remedies"
,Chamomile essential oil,
,Ginger,
,Green Tea,
,TeaLeaves,
,Mint,
,MintTea,
PG_PotteryAndCrafts,Soothing Pad,"[UTILITY 7] (min level 45) handmade pottery, home crafts, soft furnishings and cushions, handmade decor, cozy homeware"
,Pillow,
,Blanket,
,Clay,
,Pottery_Studio,
PG_TownSupplies,Brick,"[UTILITY 7] (min level 34) town building supplies, construction and renovation materials, train delivery goods, restoration project, builder's yard"
,Hammer,
,Hand Drill,
,Map Piece,
,Paint Bucket,
,Stone Block,
,Tar Bucket,
PG_FarmTools,Axe,"[UTILITY 6] (min level 5) land clearing and mining tools, axes saws and shovels, dynamite and demolition charges, groundskeeping gear, farm toolshed"
,Demolition Charge,
,Dynamite,
,Saw,
,Shovel,
,Pickaxe,
PG_PotatoHarvest,Baked Potato,"[THEMATIC 8] (min level 35) potato dishes, hearty spuds, baked potato bread and gnocchi, fries and potato bakes, comfort starch"
,Potato,
,Potato Feta Cake,
,Potato Bread,
,Gnocchi,
,PotatoSoup,
,Loaded Fries,
,Potato omelet,
PG_AppleHarvest,Apple,"[THEMATIC 7] (min level 15) apple harvest, crisp orchard apples, apple pie juice and jam, apple-based treats, baked with apple"
,Apple Juice,
,Apple Pie,
,Apple Jam,
,Honey Apple Cake,
,Caramel Apple,
,Apple porridge,
PG_BlueberryHarvest,Blueberry,"[THEMATIC 5] (min level 30) blueberry harvest, plump blueberries, blueberry muffins and cheesecake, blueberry treats, berry picking"
,Blueberry Cheesecake,
,Blueberry Muffin,
,Blueberry Chutney,
,White Chocolate Blueberry Waffle,
PG_OnionHarvest,Grilled Onion,"[THEMATIC 5] (min level 68) onion dishes, savoury onions, onion soup and grilled onion, onion-topped bites, kitchen staple veg"
,Onion,
,Onion Soup,
,Onion Dog,
,Onion melt,
PG_StrawberryHarvest,Strawberry,"[THEMATIC 5] (min level 34) strawberry harvest, ripe strawberries, strawberry jam and cake, strawberry ice cream and yoghurt, sweet berry treats"
,Strawberry Ice Cream,
,Strawberry Cake,
,Strawberry Jam,
,Strawberry Yoghurt,
PG_TomatoHarvest,Roasted Tomatoes,"[THEMATIC 5] (min level 30) ripe tomato harvest, garden tomatoes, sauce making, tomato juice and soup, vine ripened"
,Tomato,
,Tomato Juice,
,Tomato Soup,
,Tomato Sauce,
PG_CarrotHarvest,Carrot,"[THEMATIC 4] (min level 9) carrot harvest, garden carrots, carrot cake and pie, fresh carrot juice, root veg treats"
,Carrot Pie,
,Carrot Cake,
,Carrot Juice,
PG_CherryHarvest,Cherry,"[THEMATIC 4] (min level 22) cherry harvest, ripe cherries, cherry juice and jam, cherry popsicle, summer stone fruit"
,Cherry Juice,
,Cherry Popsicle,
,Cherry Jam,
PG_IceCreamParlor,Ice_Cream_Maker,"[THEMATIC 16] (min level 29) ice cream parlour, scoops sundaes and sorbets, milkshakes and floats, soda fountain, frozen treats"
,Milkshake_Bar,
PG_Patisserie,Carrot Cake,"[THEMATIC 14] (min level 21) elegant patisserie, cake shop, layer cakes and cheesecakes, celebration gateau, baker's showpiece"
,Berry Cake,
,Birthday Cake,
,Cheese Cake,
,Blueberry Cheesecake,
,Strawberry Cake,
,Chocolate Cake,
,Honey Apple Cake,
,Fancy Cake,
,Pineapple Cake,
,Lemon Cake,
,Fruitcake,
,Chocolate Roll,
,Pomegranate Cake,
PG_Confectionery,Candy_Machine,"[THEMATIC 13] (min level 51) old-fashioned confectionery, candy shop, fudge factory, sweet shop, pick and mix"
,Fudge_Shop,
PG_BakeSale,Cookie,"[THEMATIC 12] (min level 10) charity bake sale, homemade treats, cookies muffins and cupcakes, school fundraiser, sweet stall"
,Raspberry Muffin,
,Blackberry Muffin,
,Blueberry Muffin,
,Gingerbread Cookie,
,BananaBread,
,Macaroon,
,Pineapple coconut bars,
,Cupcake_Maker,
PG_PieShop,Bacon Pie,"[THEMATIC 9] (min level 18) savoury pie shop, comfort pies and quiches, hearty pot pies, baked dinner classics, rustic bakes"
,Fish Pie,
,Feta Pie,
,Casserole,
,Potato Feta Cake,
,Shepherds Pie,
,Asparagus Quiche,
,Mushroom Pot Pie,
,Eggplant Parmesan,
PG_Chocolate,Cacao,"[THEMATIC 8] (min level 36) rich chocolate indulgence, cocoa lover, chocolate cake and ice cream, hot cocoa and fondue, choc-lover's dream"
,Chocolate Cake,
,Chocolate Ice Cream,
,Chocolate Popcorn,
,Hot Chocolate,
,Chocolate,
,Chocolate Pie,
,Chocolate fondue,
PG_WaffleHouse,Pancakes,"[THEMATIC 7] (min level 9) waffle house brunch, waffles and pancakes, syrup-drizzled stacks, breakfast griddle, weekend morning"
,BananaPancakes,
,Waffle_Maker,
PG_DonutShop,Plain donut,"[THEMATIC 6] (min level 76) glazed donut shop, sprinkled donuts, fried sweets, bakers dozen, coffee run treats"
,Sprinkles donut,
,Crunchy donut,
,Cream donut,
,Bacon donut,
,Filled donut,
PG_NuttyTreats,Sesame,"[THEMATIC 6] (min level 50) crunchy nutty treats, peanut snacks, trail mix, peanuts and sesame, seeds and nuts"
,SesameIceCream,
,PeanutBag,
,CandiedPeanuts,
,Peanut Butter Milkshake,
,Peanut noodles,
PG_LemonadeStand,Carrot Juice,"[THEMATIC 12] (min level 26) roadside lemonade stand, iced summer coolers, fresh-pressed juices, fresh fruit refreshers, hot day thirst-quencher"
,Apple Juice,
,Cherry Juice,
,Berry Juice,
,Pineapple Juice,
,Orange Juice,
,Grape Juice,
,Passion Fruit Juice,
,Ice Tea,
,WatermelonLemonade,
,Mango Juice,
,Guava Juice,
PG_TeaHouse,Tea Pot,"[THEMATIC 12] (min level 80) tea house, tea ceremony, steeped teas, loose leaf brews, teapot and cup service"
,Mug,
,Tea_Stand,
PG_SmoothieBar,BerrySmoothie,"[THEMATIC 9] (min level 64) blended smoothie bar, fruit smoothies, health kick, post-workout, fresh blends"
,GreenSmoothie,
,Cucumber Smoothie,
,YogurtSmoothie,
,MixedSmoothie,
,SesameSmoothie,
,Cocoa smoothie,
,PlumSmoothie,
,TropicalSmoothie,
PG_AfternoonTea,Cookie,"[THEMATIC 8] (min level 10) genteel afternoon tea, high tea, tea party, garden party, dainty cakes and biscuits"
,Raspberry Muffin,
,Peach Tart,
,Green Tea,
,Honey Tea,
,Lemon Tea,
,Chamomile Tea,
,Macaroon,
PG_CitrusGrove,Lemon,"[THEMATIC 7] (min level 66) sunny citrus grove, lemon stand, zesty refreshers, citrus desserts, marmalade"
,Lemon Pie,
,Lemon Cake,
,Orange,
,Orange Juice,
,Marmelade,
,Orange Sorbet,
PG_CoffeeHouse,Espreso,"[THEMATIC 7] (min level 42) cozy coffeehouse, espresso bar, latte and mocha, cafe culture, coffee run"
,Latte,
,Mocha,
,Raspberry Mocha,
,Caramel latte,
,Affogato,
,BananaLatte,
PG_PastaAndPizza,Pizza,"[THEMATIC 16] (min level 33) italian trattoria dinner, pizzeria night, pasta and noodles, wood-fired pizza, garlic bread"
,Spicy Pizza,
,Frutti di Mare Pizza,
,Garlic bread,
,Tomato Sauce,
,Noodle Soup,
,Peanut noodles,
,Pasta_Maker,
,Pasta_Kitchen,
PG_AsianKitchen,SoySauce,"[THEMATIC 14] (min level 54) east asian kitchen, sushi and noodles, stir fry and rice, asian cuisine, lunar new year"
,Rice,
,Rice Noodles,
,Kimchi,
,Sushi_Bar,
,Wok_Kitchen,
PG_StreetFood,Fish and Chips,"[THEMATIC 14] (min level 32) bustling street food, food truck, fast food, fair stalls, fried snacks"
,Doner_Kebab_Stand,
,Hotdog_Stand,
,Deep_Fryer,
PG_MediterraneanMezze,Feta Pie,"[THEMATIC 10] (min level 34) mediterranean mezze platter, greek taverna, hummus and falafel, olives and feta, sharing plates"
,Bean Dip,
,Olive,
,GreekSalad,
,OliveOil,
,Olive Dip,
,Stuffed Bellpeppers,
,Summer Salad,
,Hummus,
,Falafel,
PG_MexicanFiesta,Chili,"[THEMATIC 8] (min level 25) lively mexican fiesta, taco night, street tacos, nachos and quesadillas, cinco de mayo"
,Bean Dip,
,Salsa,
,Spicy Bean Taco,
,Taco,
,Fish Taco,
,Quesadilla,
,Nachos,
PG_SpicyHeat,Chili,"[THEMATIC 7] (min level 25) fiery hot and spicy, chili cook-off, tongue-tingling heat, spice lover's pick, fiery challenge"
,Chili Popcorn,
,Spicy Bean Doner,
,Spicy Pizza,
,Salsa,
,Spicy fish,
,Chili Stew,
PG_DinerClassics,Pancakes,"[THEMATIC 6] (min level 9) classic american diner, road trip eats, comfort classics, burgers and fries, greasy spoon"
,Hamburger,
,Apple Pie,
,Fish and Chips,
,Hot Dog,
,Loaded Fries,
PG_SaladBar,Bean Salad,"[THEMATIC 13] (min level 58) fresh salad bar, crisp greens, garden salads, healthy bowls, light and fresh"
,GreekSalad,
,BaconSalad,
,SeafoodSalad,
,Pasta Salad,
,VeggieDip,
,Coleslaw,
,Beetroot salad,
,Summer Rolls,
,Fruit Salad,
,Summer Salad,
,MushroomSalad,
,Orange Salad,
PG_SandwichShop,Bread,"[THEMATIC 10] (min level 2) quick sandwich shop, lunch counter, deli sandwiches, toasties, packed lunch"
,VeggieBagel,
,BLTToast,
,EggSandwich,
,Honey Toast,
,PBJ Sandwich,
,Cucumber Sandwich,
,Onion melt,
,Goat Cheese Toast,
,Hummus Wrap,
PG_MorningBowl,Oats,"[THEMATIC 8] (min level 103) wholesome morning bowl, porridge and oatmeal, yoghurt and granola bowls, healthy breakfast start, fuel up"
,Yoghurt_Maker,
,Porridge_Bar,
PG_BrunchEggs,Egg,"[THEMATIC 7] (min level 1) savoury brunch eggs, fluffy omelettes, farmhouse egg breakfast, sunny side morning, cooked-to-order"
,Bacon and Eggs,
,Omelet_Maker,
PG_PicnicBasket,Cookie,"[THEMATIC 6] (min level 10) packed picnic basket, park outing, lunchbox, sandwiches and juice, road trip snack"
,Apple Juice,
,EggSandwich,
,PBJ Sandwich,
,Fruit Salad,
,WatermelonLemonade,
PG_PloughmansLunch,Bread,"[THEMATIC 6] (min level 2) rustic ploughman's lunch, charcuterie board, country picnic, bread cheese and pickles, wine and cheese"
,Bacon,
,Cheese,
,Olive,
,Grapes,
,Pickles,
PG_ComfortSoups,Soup_Kitchen,"[THEMATIC 16] (min level 46) warming comfort soups, hearty stews, warm bowls, winter warmer, sick day remedy"
,Stew_Pot,
PG_BackyardBBQ,Hamburger,"[THEMATIC 14] (min level 18) backyard cookout, summer grill night, barbecue, grilled skewers and veggies, tailgate"
,Grilled Lamb Skewer,
,Fishburger,
,Roasted Tomatoes,
,Baked Potato,
,Fish and Chips,
,Lobster Skewer,
,Garlic bread,
,Grilled Asparagus,
,Grilled Onion,
,Roast veggies,
,Stuffed Bellpeppers,
,Grilled Eggplant,
,FishSkewer,
PG_MeatAndDeli,Bacon,"[THEMATIC 10] (min level 10) butcher's counter, deli meats, hearty meat dinner, lamb and bacon dishes, sunday roast"
,Bacon and Eggs,
,Hamburger,
,Grilled Lamb Skewer,
,Lamb Meat,
,Lamb Doner Wrap,
,Shepherds Pie,
,Lamb Soup,
,BaconSalad,
,Lamb Stir Fry,
PG_FondueNight,Bread,"[THEMATIC 7] (min level 2) cozy fondue night, dinner party, cheese and chocolate, melting pot, date night"
,Cheese,
,Chocolate,
,Fondue_Maker,
PG_CanningDay,Jam_Maker,"[THEMATIC 16] (min level 35) canning day, homemade preserves, jams and pickles, pickling and fermenting, jarred and bottled, harvest preserving"
,Preservation_Station,
PG_ExoticImports,Cacao,"[THEMATIC 12] (min level 36) faraway exotic imports, distant market, tropical produce, passion fruit and coconut, trading post"
,Coffee,
,Pineapple,
,Passion Fruit Juice,
,PassionFruit,
,Passion Fruit Pie,
,Passion Fruit Jam,
,Mango,
,Passion Fruit Sauce,
,Coconut,
,Guava,
,Pomegranate,
PG_VineyardAndOils,Olive,"[THEMATIC 6] (min level 57) olive grove and vineyard, oil press, olives and grapes, grape harvest, wine country"
,OliveOil,
,Olive Dip,
,Grape Juice,
,Grapes,
,Grape Jam,
PG_Carnival,Vanilla Ice Cream,"[THEMATIC 23] (min level 8) fairground midway, county fair, carnival treats, funfair snacks, movie night"
,Cherry Popsicle,
,Strawberry Ice Cream,
,Chocolate Ice Cream,
,Nachos,
,Popcorn_Pot,
,Candy_Machine,
,Hotdog_Stand,
PG_PartyTreats,Cookie,"[THEMATIC 14] (min level 10) casual party food spread, birthday party snacks, game night munchies, kids party treats, sweets and finger food"
,Vanilla Ice Cream,
,Pizza,
,Caramel Apple,
,Toffee,
,Chocolate,
,Lollipop,
,Jelly Beans,
,CandiedPeanuts,
,Snack Mix,
,Sprinkles donut,
,Loaded Fries,
,Plain Cupcake,
,Vanilla Milkshake,
PG_MovieNight,Popcorn,"[THEMATIC 12] (min level 8) movie night double feature, cinema concessions, drive-in snacks, popcorn and candy, big screen treats"
,Butter Popcorn,
,Hamburger,
,Chili Popcorn,
,Honey Popcorn,
,Chocolate Popcorn,
,Chocolate,
,Cotton Candy,
,Hot Dog,
,Loaded Fries,
,Nachos,
,Fried Candy,
PG_GameDay,Hamburger,"[THEMATIC 11] (min level 18) big game watch party, sports bar snacks, loaded nachos and fries, dips and finger food, couch night feast"
,Bean Dip,
,Olive Dip,
,VeggieDip,
,Salsa,
,Quesadilla,
,Loaded Fries,
,Nachos,
,Hand Pies,
,Hummus,
,Stuffed Peppers,
PG_Wedding,Necklace,"[THEMATIC 11] (min level 39) white wedding celebration, bride and groom, tiered cake and flowers, rings and bouquets, the big day"
,Diamond Ring,
,Rustic Bouquet,
,Fancy Cake,
,Bright Bouquet,
,Gracious bouquet,
,FlowerCrown,
,Soft Bouquet,
,Floral candle,
,Flower Pendant,
,Macaroon,
PG_Gifts,Chocolate,"[THEMATIC 9] (min level 54) thoughtful gift hamper, present for any occasion, wedding and anniversary, birthday surprise, flowers and treats"
,Fancy Cake,
,Bright Bouquet,
,Gracious bouquet,
,Honey Soap,
,Birthday Bouquet,
,Soft Bouquet,
,Floral candle,
,Zesty Perfume,
PG_DateNight,Strawberry Ice Cream,"[THEMATIC 8] (min level 34) romantic date night, dinner for two, candlelit lobster dinner, anniversary, chocolate and roses"
,Strawberry Cake,
,Lobster Soup,
,Lobster Skewer,
,Chocolate,
,Chocolate fondue,
,Floral candle,
,Macaroon,
PG_Birthday,Birthday Cake,"[THEMATIC 4] (min level 23) festive birthday party, celebration cake, surprise gift, blow out the candles, party time"
,Fancy Cake,
,Party Candle,
,Birthday Bouquet,
PG_Halloween,Pumpkin,"[THEMATIC 12] (min level 15) spooky halloween night, trick or treat, haunted pumpkin patch, spooky sweets, costume party"
,Pumpkin Pie,
,Pumpkin Soup,
,Mushroom,
,Candy_Machine,
PG_AutumnHarvest,Wheat,"[THEMATIC 11] (min level 1) bountiful fall harvest, thanksgiving feast, autumn festival, pumpkin patch, cornucopia"
,Corn,
,Corn Bread,
,Carrot Pie,
,Pumpkin,
,Pumpkin Pie,
,Apple Pie,
,Pumpkin Soup,
,Onion Soup,
,Mushroom,
,MushroomSoup,
PG_Valentines,Strawberry Ice Cream,"[THEMATIC 11] (min level 34) romantic valentine's day, sweetheart date, chocolate and roses, candlelit dinner for two, love is in the air"
,Strawberry Cake,
,Chocolate Cake,
