Name,BuildingEnabled,Level,LevelWorkbenchRequired,LevelUpCash,ProductsRequired,LevelUpTimeMin,LevelUpInstantComplete,PerkLevel,PerkType,PerkEnabled,PerkIntParam1,PerkIntParam2,PerkBoolParam1,PerkStringParam1,PerkCash,PerkDiamonds,Part1,Part2,Part3,Part4,Part5,PerkTimeMin,PerkInstantInstallPrice
,,,,,,,,3,Speed,TRUE,-10,,,,28000,,0,0,30,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,13000,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,13000,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,39000,,0,0,55,0,0,480,4
Honey_Extractor,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,3500,,30,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,14000,,0,0,10,0,0,1,1
,,3,1,0,170,0,0,2,Truck_XP,TRUE,20,,,,19000,,0,50,0,0,0,240,3
,,,,,,,,2,Speed,TRUE,-10,,,,19000,,0,0,20,0,0,240,3
,,,,,,,,3,Truck_XP,TRUE,40,,,,4300,,0,90,0,0,0,480,4
,,,,,,,,3,Truck_Coins,TRUE,40,,,,4300,,110,0,0,0,0,480,4
,,,,,,,,3,Speed,TRUE,-15,,,,12650,,0,0,40,0,0,480,4
Candle_Maker,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Hat_Maker,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Pasta_Maker,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Hotdog_Stand,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Pasta_Kitchen,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Taco_Kitchen,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Tea_Stand,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Flowershop,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Wok_Kitchen,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Fondue_Maker,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Deep_Fryer,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Bath_Kiosk,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Donut_Maker,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Preservation_Station,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Pottery_Studio,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Fudge_Shop,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Yoghurt_Maker,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Stew_Pot,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Cupcake_Maker,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Gift_Wrapping_Station,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Waffle_Maker,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Easter_Egg_Maker,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Omelet_Maker,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Porridge_Bar,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Gift_Wrapping_Station_2023,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Milkshake_Bar,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Easter_Egg_Maker_2024,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Essentials_Oil_Lab,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Birthday_Balloon_Maker_2024,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Halloween_Candy_Maker_2024,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Gift_Wrapping_Station_2024,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Perfumerie,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Easter_Egg_Maker_2025,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Birthday_Balloon_Maker_2025,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Halloween_Candy_Maker_2025,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Gift_Wrapping_Station_2025,FALSE,1,1,,,,,1,Truck_Coins,FALSE,20,,,,99999,,999,999,999,999,999,1,1
Doner_Kebab_Stand,TRUE,1,1,,,,,1,Truck_Coins,TRUE,20,,,,4400,,15,0,0,0,0,1,1
,,2,1,0,25,0,0,1,Speed,TRUE,-5,,,,18000,,0,0,5,0,0,1,1
,,3,1,0,170,0,0,2,Boat_Coins,TRUE,20,,,,10000,,25,0,0,0,0,60,2
,,4,1,0,200,0,0,2,Boat_XP,TRUE,20,,,,10000,,0,20,0,0,0,60,2
,,,,,,,,3,Truck_XP,TRUE,20,,,,4500,,0,40,0,0,0,240,3
,,,,,,,,3,Speed,TRUE,-10,,,,4500,,0,0,20,0,0,240,3
,,,,,,,,3,Queue,TRUE,25,25,,,13500,,0,0,20,0,0,240,3
,,,,,,,,4,Truck_XP,TRUE,40,,,,9000,,0,80,0,0,0,480,4
,,,,,,,,4,Truck_Coins,TRUE,40,,,,9000,,100,0,0,0,0,480,4
,,,,,,,,4,Speed,TRUE,-15,,,,27000,,0,0,40,0,0,480,4
