Level,ExpToNextLevel,GoodReward1,GoodAmount1,GoodReward2,GoodAmount2,GoodReward3,GoodAmount3,PaidGoodReward1,PaidGoodAmount1,PaidGoodReward2,PaidGoodAmount2,PaidGoodReward3,PaidGoodAmount3,ThresholdRewardSet1,ThresholdRewardSet2,ThresholdRewardSet3,ThresholdRewardSet4,ThresholdRewardSet5,MaxFields,MaxEvents,CaretakerStorageCapacity,MillerStorageCapacity,MaxCatAmount,MaxCatHouseAmount,MaxDogAmount,MaxDogHouseAmount,MaxHorseAmount,MaxPonyAmount,MaxHorseHouseAmount,MaxDonkeyAmount,MaxDonkeyHouseAmount,MaxBunnyAmount,MaxBunnyHouseAmount,MaxKittenAmount,MaxKittenHouseAmount,MaxPuppyAmount,MaxPuppyHouseAmount,MaxGuineaPigAmount,MaxGuineaPigHouseAmount,MaxBirdAmount,MaxBirdHouseAmount,MaxAlpacaAmount,MaxAlpacaHouseAmount,MaxHedgehog1Amount,MaxHedgehog2Amount,MaxHoglet1Amount,MaxHoglet2Amount,MaxHedgehogHouseAmount,MaxChickenHabitats,MaxCowHabitats,MaxSheepHabitats,MaxLambHabitats,MaxPigHabitats,MaxGoatHabitats,MaxHammermills,MaxSugarMills,MaxSmelters,MaxBeeHabitats,MaxSquirrelHabitats,MinGoodsInOrderDelivery,MaxGoodsInOrderDelivery,OrderCancelTimeMin,OrderSpeedUpPrice,BoatOrderSpeedUpPrice,MaxOrderCount,CashExpMultiplier,EventCounterClicks,OrderMinValue,OrderMaxValue,DiamondsToCoinsRate,DiamondsToCoinsRateV2,DiamondsToCoinsRateV3,GuestOrderValue,MinCrateAmountInBoatOrder,MaxCrateAmountInBoatOrder,MinBoatOrderValue,MaxBoatOrderValue,MinGoodTypesInBoatOrder,MaxGoodTypesInBoatOrder,MinBoatStayTimeMinutes,MaxBoatStayTimeMinutes,BoatETAMinutes,BoatRewardMultiplier,SpecialOrderProbablity,SpecialOrderMaxCount,TruckCoinMultiplier,TruckEXPMultiplier,BoatCrateCoinMultiplier,BoatCrateEXPMultiplier,EXPEventCurrencyMultiplier,GoodReward4,GoodAmount4,GoodReward5,GoodAmount5,GoodReward6,GoodAmount6,MinTruckOrderValueOfDay,MaxTruckOrderValueOfDay,TargetTruckOrdersPerDay,MaxLockedOrderProducts,MaxTruckOrderMultiplier,MinPeopleQuestEffort,MaxPeopleQuestEffort,PeopleQuestDealersChoiceExpReward,PeopleQuestDealersChoiceCoinReward
24,12200,Bolt,2,Duct Tape,2,Plank,2,,,,,,,RS5,RSNail_2,RSScrew_2,RSWoodPanel_2,,39,156,30,30,1,1,1,2,,,,,,,,,,,,,,1,1,,,,,,,,3,2,1,,2,,2,1,5,,,1,5,20,3,5,8,0,64,11,18,1915,5974,100000,36,6,8,120,170,3,3,1080,1080,240,6000,6,3,250,400,150,300,100,,,,,,,10,100,8,1,200,33,43,33,33
25,14000,Chili,3,Duct Tape,2,Plank,2,,,,,,,RS4,RSBolt_2,RSNail_2,RSScrew_2,RSWoodPanel_2,42,168,30,30,1,1,1,3,,,,,,,,,,,,,,1,1,,,,,,,,3,2,1,1,2,,2,1,5,,,1,5,20,3,5,8,0,65,12,18,2042,10845,100000,38,6,9,120,175,3,3,1080,1080,240,6000,8,3,250,400,150,300,100,BlackBean,3,Lamb Food,3,,,10,100,8,1,200,34,44,34,34
26,15700,Bolt,2,Duct Tape,2,Plank,2,,,,,,,RS1,RS2,RSNail_2,RSScrew_2,RSWoodPanel_2,42,168,30,30,1,1,1,3,,,,,,,,,,,,,,1,1,,,,,,,,3,2,2,1,2,,2,1,5,,,1,5,30,3,5,8,0,66,12,19,2176,15716,100000,39,6,9,125,175,3,3,1080,1080,240,6000,8,3,250,400,150,300,100,,,,,,,10,100,8,1,200,35,45,35,35
27,18300,Bolt,2,Duct Tape,1,Plank,1,,,,,,,RS3,RS1,RSNail_2,RSScrew_1,RSWoodPanel_1,45,180,30,30,1,1,1,3,1,,1,,,,,,,,,,,1,1,,,,,,,,3,3,2,1,2,,2,1,5,,,1,5,30,3,5,8,0,69,12,19,2316,16899,100000,40,6,9,125,180,3,3,1080,1080,240,6000,8,3,250,400,150,300,100,,,,,,,10,100,8,1,200,36,46,36,36
28,20500,Bolt,2,Duct Tape,2,Plank,2,,,,,,,RS1,RS5,RSNail_2,RSScrew_2,RSWoodPanel_2,45,180,30,30,1,1,2,4,1,,1,,,,,,,,,,,1,1,,,,,,,,3,3,2,1,2,,2,1,5,,,1,5,30,3,5,8,0,69,12,19,2464,18082,100000,41,6,10,130,180,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,37,47,37,37
29,23400,Bolt,4,Duct Tape,4,Plank,4,,,,,,,RS3,RS4,RSNail_4,RSScrew_4,RSWoodPanel_4,48,192,30,30,2,2,2,4,1,,1,,,,,,,,,,,1,1,,,,,,,,3,3,2,1,2,,2,1,5,,,1,5,30,3,5,8,0,70,12,20,2617,19264,100000,43,6,10,130,185,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,38,48,38,38
30,26100,Bolt,3,Tomato,3,Plank,3,,,,,,,RS3,RSDuctTape_4,RSNail_3,RSScrew_4,RSWoodPanel_3,48,192,30,30,2,2,2,4,1,,1,,,,,,,,,,,1,1,,,,,,,,3,3,2,2,2,,2,1,5,,,1,5,30,3,5,8,0,73,13,21,2778,21115,100000,44,6,10,135,190,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,39,49,39,39
31,29400,Bolt,3,Duct Tape,3,Plank,4,,,,,,,RS5,RS1,RSNail_3,RSScrew_3,RSWoodPanel_4,51,204,30,30,2,2,2,4,1,,1,,,1,1,,,,,,,1,1,,,,,,,,3,3,2,2,2,,2,1,5,,,1,5,30,3,5,8,0,73,13,21,2946,22966,100000,45,6,10,140,190,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,40,50,40,40
32,32400,Bolt,4,Duct Tape,3,Plank,3,,,,,,,RS1,RS3,RSNail_4,RSScrew_3,RSWoodPanel_3,51,204,30,30,2,2,2,4,1,,1,,,1,1,,,,,,,1,1,,,,,,,,3,3,2,2,3,1,2,1,5,,,1,5,30,3,5,9,0,74,13,22,3120,24817,100000,47,6,11,140,195,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,41,51,41,41
33,35800,Bolt,3,Duct Tape,4,Plank,3,,,,,,,RS4,RS2,RSNail_3,RSScrew_4,RSWoodPanel_3,54,216,30,30,2,2,2,4,1,,1,,,1,1,,,,,,,1,1,,,,,,,,3,3,2,2,3,1,2,1,5,,,1,5,30,3,5,9,0,74,14,23,3302,26668,100000,48,6,11,145,200,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,42,52,42,42
34,38700,Pickaxe,1,Duct Tape,3,Strawberry,3,,,,,,,RS6,RSBolt_3,RSNail_3,RSScrew_3,RSWoodPanel_4,54,216,30,30,2,2,2,4,1,,1,,,1,1,,,,,,,1,1,1,1,,,,,,3,3,2,2,3,1,2,1,5,,,1,5,30,3,5,9,0,74,14,24,3491,28519,100000,49,6,11,150,200,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,43,53,43,43
35,42200,Potato,3,Duct Tape,3,Plank,3,,,,,,,RS7,RSBolt_4,RSNail_4,RSScrew_3,RSWoodPanel_3,57,228,30,30,2,2,2,4,1,,1,,,1,1,,,1,1,,,1,1,1,1,,,,,,3,3,2,2,3,1,2,1,5,,,1,5,30,3,5,9,0,75,15,24,3686,30372,100000,51,6,11,150,205,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,44,54,44,44
36,45200,,,Duct Tape,4,Plank,3,,,,,,,RS2,RSBolt_3,RSNail_3,RSScrew_4,RSWoodPanel_3,57,228,30,30,2,2,2,4,1,,1,,,1,1,,,1,1,,,1,1,1,1,,,,,,3,3,2,2,3,1,2,1,5,,,1,5,30,3,5,9,0,76,15,25,3889,31916,100000,52,6,12,155,210,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,45,55,45,45
37,48900,FreeDiamonds,1,Duct Tape,3,Plank,4,,,,,,,RS1,RSBolt_3,RSNail_3,RSScrew_3,RSWoodPanel_4,60,240,30,30,2,2,2,4,2,,2,,,1,1,,,1,1,,,1,1,1,1,,,,,,3,3,2,2,3,2,2,1,5,,,1,5,30,3,5,9,0,76,16,26,4100,33460,100000,53,6,12,160,215,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,46,56,46,46
38,54900,FreeDiamonds,1,Duct Tape,3,Plank,3,,,,,,,RS6,RSBolt_3,RSNail_3,RSScrew_3,RSWoodPanel_3,60,240,30,30,2,2,2,4,2,,2,,,1,1,,,1,1,,,1,1,1,1,,,,,,3,3,2,2,3,2,2,1,5,,,1,5,30,3,5,9,0,78,16,28,4317,35005,100000,54,6,12,165,220,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,47,57,47,47
39,61800,FreeDiamonds,1,Duct Tape,4,Plank,3,,,,,,,RS8,RSBolt_3,RSNail_3,RSScrew_4,RSWoodPanel_3,63,252,30,30,2,2,2,4,2,,2,,,1,1,,,1,1,,,1,1,1,1,,,,,,3,3,2,2,3,2,2,1,5,1,,1,5,30,3,5,9,0,78,17,29,4542,35005,100000,56,6,12,170,225,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,48,58,48,48
40,67900,FreeDiamonds,2,Duct Tape,3,Plank,4,,,,,,,RS2,RSBolt_3,RSNail_3,RSScrew_3,RSWoodPanel_4,63,252,40,40,2,2,2,4,2,,3,,,1,1,,,1,2,,,1,1,1,1,1,,,,1,3,3,2,2,3,2,2,1,5,1,1,1,5,30,3,5,9,0,79,17,30,4774,36206,100000,57,6,12,175,230,3,3,1080,1080,240,6000,10,3,250,400,150,300,100,,,,,,,10,100,8,1,200,49,59,49,49
41,75000,FreeDiamonds,2,,,,,,,,,,,RS7,RS3,RS4,,,66,264,40,40,2,2,2,4,2,,3,,,2,2,,,1,2,,,1,1,1,1,1,,,,1,3,3,2,2,3,2,2,1,5,1,1,1,5,30,3,5,9,0,79,18,31,5014,37407,100000,58,6,12,180,235,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,50,60,50,50
42,81500,FreeDiamonds,2,,,,,,,,,,,RS1,RS2,RS7,,,66,264,40,40,2,2,2,4,2,,3,,,2,2,,,1,2,,,1,1,1,1,2,,,,1,3,3,3,2,3,2,2,1,5,1,1,1,5,30,3,5,9,0,80,19,33,5261,38609,100000,60,6,12,185,240,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,51,61,51,51
43,94400,FreeDiamonds,2,,,,,,,,,,,RS8,RS5,RS6,,,69,276,40,40,2,2,2,4,2,,3,1,1,2,2,,,1,2,,,1,1,1,1,2,,,,1,3,3,3,2,3,2,2,1,5,1,1,1,5,30,3,5,9,0,80,20,35,5515,43757,100000,61,6,12,190,245,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,52,62,52,52
44,100800,FreeDiamonds,2,,,,,,,,,,,RS9,RS4,RS6,,,69,276,40,40,2,2,2,4,2,,3,1,1,2,2,,,2,2,,,1,1,1,1,2,,,,1,3,3,3,2,3,2,2,1,5,1,1,1,5,30,3,5,9,0,81,20,36,5777,48905,100000,62,6,12,195,250,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,53,63,53,53
45,110900,FreeDiamonds,2,Chamomile,3,,,,,,,,,RS6,RS5,RS2,,,72,288,40,40,2,2,2,4,2,,3,1,1,2,2,,,2,2,,,1,1,1,1,2,,,,1,3,3,3,2,3,2,2,1,5,1,1,1,5,30,3,5,9,0,81,21,38,6047,54053,121875,64,6,12,200,255,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,54,64,54,54
46,119500,FreeDiamonds,2,,,,,,,,,,,RS4,RS3,RS6,,,72,288,40,40,2,2,2,4,2,,3,1,1,2,2,,,2,2,,,1,1,1,1,2,,,,1,3,3,3,2,3,2,2,1,5,1,1,1,5,30,3,5,9,0,83,22,40,6325,59200,143750,65,6,12,205,260,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,55,65,55,55
47,129500,FreeDiamonds,2,,,,,,,,,,,RS8,RS7,RS6,,,75,300,40,40,2,2,2,4,2,,4,1,1,2,2,,,2,2,,,1,1,1,1,2,,,,1,3,3,3,2,3,2,2,1,5,1,1,1,5,30,3,5,9,0,83,23,42,6610,60130,145625,66,6,12,210,270,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,56,66,56,56
48,138000,FreeDiamonds,2,,,,,,,,,,,RS8,RS6,RS1,,,75,300,40,40,2,2,2,4,2,,4,1,1,2,2,,,2,2,,,1,1,1,1,2,,,,1,3,3,3,2,3,2,2,1,5,1,1,1,5,30,3,5,9,0,84,24,44,6903,61059,147500,67,6,12,215,275,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,57,67,57,57
49,148400,FreeDiamonds,2,Asparagus,3,,,,,,,,,RS2,RS9,RS3,,,78,312,40,40,2,2,2,4,2,,4,1,1,2,2,1,1,2,2,,,1,1,1,1,2,,,,1,3,3,3,2,3,2,2,1,5,1,1,1,5,30,3,5,9,0,84,25,46,7204,62743,150000,69,6,12,220,280,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,58,68,58,58
50,157000,FreeDiamonds,5,Sesame,3,,,,,,,,,RS7,RS3,RS4,,,78,312,50,50,2,2,2,4,2,1,5,1,1,2,2,1,1,2,4,,,1,1,1,1,2,,,,1,3,3,3,2,3,3,2,1,5,1,1,1,5,30,3,5,9,0,85,26,48,7512,62743,150000,70,6,12,230,285,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,59,69,59,59
51,168000,FreeDiamonds,5,,,,,,,,,,,RS1,RS7,RS9,,,80,320,50,50,2,2,2,4,2,1,5,1,1,2,2,1,1,2,4,,,1,1,1,1,2,,,,1,3,3,3,2,3,3,2,1,5,1,1,1,5,30,3,5,9,0,85,28,51,7829,62743,150000,71,6,12,235,295,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,60,70,60,60
52,179000,FreeDiamonds,5,Pineapple,3,,,,,,,,,RS3,RS8,RS6,,,80,320,50,50,2,2,2,4,2,1,5,1,1,2,2,1,1,2,4,,,1,1,1,1,2,,,,1,3,3,3,2,3,3,2,1,5,1,1,1,5,30,3,5,9,0,85,29,53,8153,65357,156250,72,6,12,240,300,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,61,71,61,61
53,190000,FreeDiamonds,5,Lily,3,,,,,,,,,RS9,RS8,RS4,,,82,328,50,50,2,2,2,4,2,1,5,1,1,2,2,1,1,2,4,,,1,1,1,1,2,,,,1,3,3,3,2,3,3,2,1,5,1,1,1,5,30,3,5,9,0,86,30,56,8485,67971,162500,73,6,12,250,310,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,62,72,62,62
54,201000,FreeDiamonds,5,,,,,,,,,,,RS9,RS1,RS5,,,82,328,50,50,2,2,2,4,2,1,5,1,1,2,2,1,1,2,4,,,1,1,1,1,2,,,,1,3,3,3,2,3,3,2,1,5,1,1,1,5,30,3,5,9,0,86,31,59,8825,70586,168750,74,6,12,255,315,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,63,73,63,63
55,212000,FreeDiamonds,5,,,,,,,,,,,RS4,RS2,RS7,,,84,336,50,50,2,2,2,4,2,1,5,2,2,2,2,1,1,2,4,,,1,1,2,2,2,,1,,1,3,3,3,2,3,3,2,1,5,1,1,1,5,30,3,5,9,0,86,33,62,9174,74922,178125,75,6,12,260,320,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,64,74,64,64
56,223000,FreeDiamonds,5,Rice,3,,,,,,,,,RS8,RS6,RS3,,,84,336,50,50,2,2,2,4,2,1,5,2,2,2,2,1,1,2,4,,,1,1,2,2,2,,1,,1,3,3,3,2,3,3,2,1,5,1,1,1,5,30,3,5,9,0,88,34,65,9530,79258,187500,76,6,12,270,330,3,3,1080,1080,240,6000,10,3,250,200,150,150,100,,,,,,,10,100,8,1,200,65,75,65,65
