Name,FileName,ExportName,ToolIconFileName,ToolIconExportName,Value,UnlockLevel,Harvest,TimeMin,TimeSec,OrderPrice,OrderExp,ExpCollect,InstantFertilize,Price,OrderValue,BoatOrderValue,InstantComplete,DumbValue,TID,DiamondPrice,TileWidth,TileHeight,BuySound,TapSound,Difficulty,PendingRelease,OrderValueV2,PlantCashPrice,IconFileName,IconExportName,PlantCashAmounts,PlantCashMinLevels
String,String,String,String,String,int,int,int,int,int,int,int,int,int,int,int,int,int,int,String,int,int,int,String,String,int,Boolean,int,int,String,String,String,String
EmptyField,sc/nature_new.sc,field_empty,sc/icons.sc,tool_harvest,,,,,,,,,,1,,,,,TID_EMPTY_FIELD,,1,1,Buy,CropSeed,,,,1,,,1,0
Pineapple,sc/nature_new.sc,crop_pineapple,sc/icons.sc,tool_plant_all,679,52,2,30,,500,500,100,32,,3,3,3,1,TID_PINEAPPLE,3,1,1,CropSeed,CropSeed,6,,3,21,sc/icons.sc,icon_pineapple,5;10,0;15
Eggplant,sc/nature_new.sc,crop_eggplant,sc/icons.sc,tool_plant_all,679,90,2,40,,500,500,100,32,,3,3,3,1,TID_EGGPLANT,3,1,1,CropSeed,CropSeed,6,,3,21,sc/icons.sc,icon_eggplant,5;10,0;15
Broccoli,sc/nature_new.sc,crop_broccoli,sc/icons.sc,tool_plant_all,679,83,2,80,,500,500,100,32,,4,4,4,1,TID_BROCCOLI,4,1,1,CropSeed,CropSeed,6,,4,33,sc/icons.sc,icon_broccoli,5;10,0;15
Mushroom,sc/nature_new.sc,crop_mushroom,sc/icons.sc,tool_plant_all,679,89,2,20,,500,500,100,32,,2,2,2,1,TID_MUSHROOM,2,1,1,CropSeed,CropSeed,4,,2,17,sc/icons.sc,icon_mushroom,5;10,0;15
Ginger,sc/nature_new.sc,crop_ginger,sc/icons.sc,tool_plant_all,679,78,2,150,,500,500,100,32,,6,6,6,1,TID_GINGER,6,1,1,CropSeed,CropSeed,12,,6,44,sc/icons.sc,icon_ginger,5;10,0;15
Sesame,sc/nature_new.sc,crop_sesame,sc/icons.sc,tool_plant_all,679,50,2,60,,500,500,100,32,,4,4,4,1,TID_SESAME,4,1,1,CropSeed,CropSeed,8,,4,27,sc/icons.sc,icon_sesame,5;10,0;15
Lily,sc/nature_new.sc,crop_whitelily,sc/icons.sc,tool_plant_all,679,53,2,90,,500,500,100,32,,5,5,5,1,TID_CROP_LILY,5,1,1,CropSeed,CropSeed,10,,5,33,sc/icons.sc,icon_plant_whitelily,5;10,0;15
Beetroot,sc/nature_new.sc,crop_beetroot,sc/icons.sc,tool_plant_all,679,72,2,40,,500,500,100,32,,3,3,3,1,TID_CROP_BEETROOT,3,1,1,CropSeed,CropSeed,6,,3,21,sc/icons.sc,icon_beetroot,5;10,0;15
Garlic,sc/nature_new.sc,crop_garlic,sc/icons.sc,tool_plant_all,679,60,2,30,,500,500,100,32,,3,3,3,1,TID_CROP_GARLIC,3,1,1,CropSeed,CropSeed,6,,3,21,sc/icons.sc,icon_plant_garlic,5;10,0;15
Cabbage,sc/nature_new.sc,crop_cabbage,sc/icons.sc,tool_plant_all,679,65,2,45,,500,500,100,32,,3,3,3,1,TID_CROP_CABBAGE,3,1,1,CropSeed,CropSeed,6,,3,27,sc/icons.sc,icon_cabbage,5;10,0;15
Clay,sc/nature_new.sc,crop_clay,sc/icons.sc,tool_plant_all,679,94,2,110,,500,500,100,32,,5,5,5,1,TID_CROP_CLAY,7,1,1,CropSeed,CropSeed,10,,5,27,sc/icons.sc,icon_clay,5;10,0;15
Chickpea,sc/nature_new.sc,crop_chickpea,sc/icons.sc,tool_plant_all,679,95,2,60,,500,500,100,32,,4,4,4,1,TID_CROP_CHICKPEA,4,1,1,CropSeed,CropSeed,8,,4,27,sc/icons.sc,icon_plant_chickpea,5;10,0;15
PassionFruit,sc/nature_new.sc,crop_passionfruit,sc/icons.sc,tool_plant_all,679,88,2,60,,500,500,100,32,,4,4,4,1,TID_CROP_PASSIONFRUIT,4,1,1,CropSeed,CropSeed,8,,4,27,sc/icons.sc,icon_passion_fruit,5;10,0;15
Asparagus,sc/nature_new.sc,crop_asparagus,sc/icons.sc,tool_plant_all,679,49,2,360,,500,500,100,32,,8,8,8,1,TID_CROP_ASPARAGUS,8,1,1,CropSeed,CropSeed,16,,8,65,sc/icons.sc,icon_asparagus,5;10,0;15
Oats,sc/nature_new.sc,crop_oat,sc/icons.sc,tool_plant_all,679,119,2,7,,500,500,100,32,,1,1,1,1,TID_CROP_OATS,1,1,1,CropSeed,CropSeed,2,,1,11,sc/icons.sc,icon_oat,5;10,0;15
Chamomile,sc/nature_new.sc,crop_chamomile,sc/icons.sc,tool_plant_all,679,45,2,20,,500,500,100,32,,2,2,2,1,TID_CROP_CHAMOMILE,2,1,1,CropSeed,CropSeed,4,,2,17,sc/icons.sc,icon_chamomille,5;10,0;15
BlackBean,sc/nature_new.sc,crop_black_bean,sc/icons.sc,tool_plant_all,679,25,2,10,,500,500,100,32,,2,2,2,1,TID_CROP_BLACK_BEAN,2,1,1,CropSeed,CropSeed,4,,2,11,sc/icons.sc,icon_black_bean,5;10,0;15
