Name,TID,MinLevel,FrontIconFileName,FrontIconExportName,TargetIconFileName,TargetIconExportName,BaseColor,RibbonColor,StarLevel,BoxType,Rewards,RewardAmount,RewardPercentFromMax,MinAmount,MaxAmount,Target,FallbackBox,SpinWheelWeight,Notes,DescriptionTID,DiamondToCashRate,Deprecated
Box_Expansion_2Star,TID_BOX_EXPANSION_2STAR,22,sc/hud_decision_box.sc,dbox_icon_expansion,sc/icons.sc,icon_expansion,Dbox_Wood1,Dbox_Red,2,Upgrade,Land Deed,6,,,,FarmLowestExpansion,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Mallet,6,,,,FarmLowestExpansion,,,,,,
,,,,,,,,,,,Marker Stake,6,,,,FarmLowestExpansion,,,,,,
Box_Expansion_3Star,TID_BOX_EXPANSION_3STAR,22,sc/hud_decision_box.sc,dbox_icon_expansion,sc/icons.sc,icon_expansion,Dbox_Wood1,Dbox_Red,3,Upgrade,Land Deed,12,,,,FarmLowestExpansion,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Mallet,12,,,,FarmLowestExpansion,,,,,,
,,,,,,,,,,,Marker Stake,12,,,,FarmLowestExpansion,,,,,,
Box_ExpOrCoins,TID_BOX_EXPERIENCE_OR_COINS,,sc/hud_decision_box.sc,dbox_icon_coins_xp,sc/icons.sc,icon_mystery_task,Dbox_Blue,Dbox_Yellow,0,Fixed,ExpPoints,,5,500,42000,CurrentLvl,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,DiamondsAsCash,5,,,,,,,,,V2,
Box_TownUpgrade,TID_BOX_TOWN_UPGRADE,34,sc/hud_decision_box.sc,dbox_icon_town,sc/icons.sc,popup_townhall_normal,Dbox_White,Dbox_Blue,0,Random,Brick,2,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,TRUE
,,,,,,,,,,,Hammer,2,,,,,,,,,,
,,,,,,,,,,,Hand Drill,2,,,,,,,,,,
,,,,,,,,,,,Paint Bucket,2,,,,,,,,,,
,,,,,,,,,,,Stone Block,2,,,,,,,,,,
,,,,,,,,,,,Tar Bucket,2,,,,,,,,,,
,,,,,,,,,,,Map Piece,2,,,,,,,,,,
Box_Decos_Fence,TID_BOX_DECOS_FENCE,,sc/hud_decision_box.sc,dbox_icon_fences,sc/hud_decision_box.sc,dbox_icon_fences,Dbox_Green,Dbox_White,0,Random,GrassFenceS,3,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,TRUE
,,,,,,,,,,,GrassFenceL,3,,,,,,,,,,
,,,,,,,,,,,CrossFence,3,,,,,,,,,,
,,,,,,,,,,,WhiteFence,3,,,,,,,,,,
,,,,,,,,,,,HayFence,3,,,,,,,,,,
,,,,,,,,,,,RopeFence,3,,,,,,,,,,
,,,,,,,,,,,BlueFence,3,,,,,,,,,,
,,,,,,,,,,,FlowerFence,3,,,,,,,,,,
,,,,,,,,,,,PencilFence,3,,,,,,,,,,
,,,,,,,,,,,CNYFence,3,,,,,,,,,,
,,,,,,,,,,,FallFence,3,,,,,,,,,,
,,,,,,,,,,,CNYPillars,3,,,,,,,,,,
,,,,,,,,,,,WinterLoveFence,3,,,,,,,,,,
,,,,,,,,,,,Trellis fence,3,,,,,,,,,,
,,,,,,,,,,,Pasture fence cow,3,,,,,,,,,,
,,,,,,,,,,,Pasture fence chicken,3,,,,,,,,,,
,,,,,,,,,,,Classic farm fence,3,,,,,,,,,,
,,,,,,,,,,,Flag fence,3,,,,,,,,,,
,,,,,,,,,,,Birdhouse fence,3,,,,,,,,,,
,,,,,,,,,,,Rustic fence,3,,,,,,,,,,
,,,,,,,,,,,Stable fence,3,,,,,,,,,,
,,,,,,,,,,,Bamboo fence,3,,,,,,,,,,
,,,,,,,,,,,Masonry fence,3,,,,,,,,,,
,,,,,,,,,,,Railroad fence,3,,,,,,,,,,
,,,,,,,,,,,Flowershop fence,3,,,,,,,,,,
,,,,,,,,,,,Tropical fence,3,,,,,,,,,,
,,,,,,,,,,,Barrel fence,3,,,,,,,,,,
,,,,,,,,,,,Sunflower fence,3,,,,,,,,,,
,,,,,,,,,,,Pumpkin_fence,3,,,,,,,,,,
,,,,,,,,,,,Wicker_fence,3,,,,,,,,,,
,,,,,,,,,,,Market fence,3,,,,,,,,,,
,,,,,,,,,,,Carrot fence,3,,,,,,,,,,
,,,,,,,,,,,Derby fence,3,,,,,,,,,,
,,,,,,,,,,,Velvet rope fence,3,,,,,,,,,,
,,,,,,,,,,,Mediterranean fence,3,,,,,,,,,,
,,,,,,,,,,,Pool area fence,3,,,,,,,,,,
,,,,,,,,,,,Barricade fence,3,,,,,,,,,,
,,,,,,,,,,,Mushroom iron fence,3,,,,,,,,,,
,,,,,,,,,,,Garden fence,3,,,,,,,,,,
,,,,,,,,,,,Hay pole fence,3,,,,,,,,,,
,,,,,,,,,,,Pet fence,3,,,,,,,,,,
,,,,,,,,,,,Chamomile fence,3,,,,,,,,,,
,,,,,,,,,,,Grass board fence,3,,,,,,,,,,
,,,,,,,,,,,Slat fence,3,,,,,,,,,,
,,,,,,,,,,,Apple fence,3,,,,,,,,,,
,,,,,,,,,,,Centipede fence,3,,,,,,,,,,
Box_Decos_Paths,TID_BOX_DECOS_PATHS,,sc/hud_decision_box.sc,dbox_icon_paths,sc/hud_decision_box.sc,dbox_icon_paths,Dbox_White,Dbox_Green,0,Random,Stone Path,3,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,TRUE
,,,,,,,,,,,Sand Path,3,,,,,,,,,,
,,,,,,,,,,,Gravel Path,3,,,,,,,,,,
,,,,,,,,,,,Cobblestone Path,3,,,,,,,,,,
,,,,,,,,,,,Golden Path,3,,,,,,,,,,
,,,,,,,,,,,Log path,3,,,,,,,,,,
,,,,,,,,,,,Flower path,3,,,,,,,,,,
,,,,,,,,,,,Rainbow flower path,3,,,,,,,,,,
,,,,,,,,,,,Flower log path,3,,,,,,,,,,
,,,,,,,,,,,Mushroom path,3,,,,,,,,,,
,,,,,,,,,,,Poisonous mushroom path,3,,,,,,,,,,
,,,,,,,,,,,Sugarskull path,3,,,,,,,,,,
,,,,,,,,,,,Rosepetal path,3,,,,,,,,,,
,,,,,,,,,,,Hanami path,3,,,,,,,,,,
,,,,,,,,,,,Olympic Path,3,,,,,,,,,,
,,,,,,,,,,,Colorful Path,3,,,,,,,,,,
,,,,,,,,,,,Mosaic Path,3,,,,,,,,,,
,,,,,,,,,,,Succulent path,3,,,,,,,,,,
,,,,,,,,,,,Brick path,3,,,,,,,,,,
,,,,,,,,,,,Halloween path,3,,,,,,,,,,
,,,,,,,,,,,Jade path,3,,,,,,,,,,
,,,,,,,,,,,Rainbow path,3,,,,,,,,,,
,,,,,,,,,,,Gravel path grey,3,,,,,,,,,,
,,,,,,,,,,,Gravel path white,3,,,,,,,,,,
,,,,,,,,,,,Gravel path pastel,3,,,,,,,,,,
,,,,,,,,,,,Gravel path brown,3,,,,,,,,,,
,,,,,,,,,,,Gravel path pattern,3,,,,,,,,,,
,,,,,,,,,,,Park path,3,,,,,,,,,,
,,,,,,,,,,,Brown sunflower path,3,,,,,,,,,,
,,,,,,,,,,,Mint sunflower path,3,,,,,,,,,,
,,,,,,,,,,,Round_stone_path,3,,,,,,,,,,
,,,,,,,,,,,Bavarian_path,3,,,,,,,,,,
,,,,,,,,,,,Autumn_path,3,,,,,,,,,,
,,,,,,,,,,,Cheesemoon path,3,,,,,,,,,,
,,,,,,,,,,,Shamrock path,3,,,,,,,,,,
,,,,,,,,,,,Straw path,3,,,,,,,,,,
,,,,,,,,,,,Leafpile path,3,,,,,,,,,,
,,,,,,,,,,,Thanksgiving path,3,,,,,,,,,,
,,,,,,,,,,,Gingerbread path,3,,,,,,,,,,
,,,,,,,,,,,Jolly path,3,,,,,,,,,,
,,,,,,,,,,,Winter log path,3,,,,,,,,,,
,,,,,,,,,,,Path of harmony,3,,,,,,,,,,
,,,,,,,,,,,Peacock path,3,,,,,,,,,,
,,,,,,,,,,,LightLowTile,3,,,,,,,,,,
,,,,,,,,,,,DarkLowTile,3,,,,,,,,,,
,,,,,,,,,,,DarkGrassTile,3,,,,,,,,,,
,,,,,,,,,,,Sandpath,3,,,,,,,,,,
,,,,,,,,,,,Cleared snow path,3,,,,,,,,,,
,,,,,,,,,,,Dinosaur footprint path,3,,,,,,,,,,
,,,,,,,,,,,Creepy path,3,,,,,,,,,,
,,,,,,,,,,,Trail,3,,,,,,,,,,
,,,,,,,,,,,Ditch,3,,,,,,,,,,
,,,,,,,,,,,Easter tile,3,,,,,,,,,,
,,,,,,,,,,,Crescent tile,3,,,,,,,,,,
,,,,,,,,,,,Flower tile,3,,,,,,,,,,
,,,,,,,,,,,Mooncake_tile,3,,,,,,,,,,
,,,,,,,,,,,Snowflake_tile,3,,,,,,,,,,
,,,,,,,,,,,Heart tile,3,,,,,,,,,,
,,,,,,,,,,,Spring flower tile,3,,,,,,,,,,
,,,,,,,,,,,Light grass tile,3,,,,,,,,,,
,,,,,,,,,,,Dark grass tile,3,,,,,,,,,,
,,,,,,,,,,,Groovy tile,3,,,,,,,,,,
,,,,,,,,,,,Tropical tile,3,,,,,,,,,,
Box_Crops,TID_BOX_CROPS,11,sc/hud_decision_box.sc,dbox_icon_crop,sc/hud_decision_box.sc,dbox_icon_crop,Dbox_Yellow,Dbox_Green,0,Random,Wheat,10,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,TRUE
,,,,,,,,,,,Corn,10,,,,,,,,,,
,,,,,,,,,,,Soybean,10,,,,,,,,,,
,,,,,,,,,,,Sugarcane,10,,,,,,,,,,
,,,,,,,,,,,Carrot,10,,,,,,,,,,
,,,,,,,,,,,Indigo,10,,,,,,,,,,
,,,,,,,,,,,Pumpkin,10,,,,,,,,,,
,,,,,,,,,,,Cotton,10,,,,,,,,,,
,,,,,,,,,,,Chili,10,,,,,,,,,,
,,,,,,,,,,,Tomato,10,,,,,,,,,,
,,,,,,,,,,,Strawberry,10,,,,,,,,,,
,,,,,,,,,,,Potato,10,,,,,,,,,,
,,,,,,,,,,,Asparagus,10,,,,,,,,,,
,,,,,,,,,,,Sesame,10,,,,,,,,,,
,,,,,,,,,,,Pineapple,10,,,,,,,,,,
,,,,,,,,,,,Lily,10,,,,,,,,,,
,,,,,,,,,,,Rice,10,,,,,,,,,,
,,,,,,,,,,,Lettuce,10,,,,,,,,,,
,,,,,,,,,,,Garlic,10,,,,,,,,,,
,,,,,,,,,,,Sunflower,10,,,,,,,,,,
,,,,,,,,,,,Cabbage,10,,,,,,,,,,
,,,,,,,,,,,Onion,10,,,,,,,,,,
,,,,,,,,,,,Cucumber,10,,,,,,,,,,
,,,,,,,,,,,Beetroot,10,,,,,,,,,,
,,,,,,,,,,,Bellpepper,10,,,,,,,,,,
,,,,,,,,,,,Ginger,10,,,,,,,,,,
,,,,,,,,,,,TeaLeaves,10,,,,,,,,,,
,,,,,,,,,,,Peony,10,,,,,,,,,,
,,,,,,,,,,,Broccoli,10,,,,,,,,,,
,,,,,,,,,,,Grapes,10,,,,,,,,,,
,,,,,,,,,,,Mint,10,,,,,,,,,,
,,,,,,,,,,,PassionFruit,10,,,,,,,,,,
,,,,,,,,,,,Mushroom,10,,,,,,,,,,
,,,,,,,,,,,Eggplant,10,,,,,,,,,,
,,,,,,,,,,,Watermelon,10,,,,,,,,,,
,,,,,,,,,,,Clay,10,,,,,,,,,,
,,,,,,,,,,,Chickpea,10,,,,,,,,,,
,,,,,,,,,,,Oats,10,,,,,,,,,,
Box_Chick,TID_BOX_DECOS_CHICK,12,sc/hud_decision_box.sc,dbox_icon_chick,sc/hud_decision_box.sc,dbox_icon_crop,Dbox_Yellow,Dbox_Yellow,,Random,Chickleg Topiary,1,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Merry pranksters,1,,,,,,,,,,
,,,,,,,,,,,Chickfoot trophy,1,,,,,,,,,,
,,,,,,,,,,,Chick surprise,1,,,,,,,,,,
,,,,,,,,,,,Cherry blossom,1,,,,,,,,,,
,,,,,,,,,,,Chick Pool,1,,,,,,,,,,
,,,,,,,,,,,Lovely picnic,1,,,,,,,,,,
,,,,,,,,,,,Eggshellent bed,1,,,,,,,,,,
,,,,,,,,,,,Bakeoff,1,,,,,,,,,,
,,,,,,,,,,,Cake fight,1,,,,,,,,,,
,,,,,,,,,,,Fresh lemonade,1,,,,,,,,,,
,,,,,,,,,,,Carved Chick,1,,,,,,,,,,
,,,,,,,,,,,Seed spitting,1,,,,,,,,,,
,,,,,,,,,,,Great hatchini,1,,,,,,,,,,
,,,,,,,,,,,Sneaky beaks,1,,,,,,,,,,
,,,,,,,,,,,TNTilly,1,,,,,,,,,,
,,,,,,,,,,,Tiny Tom,1,,,,,,,,,,
,,,,,,,,,,,Average Chickzilla,1,,,,,,,,,,
,,,,,,,,,,,Beaktiste,1,,,,,,,,,,
Box_Random_1,TID_BOX_RANDOM_1,,sc/hud_decision_box.sc,dbox_icon_random,sc/hud_decision_box.sc,dbox_icon_crop,Dbox_Purple,Dbox_Yellow,,Random,GachaCurrency,200,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Diamonds,20,,,,,,,,,,
,,,,,,,,,,,FreeCash,5000,,,,,,,,,,
,,,,,,,,,,,DiamondsAsCash,6,,,,,,,,,,
,,,,,,,,,,,Voucher1,2,,,,,,,,,,
,,,,,,,,,,,Voucher2,2,,,,,,,,,,
,,,,,,,,,,,Voucher3,2,,,,,,,,,,
,,,,,,,,,,,Voucher4,2,,,,,,,,,,
,,,,,,,,,,,Expansion Key,50,,,,,,,,,,
,,,,,,,,,,,Land Deed,,15,,,FarmLowestExpansion,,,,,,
,,,,,,,,,,,Mallet,,15,,,FarmLowestExpansion,,,,,,
,,,,,,,,,,,Marker Stake,,15,,,FarmLowestExpansion,,,,,,
Box_TownUpgrade_1Star,TID_BOX_TOWN_UPGRADE_1STAR,34,sc/hud_decision_box.sc,dbox_icon_town,sc/icons.sc,popup_townhall_normal,Dbox_White,Dbox_Blue,1,Random,Brick,3,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Hammer,3,,,,,,,,,,
,,,,,,,,,,,Hand Drill,3,,,,,,,,,,
,,,,,,,,,,,Paint Bucket,3,,,,,,,,,,
,,,,,,,,,,,Stone Block,3,,,,,,,,,,
,,,,,,,,,,,Tar Bucket,3,,,,,,,,,,
,,,,,,,,,,,Map Piece,3,,,,,,,,,,
Box_TownUpgrade_2Star,TID_BOX_TOWN_UPGRADE_2STAR,34,sc/hud_decision_box.sc,dbox_icon_town,sc/icons.sc,popup_townhall_normal,Dbox_White,Dbox_Blue,2,Random,Brick,6,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Hammer,6,,,,,,,,,,
,,,,,,,,,,,Hand Drill,6,,,,,,,,,,
,,,,,,,,,,,Paint Bucket,6,,,,,,,,,,
,,,,,,,,,,,Stone Block,6,,,,,,,,,,
,,,,,,,,,,,Tar Bucket,6,,,,,,,,,,
,,,,,,,,,,,Map Piece,6,,,,,,,,,,
Box_TownUpgrade_3Star,TID_BOX_TOWN_UPGRADE_3STAR,34,sc/hud_decision_box.sc,dbox_icon_town,sc/icons.sc,popup_townhall_normal,Dbox_White,Dbox_Blue,3,Random,Brick,12,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Hammer,12,,,,,,,,,,
,,,,,,,,,,,Hand Drill,12,,,,,,,,,,
,,,,,,,,,,,Paint Bucket,12,,,,,,,,,,
,,,,,,,,,,,Stone Block,12,,,,,,,,,,
,,,,,,,,,,,Tar Bucket,12,,,,,,,,,,
,,,,,,,,,,,Map Piece,12,,,,,,,,,,
Box_Crops_1Star,TID_BOX_CROPS_1STAR,11,sc/hud_decision_box.sc,dbox_icon_crop,sc/hud_decision_box.sc,dbox_icon_crop,Dbox_Yellow,Dbox_Green,1,Random,Wheat,10,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Corn,10,,,,,,,,,,
,,,,,,,,,,,Soybean,10,,,,,,,,,,
,,,,,,,,,,,Sugarcane,10,,,,,,,,,,
,,,,,,,,,,,Carrot,10,,,,,,,,,,
,,,,,,,,,,,Indigo,10,,,,,,,,,,
,,,,,,,,,,,Pumpkin,10,,,,,,,,,,
,,,,,,,,,,,Cotton,10,,,,,,,,,,
,,,,,,,,,,,Chili,10,,,,,,,,,,
,,,,,,,,,,,Tomato,10,,,,,,,,,,
,,,,,,,,,,,Strawberry,10,,,,,,,,,,
,,,,,,,,,,,Potato,10,,,,,,,,,,
,,,,,,,,,,,Asparagus,10,,,,,,,,,,
,,,,,,,,,,,Sesame,10,,,,,,,,,,
,,,,,,,,,,,Pineapple,10,,,,,,,,,,
,,,,,,,,,,,Lily,10,,,,,,,,,,
,,,,,,,,,,,Rice,10,,,,,,,,,,
,,,,,,,,,,,Lettuce,10,,,,,,,,,,
,,,,,,,,,,,Garlic,10,,,,,,,,,,
,,,,,,,,,,,Sunflower,10,,,,,,,,,,
,,,,,,,,,,,Cabbage,10,,,,,,,,,,
,,,,,,,,,,,Onion,10,,,,,,,,,,
,,,,,,,,,,,Cucumber,10,,,,,,,,,,
,,,,,,,,,,,Beetroot,10,,,,,,,,,,
,,,,,,,,,,,Bellpepper,10,,,,,,,,,,
,,,,,,,,,,,Ginger,10,,,,,,,,,,
,,,,,,,,,,,TeaLeaves,10,,,,,,,,,,
,,,,,,,,,,,Peony,10,,,,,,,,,,
,,,,,,,,,,,Broccoli,10,,,,,,,,,,
,,,,,,,,,,,Grapes,10,,,,,,,,,,
,,,,,,,,,,,Mint,10,,,,,,,,,,
,,,,,,,,,,,PassionFruit,10,,,,,,,,,,
,,,,,,,,,,,Mushroom,10,,,,,,,,,,
,,,,,,,,,,,Eggplant,10,,,,,,,,,,
,,,,,,,,,,,Watermelon,10,,,,,,,,,,
,,,,,,,,,,,Clay,10,,,,,,,,,,
,,,,,,,,,,,Chickpea,10,,,,,,,,,,
,,,,,,,,,,,Oats,10,,,,,,,,,,
Box_Crops_2Star,TID_BOX_CROPS_2STAR,11,sc/hud_decision_box.sc,dbox_icon_crop,sc/hud_decision_box.sc,dbox_icon_crop,Dbox_Yellow,Dbox_Green,2,Random,Wheat,25,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Corn,25,,,,,,,,,,
,,,,,,,,,,,Soybean,25,,,,,,,,,,
,,,,,,,,,,,Sugarcane,25,,,,,,,,,,
,,,,,,,,,,,Carrot,25,,,,,,,,,,
,,,,,,,,,,,Indigo,25,,,,,,,,,,
,,,,,,,,,,,Pumpkin,25,,,,,,,,,,
,,,,,,,,,,,Cotton,25,,,,,,,,,,
,,,,,,,,,,,Chili,25,,,,,,,,,,
,,,,,,,,,,,Tomato,25,,,,,,,,,,
,,,,,,,,,,,Strawberry,25,,,,,,,,,,
,,,,,,,,,,,Potato,25,,,,,,,,,,
,,,,,,,,,,,Asparagus,25,,,,,,,,,,
,,,,,,,,,,,Sesame,25,,,,,,,,,,
,,,,,,,,,,,Pineapple,25,,,,,,,,,,
,,,,,,,,,,,Lily,25,,,,,,,,,,
,,,,,,,,,,,Rice,25,,,,,,,,,,
,,,,,,,,,,,Lettuce,25,,,,,,,,,,
,,,,,,,,,,,Garlic,25,,,,,,,,,,
,,,,,,,,,,,Sunflower,25,,,,,,,,,,
,,,,,,,,,,,Cabbage,25,,,,,,,,,,
,,,,,,,,,,,Onion,25,,,,,,,,,,
,,,,,,,,,,,Cucumber,25,,,,,,,,,,
,,,,,,,,,,,Beetroot,25,,,,,,,,,,
,,,,,,,,,,,Bellpepper,25,,,,,,,,,,
,,,,,,,,,,,Ginger,25,,,,,,,,,,
,,,,,,,,,,,TeaLeaves,25,,,,,,,,,,
,,,,,,,,,,,Peony,25,,,,,,,,,,
,,,,,,,,,,,Broccoli,25,,,,,,,,,,
,,,,,,,,,,,Grapes,25,,,,,,,,,,
,,,,,,,,,,,Mint,25,,,,,,,,,,
,,,,,,,,,,,PassionFruit,25,,,,,,,,,,
,,,,,,,,,,,Mushroom,25,,,,,,,,,,
,,,,,,,,,,,Eggplant,25,,,,,,,,,,
,,,,,,,,,,,Watermelon,25,,,,,,,,,,
,,,,,,,,,,,Clay,25,,,,,,,,,,
,,,,,,,,,,,Chickpea,25,,,,,,,,,,
,,,,,,,,,,,Oats,25,,,,,,,,,,
Box_Crops_3Star,TID_BOX_CROPS_3STAR,11,sc/hud_decision_box.sc,dbox_icon_crop,sc/hud_decision_box.sc,dbox_icon_crop,Dbox_Yellow,Dbox_Green,3,Random,Wheat,50,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Corn,50,,,,,,,,,,
,,,,,,,,,,,Soybean,50,,,,,,,,,,
,,,,,,,,,,,Sugarcane,50,,,,,,,,,,
,,,,,,,,,,,Carrot,50,,,,,,,,,,
,,,,,,,,,,,Indigo,50,,,,,,,,,,
,,,,,,,,,,,Pumpkin,50,,,,,,,,,,
,,,,,,,,,,,Cotton,50,,,,,,,,,,
,,,,,,,,,,,Chili,50,,,,,,,,,,
,,,,,,,,,,,Tomato,50,,,,,,,,,,
,,,,,,,,,,,Strawberry,50,,,,,,,,,,
,,,,,,,,,,,Potato,50,,,,,,,,,,
,,,,,,,,,,,Asparagus,50,,,,,,,,,,
,,,,,,,,,,,Sesame,50,,,,,,,,,,
,,,,,,,,,,,Pineapple,50,,,,,,,,,,
,,,,,,,,,,,Lily,50,,,,,,,,,,
,,,,,,,,,,,Rice,50,,,,,,,,,,
,,,,,,,,,,,Lettuce,50,,,,,,,,,,
,,,,,,,,,,,Garlic,50,,,,,,,,,,
,,,,,,,,,,,Sunflower,50,,,,,,,,,,
,,,,,,,,,,,Cabbage,50,,,,,,,,,,
,,,,,,,,,,,Onion,50,,,,,,,,,,
,,,,,,,,,,,Cucumber,50,,,,,,,,,,
,,,,,,,,,,,Beetroot,50,,,,,,,,,,
,,,,,,,,,,,Bellpepper,50,,,,,,,,,,
,,,,,,,,,,,Ginger,50,,,,,,,,,,
,,,,,,,,,,,TeaLeaves,50,,,,,,,,,,
,,,,,,,,,,,Peony,50,,,,,,,,,,
,,,,,,,,,,,Broccoli,50,,,,,,,,,,
,,,,,,,,,,,Grapes,50,,,,,,,,,,
,,,,,,,,,,,Mint,50,,,,,,,,,,
,,,,,,,,,,,PassionFruit,50,,,,,,,,,,
,,,,,,,,,,,Mushroom,50,,,,,,,,,,
,,,,,,,,,,,Eggplant,50,,,,,,,,,,
,,,,,,,,,,,Watermelon,50,,,,,,,,,,
,,,,,,,,,,,Clay,50,,,,,,,,,,
,,,,,,,,,,,Chickpea,50,,,,,,,,,,
,,,,,,,,,,,Oats,50,,,,,,,,,,
Box_Tools_1Star,TID_BOX_TOOLS_BASIC_1STAR,5,sc/hud_decision_box.sc,dbox_icon_tool,sc/hud_decision_box.sc,dbox_icon_tool,Dbox_Wood1,Dbox_Blue,1,Random,Dynamite,2,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Demolition Charge,2,,,,,,,,,,
,,,,,,,,,,,Axe,2,,,,,,,,,,
,,,,,,,,,,,Saw,2,,,,,,,,,,
,,,,,,,,,,,Shovel,2,,,,,,,,,,
,,,,,,,,,,,Pickaxe,1,,,,,,,,,,
Box_Tools_2Star,TID_BOX_TOOLS_BASIC_2STAR,5,sc/hud_decision_box.sc,dbox_icon_tool,sc/hud_decision_box.sc,dbox_icon_tool,Dbox_Wood1,Dbox_Blue,2,Random,Dynamite,4,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Demolition Charge,4,,,,,,,,,,
,,,,,,,,,,,Axe,4,,,,,,,,,,
,,,,,,,,,,,Saw,4,,,,,,,,,,
,,,,,,,,,,,Shovel,4,,,,,,,,,,
,,,,,,,,,,,Pickaxe,2,,,,,,,,,,
Box_Tools_3Star,TID_BOX_TOOLS_BASIC_3STAR,5,sc/hud_decision_box.sc,dbox_icon_tool,sc/hud_decision_box.sc,dbox_icon_tool,Dbox_Wood1,Dbox_Blue,3,Random,Dynamite,8,,,,,,,,TID_BOX_GENERIC_DESCRIPTION,,
,,,,,,,,,,,Demolition Charge,8,,,,,,,,,,
,,,,,,,,,,,Axe,8,,,,,,,,,,
,,,,,,,,,,,Saw,8,,,,,,,,,,
