FileName,Farm,Fishing,Town,DecorationCanvas,Editor,
sc/decos07_valley.sc,TRUE,,TRUE,TRUE,TRUE,
sc/background.sc,TRUE,,TRUE,TRUE,,
sc/fruit_trees_berrybushes.sc,TRUE,,,,,
sc/whitehouse_skins.sc,TRUE,,,,,
sc/humans.sc,TRUE,,TRUE,TRUE,,
sc/map.sc,TRUE,,,,,
sc/animals03.sc,TRUE,,TRUE,,,train animals
sc/animals04.sc,TRUE,,TRUE,,,train animals
sc/animals05.sc,TRUE,,TRUE,,,train animals
sc/trucks_skins.sc,TRUE,,,,,
sc/newspaper.sc,TRUE,,,,,
sc/rss_skins.sc,TRUE,,,,,
sc/train_humans.sc,TRUE,,TRUE,,,
sc/order_images.sc,TRUE,,,,,
sc/fruit_trees_berrybushes02.sc,TRUE,,,,,
sc/humans02.sc,TRUE,,,,,
sc/humans03.sc,TRUE,,,,,
sc/hud_guest.sc,TRUE,,,,,
sc/fishing_background.sc,,TRUE,,,,
sc/fishes.sc,,TRUE,,,,
sc/scrapbook.sc,,TRUE,,,,fishing scrapbook
sc/fishing_area_buildings_and_decos.sc,,TRUE,,,,
sc/fishing_humans.sc,,TRUE,,,,
sc/train_buildings.sc,,,TRUE,,,
sc/train_puzzlebook.sc,,,TRUE,,,
sc/train_background.sc,TRUE,,TRUE,TRUE,,
sc/train_nature.sc,,,TRUE,,,
sc/seasonal_creatures.sc,TRUE,,,,,
sc/decos02_seasonal_winter.sc,TRUE,,TRUE,TRUE,TRUE,
sc/decos02_seasonal_halloween.sc,TRUE,,TRUE,TRUE,TRUE,
sc/animal_accessories.sc,TRUE,TRUE,TRUE,TRUE,TRUE,
sc/FreshBeats.sc,TRUE,,,,,
sc/hud_movie_ticket.sc,TRUE,,,,,
sc/hud_levelup.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_nh_object.sc,TRUE,TRUE,TRUE,,,
sc/decos02_seasonal_thanksgiving.sc,TRUE,TRUE,TRUE,TRUE,TRUE,
sc/nh_object.sc,TRUE,,,,,
sc/hud_order_board.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_tooltip.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_levelup.sc,TRUE,,,,,
sc/hud_decision_box.sc,TRUE,TRUE,TRUE,TRUE,,
sc/survey.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_emotes.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_probability.sc,TRUE,TRUE,TRUE,TRUE,,
sc/hud_buyer_tom.sc,TRUE,,,,,
sc/decos02_seasonal_valentines.sc,TRUE,TRUE,TRUE,TRUE,TRUE,
sc/hud_wheel_of_fortune.sc,TRUE,,,,,
sc/decos02_seasonal_easter.sc,TRUE,,TRUE,TRUE,TRUE,
sc/decos02_seasonal_lunar_new_year.sc,TRUE,,TRUE,TRUE,TRUE,
sc/hud_ship_orders.sc,TRUE,,,,,
sc/hud_roadside_shop.sc,TRUE,,,,,
sc/hud_workbench.sc,TRUE,,,,,
sc/hud_chain_offers.sc,TRUE,TRUE,TRUE,TRUE,,
sc/decos02_seasonal_spring.sc,TRUE,,TRUE,TRUE,TRUE,
sc/decos02_seasonal_summer.sc,TRUE,,TRUE,TRUE,TRUE,
sc/decos02_seasonal_birthday.sc,TRUE,,TRUE,TRUE,TRUE,
sc/decos08_water.sc,TRUE,,TRUE,TRUE,TRUE,
sc/decos02_seasonal_autumn.sc,TRUE,,TRUE,TRUE,TRUE,
sc/hud_help_gps.sc,TRUE,,,,,
