XpLevel,ConstantExp,GiftsPerDay,Remark
190,10000,1,
191,10000,1,
192,10000,1,
193,10000,1,
194,10000,1,
195,10000,1,
196,10000,1,
197,10000,1,
198,10000,1,
199,10000,1,
200,10000,1,
201,10000,1,
202,10000,1,
203,10000,1,
204,10000,1,
205,10000,1,
206,10000,1,
207,10000,1,
208,10000,1,
209,10000,1,
210,10000,1,
211,10000,1,
212,10000,1,
213,10000,1,
214,10000,1,
215,10000,1,
216,10000,1,
217,10000,1,
218,10000,1,
219,10000,1,
220,10000,1,
221,10000,1,
222,10000,1,
223,10000,1,
224,10000,1,
225,10000,1,
226,10000,1,
227,10000,1,
228,10000,1,
229,10000,1,
230,10000,1,
231,10000,1,
232,10000,1,
233,10000,1,
234,10000,1,
235,10000,1,
236,10000,1,
237,10000,1,
238,10000,1,
239,10000,1,
240,10000,1,
241,10000,1,
242,10000,1,
243,10000,1,
244,10000,1,
245,10000,1,
246,10000,1,
247,10000,1,
248,10000,1,
249,10000,1,
250,10000,1,
251,10000,1,
252,10000,1,
253,10000,1,
254,10000,1,
255,10000,1,
256,10000,1,
257,10000,1,
258,10000,1,
259,10000,1,
260,10000,1,
261,10000,1,
262,10000,1,
263,10000,1,
264,10000,1,
265,10000,1,
266,10000,1,
267,10000,1,
268,10000,1,
269,10000,1,
270,10000,1,
271,10000,1,
272,10000,1,
273,10000,1,
274,10000,1,
275,10000,1,
276,10000,1,
277,10000,1,
278,10000,1,
279,10000,1,
280,10000,1,
281,10000,1,
282,10000,1,
283,10000,1,
284,10000,1,
285,10000,1,
286,10000,1,
287,10000,1,
288,10000,1,
289,10000,1,
290,10000,1,
291,10000,1,
292,10000,1,
293,10000,1,
294,10000,1,
295,10000,1,
296,10000,1,
297,10000,1,
298,10000,1,
299,10000,1,
300,10000,1,
301,10000,1,
302,10000,1,
303,10000,1,
304,10000,1,
305,10000,1,
306,10000,1,
307,10000,1,
308,10000,1,
309,10000,1,
310,10000,1,
311,10000,1,
312,10000,1,
313,10000,1,
314,10000,1,
315,10000,1,
316,10000,1,
317,10000,1,
318,10000,1,
319,10000,1,
320,10000,1,
321,10000,1,
322,10000,1,
323,10000,1,
324,10000,1,
325,10000,1,
326,10000,1,
327,10000,1,
328,10000,1,
329,10000,1,
330,10000,1,
331,10000,1,
332,10000,1,
333,10000,1,
334,10000,1,
335,10000,1,
336,10000,1,
337,10000,1,
338,10000,1,
339,10000,1,
340,10000,1,
341,10000,1,
342,10000,1,
343,10000,1,
344,10000,1,
345,10000,1,
346,10000,1,
347,10000,1,
348,10000,1,
349,10000,1,
350,10000,1,
351,10000,1,
352,10000,1,
353,10000,1,
354,10000,1,
355,10000,1,
356,10000,1,
357,10000,1,
358,10000,1,
359,10000,1,
360,10000,1,
361,10000,1,
362,10000,1,
363,10000,1,
364,10000,1,
365,10000,1,
366,10000,1,
367,10000,1,
368,10000,1,
369,10000,1,
370,10000,1,
371,10000,1,
372,10000,1,
373,10000,1,
374,10000,1,
375,10000,1,
376,10000,1,
377,10000,1,
378,10000,1,
379,10000,1,
380,10000,1,
381,10000,1,
382,10000,1,
383,10000,1,
384,10000,1,
385,10000,1,
386,10000,1,
387,10000,1,
388,10000,1,
389,10000,1,
390,10000,1,
391,10000,1,
392,10000,1,
393,10000,1,
394,10000,1,
395,10000,1,
396,10000,1,
397,10000,1,
398,10000,1,
399,10000,1,
400,10000,1,
401,10000,1,
402,10000,1,
403,10000,1,
404,10000,1,
405,10000,1,
406,10000,1,
407,10000,1,
408,10000,1,
409,10000,1,
410,10000,1,
411,10000,1,
412,10000,1,
413,10000,1,
414,10000,1,
415,10000,1,
416,10000,1,
417,10000,1,
418,10000,1,
419,10000,1,
420,10000,1,
421,10000,1,
422,10000,1,
423,10000,1,
424,10000,1,
425,10000,1,
426,10000,1,
427,10000,1,
428,10000,1,
429,10000,1,
430,10000,1,
431,10000,1,
432,10000,1,
433,10000,1,
434,10000,1,
435,10000,1,
436,10000,1,
437,10000,1,
438,10000,1,
439,10000,1,
440,10000,1,
441,10000,1,
442,10000,1,
443,10000,1,
444,10000,1,
445,10000,1,
446,10000,1,
447,10000,1,
448,10000,1,
449,10000,1,
450,10000,1,
451,10000,1,
452,10000,1,
453,10000,1,
454,10000,1,
455,10000,1,
456,10000,1,
457,10000,1,
458,10000,1,
459,10000,1,
460,10000,1,
461,10000,1,
462,10000,1,
463,10000,1,
464,10000,1,
465,10000,1,
466,10000,1,
467,10000,1,
468,10000,1,
469,10000,1,
470,10000,1,
471,10000,1,
472,10000,1,
473,10000,1,
474,10000,1,
475,10000,1,
476,10000,1,
477,10000,1,
478,10000,1,
479,10000,1,
480,10000,1,
481,10000,1,
482,10000,1,
483,10000,1,
484,10000,1,
485,10000,1,
486,10000,1,
487,10000,1,
488,10000,1,
489,10000,1,
490,10000,1,
491,10000,1,
492,10000,1,
493,10000,1,
494,10000,1,
495,10000,1,
496,10000,1,
497,10000,1,
498,10000,1,
499,10000,1,
500,10000,1,
501,10000,1,
502,10000,1,
503,10000,1,
504,10000,1,
505,10000,1,
506,10000,1,
507,10000,1,
508,10000,1,
509,10000,1,
510,10000,1,
511,10000,1,
512,10000,1,
513,10000,1,
514,10000,1,
515,10000,1,
516,10000,1,
517,10000,1,
518,10000,1,
519,10000,1,
520,10000,1,
521,10000,1,
522,10000,1,
523,10000,1,
524,10000,1,
525,10000,1,
526,10000,1,
527,10000,1,
528,10000,1,
529,10000,1,
530,10000,1,
531,10000,1,
532,10000,1,
533,10000,1,
534,10000,1,
535,10000,1,
536,10000,1,
537,10000,1,
538,10000,1,
539,10000,1,
540,10000,1,
541,10000,1,
542,10000,1,
543,10000,1,
544,10000,1,
545,10000,1,
546,10000,1,
547,10000,1,
548,10000,1,
549,10000,1,
550,10000,1,
551,10000,1,
552,10000,1,
553,10000,1,
554,10000,1,
555,10000,1,
556,10000,1,
557,10000,1,
558,10000,1,
559,10000,1,
560,10000,1,
561,10000,1,
562,10000,1,
563,10000,1,
564,10000,1,
565,10000,1,
566,10000,1,
567,10000,1,
568,10000,1,
569,10000,1,
570,10000,1,
571,10000,1,
572,10000,1,
573,10000,1,
574,10000,1,
575,10000,1,
576,10000,1,
577,10000,1,
578,10000,1,
579,10000,1,
580,10000,1,
581,10000,1,
582,10000,1,
583,10000,1,
584,10000,1,
585,10000,1,
586,10000,1,
587,10000,1,
588,10000,1,
589,10000,1,
590,10000,1,
591,10000,1,
592,10000,1,
593,10000,1,
594,10000,1,
595,10000,1,
596,10000,1,
597,10000,1,
598,10000,1,
599,10000,1,
600,10000,1,
601,10000,1,
602,10000,1,
603,10000,1,
604,10000,1,
605,10000,1,
606,10000,1,
607,10000,1,
608,10000,1,
609,10000,1,
610,10000,1,
611,10000,1,
612,10000,1,
613,10000,1,
614,10000,1,
615,10000,1,
616,10000,1,
617,10000,1,
618,10000,1,
619,10000,1,
620,10000,1,
621,10000,1,
622,10000,1,
623,10000,1,
624,10000,1,
625,10000,1,
626,10000,1,
627,10000,1,
628,10000,1,
629,10000,1,
630,10000,1,
631,10000,1,
632,10000,1,
633,10000,1,
634,10000,1,
635,10000,1,
636,10000,1,
637,10000,1,
638,10000,1,
639,10000,1,
640,10000,1,
641,10000,1,
642,10000,1,
643,10000,1,
644,10000,1,
645,10000,1,
646,10000,1,
647,10000,1,
648,10000,1,
649,10000,1,
650,10000,1,
651,10000,1,
652,10000,1,
653,10000,1,
654,10000,1,
655,10000,1,
656,10000,1,
657,10000,1,
658,10000,1,
659,10000,1,
660,10000,1,
661,10000,1,
662,10000,1,
663,10000,1,
664,10000,1,
665,10000,1,
666,10000,1,
667,10000,1,
668,10000,1,
669,10000,1,
670,10000,1,
671,10000,1,
672,10000,1,
673,10000,1,
674,10000,1,
675,10000,1,
676,10000,1,
677,10000,1,
678,10000,1,
679,10000,1,
680,10000,1,
681,10000,1,
682,10000,1,
683,10000,1,
684,10000,1,
685,10000,1,
686,10000,1,
687,10000,1,
688,10000,1,
689,10000,1,
690,10000,1,
691,10000,1,
692,10000,1,
693,10000,1,
694,10000,1,
695,10000,1,
696,10000,1,
697,10000,1,
698,10000,1,
699,10000,1,
700,10000,1,
701,10000,1,
702,10000,1,
703,10000,1,
704,10000,1,
705,10000,1,
706,10000,1,
707,10000,1,
708,10000,1,
709,10000,1,
710,10000,1,
711,10000,1,
712,10000,1,
713,10000,1,
714,10000,1,
715,10000,1,
716,10000,1,
717,10000,1,
718,10000,1,
719,10000,1,
720,10000,1,
721,10000,1,
722,10000,1,
723,10000,1,
724,10000,1,
725,10000,1,
726,10000,1,
727,10000,1,
728,10000,1,
729,10000,1,
730,10000,1,
731,10000,1,
732,10000,1,
733,10000,1,
734,10000,1,
735,10000,1,
736,10000,1,
737,10000,1,
738,10000,1,
739,10000,1,
740,10000,1,
741,10000,1,
742,10000,1,
743,10000,1,
744,10000,1,
745,10000,1,
746,10000,1,
747,10000,1,
748,10000,1,
749,10000,1,
750,10000,1,
751,10000,1,
752,10000,1,
753,10000,1,
754,10000,1,
755,10000,1,
756,10000,1,
757,10000,1,
758,10000,1,
759,10000,1,
760,10000,1,
761,10000,1,
762,10000,1,
763,10000,1,
764,10000,1,
765,10000,1,
766,10000,1,
767,10000,1,
768,10000,1,
769,10000,1,
770,10000,1,
771,10000,1,
772,10000,1,
773,10000,1,
774,10000,1,
775,10000,1,
776,10000,1,
777,10000,1,
778,10000,1,
779,10000,1,
780,10000,1,
781,10000,1,
782,10000,1,
783,10000,1,
784,10000,1,
785,10000,1,
786,10000,1,
787,10000,1,
788,10000,1,
789,10000,1,
790,10000,1,
791,10000,1,
792,10000,1,
793,10000,1,
794,10000,1,
795,10000,1,
796,10000,1,
797,10000,1,
798,10000,1,
799,10000,1,
800,10000,1,
801,10000,1,
802,10000,1,
803,10000,1,
804,10000,1,
805,10000,1,
806,10000,1,
807,10000,1,
808,10000,1,
809,10000,1,
810,10000,1,
811,10000,1,
812,10000,1,
813,10000,1,
814,10000,1,
815,10000,1,
816,10000,1,
817,10000,1,
818,10000,1,
819,10000,1,
820,10000,1,
821,10000,1,
822,10000,1,
823,10000,1,
824,10000,1,
825,10000,1,
826,10000,1,
827,10000,1,
828,10000,1,
829,10000,1,
830,10000,1,
831,10000,1,
832,10000,1,
833,10000,1,
834,10000,1,
835,10000,1,
836,10000,1,
837,10000,1,
838,10000,1,
839,10000,1,
840,10000,1,
841,10000,1,
842,10000,1,
843,10000,1,
844,10000,1,
845,10000,1,
846,10000,1,
847,10000,1,
848,10000,1,
849,10000,1,
850,10000,1,
851,10000,1,
852,10000,1,
853,10000,1,
854,10000,1,
855,10000,1,
856,10000,1,
857,10000,1,
858,10000,1,
859,10000,1,
860,10000,1,
861,10000,1,
862,10000,1,
863,10000,1,
864,10000,1,
865,10000,1,
866,10000,1,
867,10000,1,
868,10000,1,
869,10000,1,
870,10000,1,
871,10000,1,
872,10000,1,
873,10000,1,
874,10000,1,
875,10000,1,
876,10000,1,
877,10000,1,
878,10000,1,
879,10000,1,
880,10000,1,
881,10000,1,
882,10000,1,
883,10000,1,
884,10000,1,
885,10000,1,
886,10000,1,
887,10000,1,
888,10000,1,
889,10000,1,
890,10000,1,
891,10000,1,
892,10000,1,
893,10000,1,
894,10000,1,
895,10000,1,
896,10000,1,
897,10000,1,
898,10000,1,
899,10000,1,
900,10000,1,
901,10000,1,
902,10000,1,
903,10000,1,
904,10000,1,
905,10000,1,
906,10000,1,
907,10000,1,
908,10000,1,
909,10000,1,
910,10000,1,
911,10000,1,
912,10000,1,
913,10000,1,
914,10000,1,
915,10000,1,
916,10000,1,
917,10000,1,
918,10000,1,
919,10000,1,
920,10000,1,
921,10000,1,
922,10000,1,
923,10000,1,
924,10000,1,
925,10000,1,
926,10000,1,
927,10000,1,
928,10000,1,
929,10000,1,
930,10000,1,
931,10000,1,
932,10000,1,
933,10000,1,
934,10000,1,
935,10000,1,
936,10000,1,
937,10000,1,
938,10000,1,
939,10000,1,
940,10000,1,
941,10000,1,
942,10000,1,
943,10000,1,
944,10000,1,
945,10000,1,
946,10000,1,
947,10000,1,
948,10000,1,
949,10000,1,
950,10000,1,
951,10000,1,
952,10000,1,
953,10000,1,
954,10000,1,
955,10000,1,
956,10000,1,
957,10000,1,
958,10000,1,
959,10000,1,
960,10000,1,
961,10000,1,
962,10000,1,
963,10000,1,
964,10000,1,
965,10000,1,
966,10000,1,
967,10000,1,
968,10000,1,
969,10000,1,
970,10000,1,
971,10000,1,
972,10000,1,
973,10000,1,
974,10000,1,
975,10000,1,
976,10000,1,
977,10000,1,
978,10000,1,
979,10000,1,
980,10000,1,
981,10000,1,
982,10000,1,
983,10000,1,
984,10000,1,
985,10000,1,
986,10000,1,
987,10000,1,
988,10000,1,
989,10000,1,
990,10000,1,
991,10000,1,
992,10000,1,
993,10000,1,
994,10000,1,
995,10000,1,
996,10000,1,
997,10000,1,
998,10000,1,
999,10000,1,
1000,10000,1,
