Name,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,ShopIconClipped,UnlockLevel,TimeMin,TimeSec,Slots,Price,PriceIncrease,DoPriceIncreaseEveryNObject,MaxHabitatsColumnName,FileName,ExportName,ExportNameMastered,TileWidth,TileHeight,ExpToBuild,InstantComplete,TID,DescriptionTID,TapSound,TapProcessingSound,CollectSound,BuySound,RandomSounds,BuildingMasteryHours,BuildingMasteryBonusPercent,BuildingMasteryBonusType,BuildingMasteryStarDiamondPrice,BuildingMasteryWorkbenchMigrationLevel,BuildingMasteryEnabled,PendingRelease,SeasonalObject,Deprecated
,,,,,,,,,9,,,,,,,,,,,,,,,,,,520,-15,SpeedUp,2198,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,135,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Sugar_Mill,,,,,7,0,,2,100,199650,1,MaxSugarMills,sc/buildings_new.sc,sugarmill_01,sugarmill_01_mastered,2,2,13,0,TID_SUGAR_MILL,TID_SUGAR_MILL_DESCRIPTION,SugarmillTap,SugarmillTapProcessing,Collect,Buy,,25,10,Coin,465,1,TRUE,,,
,,,,,,,,,6,,,,,sugarmill_02,sugarmill_02_mastered,,,,,,,,,,,,125,10,Exp,1050,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,525,-15,SpeedUp,2282,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Pie_Oven,,,,,14,0,,2,1000,,,,sc/buildings_new.sc,pie_oven_01,pie_oven_01_mastered,3,3,17,0,TID_PIE_OVEN,TID_PIE_OVEN_DESCRIPTION,SelectPieOwenIdle,SelecPieOwenProcess,Collect,Buy,,40,10,Coin,545,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,200,10,Exp,1242,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,840,-15,SpeedUp,2688,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Loom,,,120,,17,0,,2,3200,,,,sc/buildings_new.sc,loom_01,loom_01_mastered,2,2,24,0,TID_LOOM,TID_LOOM_DESCRIPTION,LoomTap,LoomTapProcessing,Collect,Buy,,36,10,Coin,525,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,216,10,Exp,1290,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1116,-15,SpeedUp,3031,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Cake_Oven,,,120,,21,0,,2,12100,,,,sc/buildings_new.sc,cakery_01,cakery_01_mastered,3,3,24,0,TID_CAKE_OVEN,TID_CAKE_OVEN_DESCRIPTION,SelectCakeOwenIdle,SelectCakeOwenProcess,Collect,Buy,,65,10,Coin,645,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,325,10,Exp,1470,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1365,-15,SpeedUp,3185,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbecue_Grill,,,125,,9,0,,2,500,,,,sc/buildings_new.sc,grill_01,grill_01_mastered,2,2,14,0,TID_BARBECUE_GRILL,TID_BARBECUE_GRILL_DESCRIPTION,BarbecueTapProcessing,BarbecueTapProcessing,Collect,Buy,,30,10,Coin,495,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,150,10,Exp,1122,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,630,-15,SpeedUp,2429,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Juice_Press,,,,,26,0,,2,31000,,,,sc/buildings_new.sc,juicepress_01,juicepress_01_mastered,2,2,27,0,TID_JUICE_PRESS,TID_JUICE_PRESS_DESCRIPTION,JuicePressIdle,JuicePressProcessing,Collect,Buy,,50,10,Coin,590,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,300,10,Exp,1452,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1550,-15,SpeedUp,3395,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Jam_Maker,,,,,35,0,,2,59000,,,,sc/buildings_new.sc,jamcooker_01,jamcooker_01_mastered,2,2,28,0,TID_JAM_MAKER,TID_JAM_MAKER_DESCRIPTION,JuicePressIdle,JamMakerProcessing,Collect,Buy,,90,10,Coin,725,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,450,10,Exp,1650,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1890,-15,SpeedUp,3570,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Smelter,,,115,,24,0,,1,12500,9500,1,MaxSmelters,sc/buildings_new.sc,smelter_01,smelter_01_mastered,2,2,21,0,TID_SMELTER,TID_SMELTER_DESCRIPTION,BakeryTap,DairyTap,Collect,Buy,,390,10,Coin,1210,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,1930,10,Exp,2742,2,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,8110,-15,SpeedUp,5943,3,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice_Cream_Maker,,,120,,29,0,,2,38000,,,,sc/buildings_new.sc,ice_cream_maker01,ice_cream_maker01_mastered,2,3,27,0,TID_ICE_CREAM_MAKER,TID_ICE_CREAM_MAKER_DESCRIPTION,JuicePressIdle,JamMakerProcessing,Collect,Buy,,60,10,Coin,630,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,300,5,Exp,1428,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,660,-15,SpeedUp,2198,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeweler,,,110,,38,0,,2,68000,,,,sc/buildings_new.sc,jewelry_01,jewelry_01_mastered,2,2,28,0,TID_JEWELER,TID_JEWELER_DESCRIPTION,JuicePressIdle,DairyTap,Collect,Buy,,70,10,Coin,665,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,350,5,Exp,1512,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1470,-15,SpeedUp,3269,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafe_Kiosk,,,110,,42,0,,2,75000,,,,sc/buildings_new.sc,coffee_kiosk01,coffee_kiosk01_mastered,2,2,28,0,TID_CAFE,TID_CAFE_DESCRIPTION,JuicePressIdle,DairyTap,Collect,Buy,,70,10,Coin,665,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,310,5,Exp,1428,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1270,-15,SpeedUp,3094,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Candy_Machine,,,120,,51,0,,2,120000,,,,sc/buildings_new.sc,candy_maker_01,candy_maker_01_mastered,2,2,27,0,TID_CANDY_MACHINE,TID_CANDY_MACHINE_DESCRIPTION,JuicePressIdle,DairyTap,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Soup_Kitchen,,,130,,46,0,,2,115000,,,,sc/buildings_new.sc,soup_kitchen_01,soup_kitchen_01_mastered,2,2,28,0,TID_SOUP_KITCHEN,TID_SOUP_KITCHEN_DESCRIPTION,SoupKitchenTap,SoupKitchenProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauce_Mixer,,,120,,54,0,,2,135000,,,,sc/buildings_new.sc,saucemixer,saucemixer_mastered,3,3,30,0,TID_SAUCEMIXER,TID_SAUCEMIXER_DESCRIPTION,SauceMachineTap,SauceMachineTapProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Sushi_Bar,,,110,,56,0,,2,150000,,,,sc/buildings_new.sc,sushi_bar,sushi_bar_mastered,2,2,31,0,TID_SUSHIBAR,TID_SUSHIBAR_DESCRIPTION,SushiBarTap,SushiBarTapProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Salad_Bar,,,,,58,0,,2,165000,,,,sc/buildings_new.sc,salad_bar,salad_bar_mastered,3,3,32,0,TID_SALADBAR,TID_SALADBAR_DESCRIPTION,SaladBarTap,SaladBarTapProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich_Bar,,,,,61,0,,2,180000,,,,sc/buildings_new.sc,sandwich_bar,sandwich_bar_mastery,3,3,34,0,TID_SANDWICHBAR,TID_SANDWICHBAR_DESCRIPTION,SandwichBarTap,SandwichBarTapProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Smoothie_Mixer,,,125,,64,0,,2,220000,,,,sc/buildings_new.sc,smoothie_mixer,smoothie_mixer_mastery,2,2,39,0,TID_SMOOTHIEMIXER,TID_SMOOTHIEMIXER_DESCRIPTION,SmoothieMixerTap,SmoothieMixerTapProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Sewing_Machine,,,110,,19,0,,2,4500,,,,sc/buildings_new.sc,sowing_machine,sowing_machine_mastered,2,2,24,0,TID_SEWINGMACHINE,TID_SEWINGMACHINE_DESCRIPTION,SewingMachineTap,SewingMachineTapProcessing,Collect,Buy,,72,10,Coin,670,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,3,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,4,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Honey_Extractor,,,120,,39,0,,2,35000,,,,sc/buildings_new.sc,honey_extractor,honey_extractor_mastered,2,2,24,0,TID_HONEYEXTRACTOR,TID_HONEYEXTRACTOR_DESCRIPTION,SauceMachineTap,SauceMachineTapProcessing,Collect,Buy,,50,10,Coin,590,1,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,200,5,Exp,1212,2,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,650,-15,SpeedUp,2373,3,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Candle_Maker,,,130,,48,0,,2,118000,,,,sc/buildings_new.sc,candle_maker,candle_maker_mastered,2,2,24,0,TID_CANDLEMAKER,TID_CANDLEMAKER_DESCRIPTION,SauceMachineTap,SauceMachineTapProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Hat_Maker,,,105,,70,0,,2,260000,,,,sc/buildings_new.sc,hat_maker,hat_maker_mastery,2,2,40,0,TID_HATMAKER,TID_HATMAKER_DESCRIPTION,SewingMachineTap,SewingMachineTapProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasta_Maker,,,130,,67,0,,2,400000,,,,sc/buildings_new.sc,pasta_maker,pasta_maker_mastered,2,2,43,0,TID_PASTA_MAKER,TID_PASTA_MAKER_DESCRIPTION,SaladBarTap,SaladBarTapProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotdog_Stand,,,105,,75,0,,2,650000,,,,sc/buildings_new.sc,hotdog_stand,hotdog_stand_mastered,2,2,41,0,TID_HOTDOG_STAND,TID_HOTDOG_STAND_DESCRIPTION,BarbecueTapProcessing,BarbecueTapProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasta_Kitchen,,,,,72,0,,2,550000,,,,sc/buildings_new.sc,pasta_kitchen,pasta_kitchen_mastered,2,2,42,0,TID_PASTA_KITCHEN,TID_PASTA_KITCHEN_DESCRIPTION,SoupKitchenTap,SoupKitchenProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco_Kitchen,,,115,,77,0,,2,700000,,,,sc/buildings_new.sc,mexican_kitchen,mexican_kitchen_mastered,2,2,43,0,TID_TACOKITCHEN,TID_TACO_KITCHEN_DESCRIPTION,TacoKitchenTap,TacoKitchenProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,
Tea_Stand,,,115,,80,0,,2,750000,,,,sc/buildings_new.sc,tea_stand,tea_stand_mastered,2,2,44,0,TID_TEASTAND,TID_TEA_STAND_DESCRIPTION,TeaStandTap,TeaStandProcessing,Collect,Buy,,72,10,Coin,670,,TRUE,,,
,,,,,,,,,6,,,,,,,,,,,,,,,,,,360,5,Exp,1524,,,,,
,,,,,,,,,9,,,,,,,,,,,,,,,,,,1512,-15,SpeedUp,3304,,,,,
,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
