Name,FileName,ExportName,RequiredLevel,CheckForRealMoneySpent,SkipVideo,SkipVideoSpenders,FirstRewardIsDiamondProbability,FirstRewardIsDiamondProbabilitySpenders,FinishedDiamondReward,DailyAdsCount,DailyAdsCountSpenders,CycleDurationMinutes,CycleDurationMinutesSpenders,MoviesPerCycle,MoviesPerCycleSpenders,OnlyInHighMemoryDevices,EnableInAndroid,Rewards,RewardAmounts,Probabilities,RewardsForced,RewardsForcedAmount,RewardsSpenders,RewardAmountsSpenders,ProbabilitiesSpenders,RewardsForcedSpenders,RewardsForcedAmountSpenders,Deprecated,TimeCut,TimeCutDiamondAmout,TimeCutTreshold,TimeCutPercent,OnlyInHome,Notification
,,,,,,,,,,,,,,,,,,Stable fence,2,2,,,Stable fence,2,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Garden flowers,1,2,,,Garden flowers,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Bench_2,1,2,,,Bench_2,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Barricade fence,2,2,,,Barricade fence,2,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Moonfish lantern,1,2,,,Moonfish lantern,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Maibaum,1,2,,,Maibaum,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Bunny hedge,1,2,,,Bunny hedge,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Round_stone_path,2,2,,,Round_stone_path,2,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Small birch tree,1,2,,,Small birch tree,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Mooncake_table,1,2,,,Mooncake_table,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Tulip patch,1,2,,,Tulip patch,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Mixed flowers,1,2,,,Mixed flowers,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,NewYearTelescope,1,2,,,NewYearTelescope,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,MushroomHouse,1,2,,,MushroomHouse,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,HalloweenDeadTree,1,2,,,HalloweenDeadTree,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,HalloweenTombstone,1,2,,,HalloweenTombstone,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Red_tree,1,2,,,Red_tree,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Purple_tree,1,2,,,Purple_tree,1,2,,,,,,,,,
ProductionTimeCut,sc/buildings_new.sc,movie_ticket,11,,TRUE,TRUE,0,0,1,6,6,0,0,1,1,,TRUE,,,,,,,,,,,,,,,50,TRUE,
,,,,,,,,,,,,30,30,2,2,,,,,,,,,,,,,,,,,,,
DailyShopFree,sc/buildings_new.sc,movie_ticket,,,TRUE,TRUE,,,,1,1,0,0,1,1,,TRUE,FreeDiamonds,1,12,,,FreeDiamonds,1,12,,,,,,,,,ShopDailyReward
,,,,,,,,,,,,,,,,,,Axe,1,9,,,Axe,1,9,,,,,,,,,
,,,,,,,,,,,,,,,,,,Saw,1,9,,,Saw,1,9,,,,,,,,,
,,,,,,,,,,,,,,,,,,Shovel,1,9,,,Shovel,1,9,,,,,,,,,
,,,,,,,,,,,,,,,,,,Dynamite,1,9,,,Dynamite,1,9,,,,,,,,,
,,,,,,,,,,,,,,,,,,Demolition Charge,1,9,,,Demolition Charge,1,9,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pickaxe,1,5,,,Pickaxe,1,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Plank,1,5,,,Plank,1,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Nail,1,5,,,Nail,1,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Bolt,1,5,,,Bolt,1,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Screw,1,5,,,Screw,1,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Duct Tape,1,5,,,Duct Tape,1,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Wood Panel,1,5,,,Wood Panel,1,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Land Deed,1,5,,,Land Deed,1,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Mallet,1,5,,,Mallet,1,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Marker Stake,1,3,,,Marker Stake,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Hammer,1,3,,,Hammer,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Hand Drill,1,3,,,Hand Drill,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Paint Bucket,1,3,,,Paint Bucket,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Stone Block,1,3,,,Stone Block,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Brick,1,3,,,Brick,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Tar Bucket,1,2,,,Tar Bucket,1,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Map Piece,1,10,,,Map Piece,1,10,,,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher1,1,6,,,Voucher1,1,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher2,1,3,,,Voucher2,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher3,1,1,,,Voucher3,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher4,1,1,,,Voucher4,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,FreeCash,100,7,,,FreeCash,100,7,,,,,,,,,
,,,,,,,,,,,,,,,,,,FreeCash,150,6,,,FreeCash,150,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,FreeCash,300,5,,,FreeCash,300,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,FreeCash,400,4,,,FreeCash,400,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,FreeCash,500,3,,,FreeCash,500,3,,,,,,,,,
DailyShopAd,sc/buildings_new.sc,movie_ticket,,,TRUE,TRUE,,,,1,1,0,0,1,1,,TRUE,FreeDiamonds,1,6,,,FreeDiamonds,1,6,,,,,,,,,
,,,,,,,,,,,,30,30,1,1,,,FreeDiamonds,5,2,,,FreeDiamonds,5,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,GachaCurrency,10,3,,,GachaCurrency,10,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,GachaCurrency,25,1,,,GachaCurrency,25,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,Plank,1,10,,,Plank,1,10,,,,,,,,,
,,,,,,,,,,,,,,,,,,Nail,1,10,,,Nail,1,10,,,,,,,,,
,,,,,,,,,,,,,,,,,,Bolt,1,10,,,Bolt,1,10,,,,,,,,,
,,,,,,,,,,,,,,,,,,Screw,1,10,,,Screw,1,10,,,,,,,,,
,,,,,,,,,,,,,,,,,,Duct Tape,1,10,,,Duct Tape,1,10,,,,,,,,,
,,,,,,,,,,,,,,,,,,Wood Panel,1,10,,,Wood Panel,1,10,,,,,,,,,
,,,,,,,,,,,,,,,,,,Nail,3,3,,,Nail,3,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Bolt,3,3,,,Bolt,3,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Screw,3,3,,,Screw,3,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Duct Tape,3,3,,,Duct Tape,3,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Wood Panel,3,3,,,Wood Panel,3,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Land Deed,1,5,,,Land Deed,1,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Mallet,1,5,,,Mallet,1,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,Marker Stake,1,3,,,Marker Stake,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Land Deed,2,2,,,Land Deed,2,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Mallet,2,2,,,Mallet,2,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Marker Stake,2,2,,,Marker Stake,2,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher2,1,3,,,Voucher2,1,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher3,1,1,,,Voucher3,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,Voucher4,1,1,,,Voucher4,1,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,FreeCash,5000,10,,,FreeCash,5000,10,,,,,,,,,
MysteryBoxAd,sc/buildings_new.sc,movie_ticket,,,TRUE,TRUE,0,0,1,1,1,,1,,,,TRUE,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SpinWheel,sc/buildings_new.sc,movie_ticket,,,TRUE,TRUE,0,0,1,1,1,,1,,,,TRUE,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DoubleTruckOrder,sc/buildings_new.sc,movie_ticket,11,,TRUE,TRUE,0,0,1,2,2,,2,,,,TRUE,,,,,,,,,,,,,,,,TRUE,
ProductCancel,sc/buildings_new.sc,movie_ticket,11,,TRUE,TRUE,0,0,1,2,2,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,
