Name,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,ShopIconClipped,UnlockLevel,RepUnlockLevel,ShopOrder,FileName,ExportName,ExportNameMirror,TileWidth,TileHeight,Price,DiamondPrice,DiscountPercentage,Vouchers,VoucherCount,PriceIncrease,DoPriceIncreaseEveryNObject,ShopDescriptionTID,TID,BuySound,AttractsButterflies,BirdsLand,SpawnsBirds,SpawnsFrogs,TapSound,CanBuy,SpinWheelPrize,BuyExp,Theme,TagSpecial,TagNature,TagDeco,TagSanctuary,TagStatue,HideFromLevelUpScreen,SanctuaryAnimal,PerceivedValue,UseCase,Passable,WaterDeco,WaterMovement
Haybale_1,,,,,9,0,,sc/decos01_generic.sc,haybale_1,,1,1,250,,,,,75,1,TID_HAYBALE_1_DESCRIPTION,TID_HAYBALE_1,Buy,,,,,TapDecorationGeneric,TRUE,,18,,,,TRUE,,,,,,,,,
Wheebarrow,,,,,12,0,,sc/decos01_generic.sc,wheelbarrow,,1,1,,16,,,,,,TID_WHEELBARROW_DESCRIPTION,TID_WHEELBARROW,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,48,,,,TRUE,,,,,,,,,
Birdhouse_2,,,,,9,0,,sc/decos01_generic.sc,birdhouse_2,,1,1,,5,,,,,,TID_BIRDHOUSE_2_DESCRIPTION,TID_BIRDHOUSE_2,Buy,,TRUE,TRUE,,TapDecorationGeneric,TRUE,,15,,,,TRUE,,,,,,,,,
Gazebo_2,,,,,19,0,,sc/decos01_generic.sc,gazebo_2,,2,2,,30,,,,,,TID_GAZEBO_2_DESCRIPTION,TID_GAZEBO_2,Buy,,,,,TapDecorationGeneric,TRUE,,90,,,,TRUE,,,,,,,,,
Haybale_2,,,,,18,0,,sc/decos01_generic.sc,haybale_2,,2,1,,8,,,,,,TID_HAYBALE_2_DESCRIPTION,TID_HAYBALE_2,Buy,,,,,TapDecorationGeneric,TRUE,,24,,,,TRUE,,,,,,,,,
Flowerpot_2,,,,,16,0,,sc/decos01_generic.sc,flowerpot_2,,1,1,39,,,,,5,1,TID_YELLOWFLOWERS_DESCRIPTION,TID_YELLOWFLOWERS,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,4,,,TRUE,,,TRUE,,,,,,,
Bench_1,,,,,20,0,,sc/decos01_generic.sc,bench_01,,2,1,350,,,,,50,1,TID_WOODENBENCH_DESCRIPTION,TID_WOODENBENCH,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,TRUE,,,,,,,,,
Bench_2,,,,,23,0,,sc/decos01_generic.sc,bench_02,,2,1,,20,,,,,,TID_WHITEBENCH_DESCRIPTION,TID_WHITEBENCH,Buy,,,,,TapDecorationGeneric,TRUE,,60,,,,TRUE,,,,,,,,,
Pond_1,,,,,22,0,,sc/decos01_generic.sc,pond_01,,2,2,2500,,,,,500,1,TID_SMALLPOND_DESCRIPTION,TID_SMALLPOND,Buy,,,,TRUE,TapDecorationWater,TRUE,,50,,,TRUE,,,,,,,,,,
Pond_2,,,,,22,0,,sc/decos01_generic.sc,pond_02,,3,3,,,,Voucher1,3,,,TID_LARGEPOND_DESCRIPTION,TID_LARGEPOND,Buy,,,,TRUE,TapDecorationWater,TRUE,,100,,,TRUE,,,,,,,,,,
Waterwell,,,,,27,0,,sc/decos01_generic.sc,well,,1,1,,,,Voucher1,2,,,TID_WATERWELL_DESCRIPTION,TID_WATERWELL,Buy,,,,,TapDecorationGeneric,TRUE,,100,,,,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,Voucher2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Outhouse,,,,,28,0,,sc/decos01_generic.sc,outhouse,,1,1,400,,,,,50,1,TID_OUTHOUSE_DESCRIPTION,TID_OUTHOUSE,Buy,,,,,TapDecorationGeneric,TRUE,,30,,,,TRUE,,,,,,,,,
Swingset,,,110,,33,0,,sc/decos01_generic.sc,swing_01,,2,1,,,,Voucher4,2,,,TID_SWINGSET_DESCRIPTION,TID_SWINGSET,Buy,,,,,TapDecorationGeneric,TRUE,,150,,,,,,TRUE,,,,,,,
Bonfire,,,,,31,0,,sc/decos01_generic.sc,bonfire,,1,1,1000,,,,,75,1,TID_BONFIRE_DESCRIPTION,TID_BONFIRE,Buy,,,,,TapDecorationGeneric,TRUE,,40,,,,TRUE,,,,,,,,,
Fountain,,,,,36,0,,sc/decos01_generic.sc,fountain,,1,1,,,,Voucher2,2,,,TID_FOUNTAIN_DESCRIPTION,TID_FOUNTAIN,Buy,,,,,TapDecorationWater,TRUE,,150,,,,,,TRUE,,,,,,,
,,,,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodpile,,,,,14,0,,sc/decos01_generic.sc,woodpile,,1,1,19,,,,,5,1,TID_WOODPILE_DESCRIPTION,TID_WOODPILE,Buy,,,,,TapDecorationGeneric,TRUE,,2,,,,TRUE,,,,,,,,,
Flowerlog,,,,,13,0,,sc/decos01_generic.sc,flowerlog,,1,1,99,,,,,5,1,TID_FLOWERLOG_DESCRIPTION,TID_FLOWERLOG,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,10,,,TRUE,,,,,,,,,,
HolidayTree,,,,,1,0,,sc/decos02_seasonal.sc,holiday_tree,,1,1,,30,,,,,,TID_HOLIDAYTREE_DESCRIPTION,TID_HOLIDAYTREE,Buy,,TRUE,,,TapDecorationXmas,TRUE,,50,Christmas,,,,,TRUE,,,,Seasonal,,,
Gifts,,,,,1,0,,sc/decos02_seasonal.sc,gifts,,1,1,2500,,,,,500,1,TID_GIFTS_DESCRIPTION,TID_GIFTS,Buy,,,,,TapDecorationXmas,TRUE,,18,Christmas,,,,,TRUE,,,,Seasonal,,,
ToySoldier,,,,,1,0,,sc/decos02_seasonal.sc,toy_soldier,,1,1,,2,,,,,,TID_TOYSOLDIER_DESCRIPTION,TID_TOYSOLDIER,Buy,,,,,TapDecorationXmas,TRUE,,25,Christmas,,,,,TRUE,,,,Seasonal,,,
CandyPole,,,,,1,0,,sc/decos02_seasonal.sc,candy_pole,,1,1,1000,,,,,200,1,TID_CANDYPOLE_DESCRIPTION,TID_CANDYPOLE,Buy,,,,,TapDecorationXmas,TRUE,,9,Christmas,,,,,TRUE,,,,Seasonal,,,
HolidayFlower,,,,,1,0,,sc/decos02_seasonal.sc,holiday_flowers,,1,1,300,,,,,100,1,TID_HOLIDAYFLOWER_DESCRIPTION,TID_HOLIDAYFLOWER,Buy,,,,,TapDecorationXmas,TRUE,,15,Christmas,,TRUE,,,TRUE,,,,Seasonal,,,
Snowman,,,,,1,0,,sc/decos02_seasonal.sc,snowman,,1,1,,25,,,,,,TID_SNOWMAN_DESCRIPTION,TID_SNOWMAN,Buy,,,,,TapDecorationXmas,TRUE,,30,Christmas,,,,,TRUE,,,,Seasonal,,,
FrozenPond_1,,,,,1,0,,sc/decos02_seasonal.sc,frozen_pond_01,,2,2,,10,,,,,,TID_FROZENPOND_1_DESCRIPTION,TID_FROZENPOND_1,Buy,,,,,TapDecorationXmas,TRUE,,45,Christmas,,TRUE,,,,,,,Seasonal,,,
FrozenPond_2,,,,,1,0,,sc/decos02_seasonal.sc,frozen_pond_02,,3,3,,14,,,,,,TID_FROZENPOND_2_DESCRIPTION,TID_FROZENPOND_2,Buy,,,,,TapDecorationXmas,TRUE,,50,Christmas,,TRUE,,,,,,,Seasonal,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClassicTopiary,,,,,17,0,,sc/decos01_generic.sc,classic_topiary,,1,1,,5,,,,,,TID_REGULAR_TOPIARY_DESCRIPTION,TID_REGULAR_TOPIARY,Buy,,,,,TapDecorationGeneric,TRUE,,90,,,TRUE,,,TRUE,,,,,,,
ConeTopiary,,,,,17,0,,sc/decos01_generic.sc,cone_topiary,,1,1,,8,,,,,,TID_CONE_TOPIARY_DESCRIPTION,TID_CONE_TOPIARY,Buy,,,,,TapDecorationGeneric,TRUE,,95,,,TRUE,,,TRUE,,,,,,,
Bridge,,,,,28,0,,sc/decos01_generic.sc,bridge,,3,4,,,,Voucher1,45,,,TID_BRIDGE_DESCRIPTION,TID_BRIDGE,Buy,,,,,TapDecorationWater,TRUE,,100,,,,,,TRUE,,,,,,,
BirdBath,,,90,,31,0,,sc/decos01_generic.sc,bird_bath,,1,1,,,,Voucher1,1,,,TID_BIRD_BATH_DESCRIPTION,TID_BIRD_BATH,Buy,,TRUE,TRUE,,TapDecorationWater,TRUE,,100,,,,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pool,,,,,30,0,,sc/decos01_generic.sc,swimming_pool,,2,3,,,,Voucher2,2,,,TID_POOL_DESCRIPTION,TID_POOL,Buy,,,,,TapDecorationWater,TRUE,,150,,,,,,TRUE,,,,,,,
,,,,,,,,,,,,,,,,Voucher4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
PicnicTable,,,,,38,0,,sc/decos01_generic.sc,picnic_table,,2,2,3500,,,,,50,1,TID_PICNIC_TABLE_DESCRIPTION,TID_PICNIC_TABLE,Buy,,,,,TapDecorationGeneric,TRUE,,50,,,,,,TRUE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LadyBug,,,,,1,0,,sc/decos01_generic.sc,ladybug,,1,1,250,,,,,25,1,TID_FLOWER_LADYBUG_DESCRIPTION,TID_FLOWER_LADYBUG,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,,,TRUE,,,,,,,
Butterfly,,,,,1,0,,sc/decos01_generic.sc,butterfly,,1,1,300,,,,,30,1,TID_FLOWER_BUTTERFLY_DESCRIPTION,TID_FLOWER_BUTTERFLY,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,,,TRUE,,,,,,,
Caterpillar,,,,,1,0,,sc/decos01_generic.sc,caterpillar,,1,1,200,,,,,20,1,TID_CATERPILLAR_DESCRIPTION,TID_CATERPILLAR,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,,,TRUE,,,,,,,
GnomeFemale,,,,,1,0,,sc/decos01_generic.sc,gnome_female,,1,1,350,,,,,35,1,TID_GNOME_FEMALE_DESCRIPTION,TID_GNOME_FEMALE,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,,,TRUE,,,,,,,
GnomeMale,,,,,1,0,,sc/decos01_generic.sc,gnome_male,,1,1,350,,,,,35,1,TID_GNOME_MALE_DESCRIPTION,TID_GNOME_MALE,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,,,TRUE,,,,,,,
HeartTopiary,,,,,1,0,,sc/decos01_generic.sc,heart_topiary,,1,1,500,,,,,50,1,TID_HEART_TOPIARY_DESCRIPTION,TID_HEART_TOPIARY,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,TRUE,,,TRUE,,,,,,,
CraneTopiary,,,,,1,0,,sc/decos01_generic.sc,crane_topiary,,1,1,500,,,,,50,1,TID_CRANE_TOPIARY_DESCRIPTION,TID_CRANE_TOPIARY,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,TRUE,,,TRUE,,,,,,,
Exotic Topiary,,,,,1,0,,sc/decos01_generic.sc,exotic_topiary,,1,1,500,,,,,50,1,TID_FANCY_TOPIARY_DESCRIPTION,TID_FANCY_TOPIARY,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,TRUE,,,TRUE,,,,,,,
BikeBasket,,,,,1,0,,sc/decos01_generic.sc,bike_basket,,1,2,250,,,,,25,1,TID_BIKE_BASKET_DESCRIPTION,TID_BIKE_BASKET,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,,,TRUE,,,,,,,
MaleBike,,,,,1,0,,sc/decos01_generic.sc,bike_boy,,1,2,250,,,,,25,1,TID_MALE_BIKE_DESCRIPTION,TID_MALE_BIKE,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,,,TRUE,,,,,,,
LayeredTopiary,,,,,1,0,,sc/decos01_generic.sc,layered_topiary,,2,2,700,,,,,70,1,TID_LAYERED_TOPIARY_DESCRIPTION,TID_LAYERED_TOPIARY,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,TRUE,,,TRUE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterfall,,,,,21,0,,sc/decos01_generic.sc,waterfall,,3,3,,,,Voucher4,15,,,TID_WATERFALL_DESCRIPTION,TID_WATERFALL,Buy,,,,,TapDecorationWater,TRUE,,350,,,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FrogKing,,,,,1,0,,sc/decos01_generic.sc,frog_king,,1,1,,,,,,,,TID_FROGKING_DESCRIPTION,TID_FROGKING,Buy,,,,,TapDecorationGeneric,,,,,,,,,TRUE,,,,,,,
Tortoise,,,,,1,0,,sc/decos01_generic.sc,tortoise,,1,1,,,,,,,,TID_TORTOISE_DESCRIPTION,TID_TORTOISE,Buy,,,,,TapDecorationGeneric,,,,,,,,,TRUE,,,,,,,
GardenBoyStatue,,,,,1,0,,sc/decos01_generic.sc,garden_boy_statue,,2,2,,,,,,,,TID_GARDENBOYSTATUE_DESCRIPTION,TID_GARDENBOYSTATUE,Buy,,,,,TapDecorationWater,,,,,,,,,TRUE,,,,,,,
Snail,,,85,,1,0,,sc/decos01_generic.sc,snail,,1,1,,,,,,,,TID_SNAIL_DESCRIPTION,TID_SNAIL,Buy,,,,,TapDecorationGeneric,,,,,,,,,TRUE,,,,,,,
Windmill,,,110,,1,0,,sc/decos01_generic.sc,windmill,,1,1,,,,,,,,TID_WINDMILL_DESCRIPTION,TID_WINDMILL,Buy,,,,,TapDecorationGeneric,,,,,,,TRUE,,,,,,,,,
OldBike,,,,,1,0,,sc/decos01_generic.sc,old_bike,,2,1,,,,,,,,TID_OLD_BIKE_DESCRIPTION,TID_OLD_BIKE,Buy,,,,,TapDecorationGeneric,,,,,,,,,TRUE,,,,,,,
TractorGift,,,,,1,0,,sc/decos01_generic.sc,tractor,,3,2,,,,,,,,TID_TRACTOR_DESCRIPTION,TID_TRACTOR,Buy,,,,,TapDecorationGeneric,,,,,,,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PineTree_Big,,,,,28,0,,sc/decos01_generic.sc,deco_fir_big_01,,1,1,,,,Voucher3,2,,,TID_PINETREE_BIG_DESCRIPTION,TID_PINETREE_BIG,Buy,,TRUE,,,BigPineTap,TRUE,,100,,,TRUE,,,,,,,,,,
PineTree_Med,,,,,28,0,,sc/decos01_generic.sc,deco_fir_medium_01,,1,1,,,,Voucher1,5,,,TID_PINETREE_MED_DESCRIPTION,TID_PINETREE_MED,Buy,,TRUE,,,BigPineTap,TRUE,,100,,,TRUE,,,,,,,,,,
PineTree_Small,,,,,25,0,,sc/decos01_generic.sc,deco_fir_small_01,,1,1,6000,,,,,1000,1,TID_PINETREE_SMALL_DESCRIPTION,TID_PINETREE_SMALL,Buy,,TRUE,,,BigPineTap,TRUE,,75,,,TRUE,,,,,,,,,,
LeafyTree_Big1,,,,,28,0,,sc/decos01_generic.sc,deco_leafy_big_01,,1,1,,,,Voucher1,5,,,TID_LEAFYTREE_BIG1_DESCRIPTION,TID_LEAFYTREE_BIG1,Buy,,TRUE,,,BigPineTap,TRUE,,100,,,TRUE,,,,,,,,,,
LeafyTree_Big2,,,,,28,0,,sc/decos01_generic.sc,deco_leafy_big_02,,1,1,,,,Voucher2,3,,,TID_LEAFYTREE_BIG2_DESCRIPTION,TID_LEAFYTREE_BIG2,Buy,,TRUE,,,BigPineTap,TRUE,,100,,,TRUE,,,,,,,,,,
LeafyTree_Small,,,,,25,0,,sc/decos01_generic.sc,deco_leafy_small_01,,1,1,6000,,,,,1000,1,TID_LEAFYTREE_SMALL_DESCRIPTION,TID_LEAFYTREE_SMALL,Buy,,TRUE,,,BigPineTap,TRUE,,75,,,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tractor,,,,,45,0,,sc/decos01_generic.sc,tractor,,3,2,1500000,,,,,250000,1,TID_TRACTOR_DESCRIPTION,TID_TRACTOR,Buy,,,,,TapDecorationGeneric,TRUE,,1000,,,,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PicnicMat,,,,,1,0,,sc/decos01_generic.sc,picnic,,1,1,,7,,,,,,TID_DECO_GENERIC_DESCRIPTION,TID_DECO_PICNICMAT,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,,,TRUE,,,,,,,
PoolWithSlide,,,,,1,0,,sc/decos01_generic.sc,pool_with_slide,,1,1,6000,,,,,1000,1,TID_DECO_GENERIC_DESCRIPTION,TID_DECO_POOLWITHSLIDE,Buy,,,,,TapDecorationWater,TRUE,,25,,,,,,TRUE,,,,,,,
StatueET,,,,,43,0,,sc/decos01_generic.sc,et_statue,,1,1,1000000,,,,,250000,1,TID_DECO_STATUE_ET_DESCRIPTION,TID_DECO_STATUE_ET,Buy,,,,,TapDecorationGeneric,TRUE,,250,,,,,,TRUE,,,,,,,
StatueSinging,,,,,46,0,,sc/decos01_generic.sc,singing_statue,,1,1,1250000,,,,,250000,1,TID_DECO_STATUE_SINGING_DESCRIPTION,TID_DECO_STATUE_SINGING,Buy,,,,,TapDecorationGeneric,TRUE,,250,,,,,,TRUE,,,,,,,
StatueAlice,,,,,49,0,,sc/decos01_generic.sc,alice_statue,,1,1,1500000,,,,,250000,1,TID_DECO_STATUE_ALICE_DESCRIPTION,TID_DECO_STATUE_ALICE,Buy,,,,,TapDecorationGeneric,TRUE,,250,,,,,,TRUE,,,,,,,
StatueRocky,,,,,52,0,,sc/decos01_generic.sc,rocky_statue,,1,1,1750000,,,,,250000,1,TID_DECO_STATUE_ROCKY_DESCRIPTION,TID_DECO_STATUE_ROCKY,Buy,,,,,TapDecorationGeneric,TRUE,,250,,,,,,TRUE,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PearlOfTheSea,,,,,1,0,,sc/decos01_generic.sc,pearl_of_the_sea,,1,1,,999,,,,,,TID_PEARLOFTHESEA_DESCRIPTION,TID_PEARLOFTHESEA,Buy,,,,,TapDecorationGeneric,,,,,TRUE,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HalloweenTombstone,,,,,1,0,,sc/decos02_seasonal.sc,halloween_tombstone_diamond,,1,1,,10,,,,,,TID_DECO_HALLOWEEN_TOMBSTONE_DESC,TID_DECO_HALLOWEEN_TOMBSTONE,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween,,,,,TRUE,,,,Seasonal,,,
HalloweenPumpkintotem,,,,,1,0,,sc/decos02_seasonal.sc,halloween_pumpkin_totem,,1,1,5000,,,,,1000,1,TID_DECO_HALLOWEEN_PUMPKINTOTEM_DESC,TID_DECO_HALLOWEEN_PUMPKINTOTEM,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween,,,,,TRUE,,,,Seasonal,,,
HalloweenCoffin,,,,,1,0,,sc/decos02_seasonal.sc,halloween_coffin,,2,2,,999,,,,,,TID_DECO_HALLOWEEN_COFFIN_DESC,TID_DECO_HALLOWEEN_COFFIN,Buy,,,,,TapDecorationGeneric,,,25,Halloween,,,,,TRUE,,,,Shop,,,
HalloweenDeadTree,,,,,1,0,,sc/decos02_seasonal.sc,halloween_dead_tree,,1,1,,40,,,,,,TID_DECO_HALLOWEEN_DEAD_TREE_DESC,TID_DECO_HALLOWEEN_DEAD_TREE,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween,,,,,TRUE,,,,Seasonal,,,
HalloweenPumpkinLantern,,,,,1,0,,sc/decos02_seasonal.sc,halloween_pumpkin,,1,1,2000,,,,,500,1,TID_DECO_HALLOWEEN_PUMPKIN_DESC,TID_DECO_HALLOWEEN_PUMPKIN,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween,,,,,TRUE,,,,Seasonal,,,
HalloweenCauldron,,,,,1,0,,sc/decos02_seasonal.sc,halloween_cauldron,,1,1,,15,,,,,,TID_DECO_HALLOWEEN_CAULDRON_DESC,TID_DECO_HALLOWEEN_CAULDRON,Buy,,,,,TapDecorationGeneric,TRUE,,25,Halloween,,,,,TRUE,,,,Seasonal,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChristmasSnowglobe,,,,,1,0,,sc/decos02_seasonal.sc,snowglobe,,2,2,,110,,,,,,TID_DECO_CHRISTMAS_BELL_DESC,TID_DECO_CHRISTMAS_SNOWGLOBE,Buy,,,,,TapDecorationXmas,TRUE,,25,Christmas,,,,,TRUE,,,11000,Seasonal,,,
ChristmasLantern,,,110,,1,0,,sc/decos02_seasonal.sc,snowball_lantern,,1,1,,5,,,,,,TID_DECO_CHRISTMAS_BELL_DESC,TID_DECO_CHRISTMAS_LANTERN,Buy,,,,,TapDecorationXmas,TRUE,,25,Christmas,,,,,TRUE,,,,Seasonal,,,
ChristmasSledge,,,130,,1,0,,sc/decos02_seasonal.sc,sledge,,1,1,,90,,,,,,TID_DECO_CHRISTMAS_SNOWGLOBE_DESC,TID_DECO_CHRISTMAS_SLEDGE,Buy,,,,,TapDecorationXmas,TRUE,,25,Christmas,,,,,TRUE,,,,Seasonal,,,
NewYearTelescope,,,,,1,0,,sc/decos02_seasonal.sc,telescope,,1,1,,90,,,,,,TID_DECO_NEWYEAR_BALLOON_DESC,TID_DECO_NEWYEAR_TELESCOPE,Buy,,,,,TapDecorationGeneric,TRUE,,25,NewYear,,,,,TRUE,,,,Seasonal,,,
NewYearBalloonPig,,,,,1,0,,sc/decos01_generic.sc,balloon_pig,,1,1,,12,,,,,,TID_DECO_NEWYEAR_BALLOON_DESC,TID_DECO_NEWYEAR_BALLOON,Buy,,,,,TapDecorationGeneric,TRUE,,25,NewYear,,,,,TRUE,,,,Seasonal,,,
ChristmasCarousel,,,,,1,0,,sc/decos02_seasonal.sc,carousel,,2,2,,120,,,,,,TID_DECO_CHRISTMAS_BELL_DESC,TID_DECO_CHRISTMAS_CAROUSEL,Buy,,,,,TapDecorationXmas,TRUE,,25,Christmas,,,,,TRUE,,,12000,Seasonal,,,
ValentinesCupidStatue,,,,,1,0,,sc/decos02_seasonal.sc,valentines_day_cupid_statue,,1,1,,90,,,,,,TID_DECO_GENERIC_DESCRIPTION,TID_DECO_VALENTINES_CUPID,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,,,TRUE,,,,,,,
BalloonCow,,,,,1,0,,sc/decos01_generic.sc,balloon_cow,,1,1,,12,,,,,,TID_DECO_NEWYEAR_BALLOON_DESC,TID_DECO_BALLOON_COW,Buy,,,,,TapDecorationGeneric,TRUE,,25,NewYear,,,,,TRUE,,,,Seasonal,,,
BalloonChicken,,,,,1,0,,sc/decos01_generic.sc,balloon_chicken,,1,1,,12,,,,,,TID_DECO_NEWYEAR_BALLOON_DESC,TID_DECO_BALLOON_CHICKEN,Buy,,,,,TapDecorationGeneric,TRUE,,25,NewYear,,,,,TRUE,,,,Seasonal,,,
RoseArch,,,,,53,0,,sc/decos01_generic.sc,rose_arch,,2,1,,,,Voucher1,13,,,TID_DECO_GENERIC_DESCRIPTION,TID_DECO_ROSEARCH,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,TRUE,,,TRUE,,,,,,,
,,,,,,,,,,,,,,,,Voucher4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
EasterBasket,,,,,1,0,,sc/decos02_seasonal.sc,easter_basket,,1,1,,45,,,,,,TID_DECO_EASTER_DESCRIPTION,TID_DECO_EASTERBASKET,Buy,,,,,TapDecorationGeneric,TRUE,,25,Easter,,,,,TRUE,,,,Seasonal,,,
StreetLight,,,,,0,4,,sc/decos01_generic.sc,streetlight,,1,1,1000,,,,,100,1,TID_DECO_STREETLIGHT_DESC,TID_DECO_STREETLIGHT,Buy,,,,,TapDecorationGeneric,TRUE,,25,,,,,,TRUE,,,,,,,
LeafyPlant,,,,,0,6,,sc/decos01_generic.sc,leafy_plant,,1,1,,,,Voucher1,3,,,TID_DECO_LEAFYPLANT_DESC,TID_DECO_LEAFYPLANT,Buy,TRUE,,,,TapDecorationGeneric,TRUE,,25,,,TRUE,,,,,,,,,,
,,,,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
