Name,UnlockLevel,HappyDurationMinutes,FedDurationMinutes,Habitat,FileName,ShopIconFileName,ShopIconExportName,ShopIconAnimScale,MaxPathLength,MaxDistanceFromHouse,MaxDistanceFromHouseHungry,Exp,Vouchers,VoucherCount,StateIdleExportName,StateIdleHungryExportName,StateIdleMinMS,StateIdleMaxMS,StateRunExportName,StateMoveExportName,StateMoveHungryExportName,StateMoveMinMS,StateMoveMaxMS,StateRunMinMS,StateRunMaxMS,Speed,HungrySpeed,RunSpeed,StateEatExportName,StateEatMinMS,StateEatMaxMS,StateSleepExportName,StateSleepMinMS,StateSleepMaxMS,TID,DescriptionTID,ReadyNotificationName,TapSound,CollectSound,BuySound,FeedSound,RandomSounds,MaxCountColumnName,SpecialDropCounterIncrease,RandomAnimationFrame,ShopOrder,AssetScale,PendingRelease
Horse2,32,0,360,HorseHouse,sc/animals02.sc,,,110,150,8,4,80,Voucher2,1,horse01palomino_idle01,horse01palomino_hungry_idle01,5000,7000,horse01palomino_run01,horse01palomino_walk01,horse01palomino_hungry_walk01,6000,12000,8000,15000,11,4,55,horse01palomino_eating01,4000,8000,horse01palomino_sleeping01,3000,9000,TID_HORSE2,TID_HORSE_DESCRIPTION,,HorseTap,HorseTap,Buy,,,MaxHorseAmount,36,TRUE,1000,,
,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse3,34,0,360,HorseHouse,sc/animals02.sc,,,110,150,8,4,100,Voucher1,1,horse01pinto_idle01,horse01pinto_hungry_idle01,5000,7000,horse01pinto_run01,horse01pinto_walk01,horse01pinto_hungry_walk01,6000,12000,8000,15000,11,4,55,horse01pinto_eating01,4000,8000,horse01pinto_sleeping01,3000,9000,TID_HORSE3,TID_HORSE_DESCRIPTION,,HorseTap,HorseTap,Buy,,,MaxHorseAmount,42,TRUE,1100,,
,,,,,,,,,,,,,Voucher2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse4,40,0,360,HorseHouse,sc/animals02.sc,,,110,150,8,4,100,Voucher1,1,horse01black_idle01,horse01black_hungry_idle01,5000,7000,horse01black_run01,horse01black_walk01,horse01black_hungry_walk01,6000,12000,8000,15000,11,4,55,horse01black_eating01,4000,8000,horse01black_sleeping01,3000,9000,TID_HORSE4,TID_HORSE_DESCRIPTION,,HorseTap,HorseTap,Buy,,,MaxHorseAmount,42,TRUE,1200,,
,,,,,,,,,,,,,Voucher2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donkey1,43,0,60,DonkeyHouse,sc/animals.sc,,,,150,8,4,25,Voucher1,1,donkey01grey_idle01,donkey01grey_hungry01,7900,11600,donkey01grey_run01,donkey01grey_walk01,donkey01grey_hungry_walk01,6000,12000,8000,15000,11,4,55,donkey01grey_eat,4000,8000,donkey01grey_sleep,3000,9000,TID_DONKEY1,TID_DONKEY_DESCRIPTION,,DonkeyTap,DonkeyTap,Buy,,,MaxDonkeyAmount,8,TRUE,1500,,
,,,,,,,,,,,,,Voucher2,1,donkey01grey_idle02,,,,,donkey01grey_walk02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donkey2,52,0,60,DonkeyHouse,sc/animals.sc,,,,150,8,4,35,Voucher1,1,donkey01brown_idle01,donkey01brown_hungry01,9700,9700,donkey01brown_run01,donkey01brown_walk01,donkey01brown_hungry_walk01,2000,3000,2000,3000,11,4,55,donkey01brown_eat,8400,8400,donkey01brown_sleep,3000,9000,TID_DONKEY2,TID_DONKEY_DESCRIPTION,,DonkeyTap,DonkeyTap,Buy,,,MaxDonkeyAmount,10,FALSE,1600,,
,,,,,,,,,,,,,Voucher2,1,donkey01brown_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donkey3,55,0,60,DonkeyHouse,sc/animals.sc,,,,150,8,4,30,Voucher1,1,donkey01female_idle01,donkey01female_hungry01,8400,8400,donkey01female_run01,donkey01female_walk01,donkey01female_hungry_walk01,2000,3000,2000,3000,11,4,55,donkey01female_eat,8400,8400,donkey01female_sleep,3000,9000,TID_DONKEY3,TID_DONKEY_DESCRIPTION,,DonkeyTap,DonkeyTap,Buy,,,MaxDonkeyAmount,9,FALSE,1700,,
,,,,,,,,,,,,,Voucher2,1,donkey01female_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny1,31,0,360,BunnyHouse,sc/animals.sc,,,130,80,8,4,30,Voucher1,1,bunny_01_white_idle01,bunny_01_white_hungry01,5500,5500,bunny_01_white_running01,bunny_01_white_walk01,bunny_01_white_hungry_walk01,2000,3000,2000,3000,6,4,25,bunny_01_white_eating01,8400,8400,bunny_01_white_sleeping01,2000,3000,TID_BUNNY1,TID_BUNNY_DESCRIPTION,,BunnyTap,BunnyTap,Buy,,,MaxBunnyAmount,25,FALSE,1300,,
,,,,,,,,,,,,,Voucher2,1,bunny_01_white_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny2,41,0,360,BunnyHouse,sc/animals.sc,,,130,80,8,4,30,Voucher1,1,bunny_02_fluffy_idle01,bunny_02_fluffy_hungry01,7000,7000,bunny_02_fluffy_running01,bunny_02_fluffy_walk01,bunny_02_fluffy_hungry_walk01,2000,3000,2000,3000,6,4,25,bunny_02_fluffy_eating01,8400,8400,bunny_02_fluffy_sleeping01,2000,3000,TID_BUNNY2,TID_BUNNY_DESCRIPTION,,BunnyTap,BunnyTap,Buy,,,MaxBunnyAmount,25,FALSE,1400,,
,,,,,,,,,,,,,Voucher2,1,bunny_02_fluffy_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puppy1,35,0,360,PuppyHouse,sc/animals02.sc,,,130,50,5,3,35,Voucher1,1,puppy_01_idle03,puppy_01_hungry,5400,7200,puppy_01_running,puppy_01_walking,puppy_01_hungry_walking,2000,3000,2000,3000,6,4,25,puppy_01_eating,8400,8400,puppy_01_sleeping,2000,3000,TID_PUPPY1,TID_PUPPY_DESCRIPTION,,PuppyTap,PuppyTap,Buy,,,MaxPuppyAmount,29,FALSE,400,,
,,,,,,,,,,,,,Voucher2,1,puppy_01_idle04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitten1,49,0,360,KittenHouse,sc/animals02.sc,,,130,50,5,3,40,Voucher1,1,kitten_01_idle01,kitten_01_hungry,10900,13300,kitten_01_running,kitten_01_walking,kitten_01_hungry_walking,2000,3000,2000,3000,6,4,25,kitten_01_eating,8400,8400,kitten_01_sleeping,2000,3000,TID_KITTEN2,TID_KITTEN_DESCRIPTION,,KittenTap,KittenTap,Buy,,,MaxKittenAmount,36,FALSE,800,,
,,,,,,,,,,,,,Voucher4,1,kitten_01_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puppy2,50,0,360,PuppyHouse,sc/animals02.sc,,,130,50,5,3,35,Voucher2,1,puppy_02_idle01,puppy_02_hungry,6800,6800,puppy_02_running,puppy_02_walking,puppy_02_hungry_walking,2000,3000,2000,3000,6,4,25,puppy_02_eating,8400,8400,puppy_02_sleeping,2000,3000,TID_PUPPY2,TID_PUPPY_DESCRIPTION,,PuppyTap,PuppyTap,Buy,,,MaxPuppyAmount,29,FALSE,410,,
,,,,,,,,,,,,,Voucher3,1,puppy_02_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitten2,56,0,360,KittenHouse,sc/animals02.sc,,,130,50,5,3,40,Voucher2,1,kitten_03_idle01,kitten_03_hungry,9600,13300,kitten_03_running,kitten_03_walking,kitten_03_hungry_walking,2000,3000,2000,3000,6,4,25,kitten_03_eating,8400,8400,kitten_03_sleeping,2000,3000,TID_KITTEN3,TID_KITTEN_DESCRIPTION,,KittenTap,KittenTap,Buy,,,MaxKittenAmount,36,FALSE,810,,
,,,,,,,,,,,,,Voucher3,1,kitten_03_idle04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puppy3,54,0,360,PuppyHouse,sc/animals02.sc,,,130,50,5,3,35,Voucher1,1,puppy_03_idle03,puppy_03_hungry,6800,11600,puppy_03_running,puppy_03_walking,puppy_03_hungry_walking,2000,3000,2000,3000,6,4,25,puppy_03_eating,8400,8400,puppy_03_sleeping,2000,3000,TID_PUPPY3,TID_PUPPY_DESCRIPTION,,PuppyTap,PuppyTap,Buy,,,MaxPuppyAmount,29,FALSE,420,,
,,,,,,,,,,,,,Voucher2,1,puppy_03_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitten3,60,0,360,KittenHouse,sc/animals02.sc,,,130,50,5,3,40,Voucher3,1,kitten_02_idle01,kitten_02_hungry,5000,13300,kitten_02_running,kitten_02_walking,kitten_02_hungry_walking,2000,3000,2000,3000,6,4,25,kitten_02_eating,8400,8400,kitten_02_sleeping,2000,3000,TID_KITTEN1,TID_KITTEN_DESCRIPTION,,KittenTap,KittenTap,Buy,,,MaxKittenAmount,36,FALSE,820,,
,,,,,,,,,,,,,Voucher4,1,kitten_02_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse5,47,0,360,HorseHouse,sc/animals02.sc,,,110,150,8,4,100,Voucher2,1,horse01lipizzaner_idle01,horse01lipizzaner_hungry_idle01,5000,7000,horse01lipizzaner_run01,horse01lipizzaner_walk01,horse01lipizzaner_hungry_walk01,6000,12000,8000,15000,11,4,55,horse01lipizzaner_eating01,4000,8000,horse01lipizzaner_sleeping01,3000,9000,TID_HORSE5,TID_HORSE_DESCRIPTION,,HorseTap,HorseTap,Buy,,,MaxHorseAmount,42,TRUE,1201,,
,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunny3,38,0,360,BunnyHouse,sc/animals.sc,,,130,80,8,4,30,Voucher3,1,bunny_01_black_idle01,bunny_01_black_hungry01,5500,5500,bunny_01_black_running01,bunny_01_black_walk01,bunny_01_black_hungry_walk01,2000,3000,2000,3000,6,4,25,bunny_01_black_eating01,8400,8400,bunny_01_black_sleeping01,2000,3000,TID_BLACKBUNNY,TID_BUNNY_DESCRIPTION,,BunnyTap,BunnyTap,Buy,,,MaxBunnyAmount,25,FALSE,1401,,
,,,,,,,,,,,,,Voucher4,1,bunny_01_black_signature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horse6,61,0,360,HorseHouse,sc/animals02.sc,,,,150,8,4,100,Voucher1,1,horse01appaloosa_idle01,horse01appaloosa_hungry_idle01,5000,7000,horse01appaloosa_run01,horse01appaloosa_walk01,horse01appaloosa_hungry_walk01,6000,12000,8000,15000,11,4,55,horse01appaloosa_eating01,4000,8000,horse01appaloosa_sleeping01,3000,9000,TID_HORSE6,TID_HORSE_DESCRIPTION,,HorseTap,HorseTap,Buy,,,MaxHorseAmount,42,TRUE,1201,,
,,,,,,,,,,,,,Voucher2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaPig1,60,0,360,GuineaPigHouse,sc/animals.sc,,,130,80,8,3,40,Voucher3,1,guinea_pig_01_idle01,guinea_pig_01_hungry01,6000,12000,guinea_pig_01_run01,guinea_pig_01_walk01,guinea_pig_01_hungry_walk01,2000,3500,1500,2500,8,4,33,guinea_pig_01_eating01,5000,9500,guinea_pig_01_sleeping01,3000,9000,TID_GUINEA_PIG1,TID_GUINEA_PIG_DESCRIPTION,,GuineaPigTap,GuineaPigTap,Buy,,,MaxGuineaPigAmount,20,TRUE,700,,
,,,,,,,,,,,,,Voucher4,1,guinea_pig_01_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,guinea_pig_01_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaPig2,64,0,360,GuineaPigHouse,sc/animals.sc,,,130,80,8,3,40,Voucher2,1,guinea_pig_02_idle01,guinea_pig_02_hungry01,6000,12000,guinea_pig_02_run01,guinea_pig_02_walk01,guinea_pig_02_hungry_walk01,2000,3500,1500,2500,8,4,33,guinea_pig_02_eating01,5000,9500,guinea_pig_02_sleeping01,3000,9000,TID_GUINEA_PIG2,TID_GUINEA_PIG_DESCRIPTION,,GuineaPigTap,GuineaPigTap,Buy,,,MaxGuineaPigAmount,20,TRUE,700,,
,,,,,,,,,,,,,Voucher3,1,guinea_pig_02_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,guinea_pig_02_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GuineaPig3,71,0,360,GuineaPigHouse,sc/animals.sc,,,130,80,8,3,40,Voucher2,1,guinea_pig_03_idle01,guinea_pig_03_hungry01,6000,12000,guinea_pig_03_run01,guinea_pig_03_walk01,guinea_pig_03_hungry_walk01,2000,3500,1500,2500,8,4,33,guinea_pig_03_eating01,5000,9500,guinea_pig_03_sleeping01,3000,9000,TID_GUINEA_PIG3,TID_GUINEA_PIG_DESCRIPTION,,GuineaPigTap,GuineaPigTap,Buy,,,MaxGuineaPigAmount,20,TRUE,700,,
,,,,,,,,,,,,,Voucher3,1,guinea_pig_03_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Voucher4,1,guinea_pig_03_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peacock1,20,0,360,BirdHouse,sc/animals02.sc,,,,150,20,4,40,Voucher1,1,peacock_01_idle01,peacock_01_hungry,10000,10000,peacock_01_running,peacock_01_walking,peacock_01_hungry_walking,4000,12000,2000,3000,9,7,30,peacock_01_eating,4000,12000,peacock_01_sleeping,4000,12000,TID_PEACOCK1,TID_PEACOCK_DESCRIPTION,,PeacockTap,PeacockTap,Buy,,,MaxBirdAmount,20,FALSE,700,,
,,,,,,,,,,,,,Voucher5,1,peacock_01_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,peacock_01_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peacock2,20,0,360,BirdHouse,sc/animals02.sc,,,,150,20,4,40,Voucher3,1,peacock_02_idle01,peacock_02_hungry,13000,13000,peacock_02_running,peacock_02_walking,peacock_02_hungry_walking,4000,12000,2000,3000,9,7,30,peacock_02_eating,4000,12000,peacock_02_sleeping,4000,12000,TID_PEACOCK2,TID_PEACOCK_DESCRIPTION,,PeacockTap,PeacockTap,Buy,,,MaxBirdAmount,20,FALSE,700,,
,,,,,,,,,,,,,Voucher5,1,peacock_02_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,peacock_02_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peacock3,20,0,360,BirdHouse,sc/animals02.sc,,,,150,20,4,40,Voucher4,1,peacock_03_idle01,peacock_03_hungry,14000,14000,peacock_03_running,peacock_03_walking,peacock_03_hungry_walking,4000,12000,2000,3000,9,7,30,peacock_03_eating,4000,12000,peacock_03_sleeping,4000,12000,TID_PEACOCK3,TID_PEACOCK_DESCRIPTION,,PeacockTap,PeacockTap,Buy,,,MaxBirdAmount,20,FALSE,700,,
,,,,,,,,,,,,,Voucher5,1,peacock_03_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,peacock_03_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toucan1,20,0,360,BirdHouse,sc/animals02.sc,,,110,150,20,4,40,Voucher2,1,toucan_01_idle01,toucan_01_hungry,6000,12000,toucan_01_running,toucan_01_walking,toucan_01_hungry_walking,4000,12000,2000,3000,9,7,30,toucan_01_eating,3000,12000,toucan_01_sleeping,4000,12000,TID_TOUCAN1,TID_TOUCAN_DESCRIPTION,,ToucanTap,ToucanTap,Buy,,,MaxBirdAmount,20,FALSE,700,,
,,,,,,,,,,,,,Voucher5,1,toucan_01_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,toucan_01_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toucan2,20,0,360,BirdHouse,sc/animals02.sc,,,110,150,20,4,40,Voucher3,1,toucan_02_idle01,toucan_02_hungry,6000,12000,toucan_02_running,toucan_02_walking,toucan_02_hungry_walking,4000,12000,2000,3000,9,7,30,toucan_02_eating,3000,12000,toucan_02_sleeping,4000,12000,TID_TOUCAN2,TID_TOUCAN_DESCRIPTION,,ToucanTap,ToucanTap,Buy,,,MaxBirdAmount,20,FALSE,700,,
,,,,,,,,,,,,,Voucher5,1,toucan_02_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,toucan_02_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toucan3,20,0,360,BirdHouse,sc/animals02.sc,,,110,150,20,4,40,Voucher1,1,toucan_03_idle01,toucan_03_hungry,6000,12000,toucan_03_running,toucan_03_walking,toucan_03_hungry_walking,4000,12000,2000,3000,9,7,30,toucan_03_eating,3000,12000,toucan_03_sleeping,4000,12000,TID_TOUCAN3,TID_TOUCAN_DESCRIPTION,,ToucanTap,ToucanTap,Buy,,,MaxBirdAmount,20,FALSE,700,,
,,,,,,,,,,,,,Voucher5,1,toucan_03_idle02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,toucan_03_idle03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockatoo1,20,0,360,BirdHouse,sc/animals02.sc,,,120,150,20,4,40,Voucher4,1,cockatoo_01_idle_01,cockatoo_01_hungry,6000,12000,cockatoo_01_run,cockatoo_01_walk,cockatoo_01_hungry_walk,4000,12000,2000,3500,9,7,30,cockatoo_01_eating,4000,12000,cockatoo_01_sleep,4000,12000,TID_COCKATOO1,TID_COCKATOO_DESCRIPTION,,CockatooTap,CockatooTap,Buy,,,MaxBirdAmount,20,FALSE,700,,
,,,,,,,,,,,,,Voucher5,1,cockatoo_01_idle_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,cockatoo_01_idle_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockatoo2,20,0,360,BirdHouse,sc/animals02.sc,,,120,150,20,4,40,Voucher3,1,cockatoo_02_idle_01,cockatoo_02_hungry,6000,12000,cockatoo_02_run,cockatoo_02_walk,cockatoo_02_hungry_walk,4000,12000,2000,3500,9,7,30,cockatoo_02_eating,4000,12000,cockatoo_02_sleep,4000,12000,TID_COCKATOO3,TID_COCKATOO_DESCRIPTION,,CockatooTap,CockatooTap,Buy,,,MaxBirdAmount,20,FALSE,700,,
,,,,,,,,,,,,,Voucher5,1,cockatoo_02_idle_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,cockatoo_02_idle_03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cockatoo3,20,0,360,BirdHouse,sc/animals02.sc,,,120,150,20,4,40,Voucher2,1,cockatoo_03_idle_01,cockatoo_03_hungry,6000,12000,cockatoo_03_run,cockatoo_03_walk,cockatoo_03_hungry_walk,4000,12000,2000,3500,9,7,30,cockatoo_03_eating,4000,12000,cockatoo_03_sleep,4000,12000,TID_COCKATOO2,TID_COCKATOO_DESCRIPTION,,CockatooTap,CockatooTap,Buy,,,MaxBirdAmount,20,FALSE,700,,
,,,,,,,,,,,,,Voucher5,1,cockatoo_03_idle_02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
