Name,ToolIconFileName,ToolIconExportName,ToolBigIconFileName,ToolBigIconExportName,BonusTID,TID,DescriptionTID,DiamondPrice,UnlockLevel,DailyReplenishment,InventoryCapacity
BoatOrderSharedCrateCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FBRequirementIgnored,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastSuccessfulPurchaseTime,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
TotalPurchaseCounterUSD,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PurchaseLimitCounterUSD,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CurrentOfferState,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CurrentOfferDataGlobalID,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CurrentOfferTier,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastOfferPurchasedPackageGlobalID,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
MostDiamondsBought,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
OfferManagerTicks,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PetFeedCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
SocialBoatCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
SpinTheWheelCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FacebookAdClicked,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CurrentToolOfferDataGlobalID,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ToolOfferManagerTicks,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CurrentToolOfferState,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastTargetedOfferID,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
BoatScore,sc/icons.sc,points_icon_boat,,,,TID_BOAT_ORDER_TOOLTIP_BOAT_SCORE_TITLE,TID_BOAT_ORDER_TOOLTIP_BOAT_SCORE_DESCRIPTION,,,,
BoatHelpScore,sc/icons.sc,points_icon_boat,,,,TID_NONE,TID_NONE,,,,
LastOpenedFriendLeaderboardHash,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
GiftCards,sc/icons.sc,icon_gift_card,,,,TID_GIFT_CARDS,TID_GIFT_CARDS_DESCRIPTION,3,,,
AIWelcomeLetterSent,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
SportsFisherCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
BigGameFisherCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FishFarmerCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FishermansFriendCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
TackleBoxRank,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastSeenCalendarEvent,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LobsterPoolRank,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
WeiboAdClicked,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
EasterEggSpawnAtFriendState,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
EasterEggSpawnAtFriendStateFishing,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PersonalEventCounter,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
EventThresholdRewardIndex1,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
EventThresholdRewardIndex2,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
EventThresholdRewardIndex3,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
EventThresholdRewardIndex4,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
EventThresholdRewardIndex5,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
MysteryBoxRandomSeed,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
EasterEggRandomSeed,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
InstagramAdClicked,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LobsterTails,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
MaxSimultaneousLobsters,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
IsNeighborhoodBuildingRepaired,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
NeighborhoodJoinAllowedTime,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
NeighborhoodJoinDelayLevel,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
NeighborhoodJoinDelayLevelTime,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastTimeChatWasRead,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
IsTrainRepaired,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ReputationLevel,sc/icons.sc,icon_xp_reputation,,,,TID_NONE,TID_NONE,,,,
ReputationPoints,sc/icons.sc,icon_xp_reputation,,,,TID_REPUTATION_POINTS,TID_REPUTATION_HEART_TOOLTIP,,,,
LastSeenPersonalNeighborhoodEventCalendarEvent,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PersonalNeighborhoodEventCounter,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
VisitorsCompletedCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ServiceBuildingCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PersonalTrainManagerCurrentCapacity,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PersonalTrainManagerMaxCapacity,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PersonalTrainManagerCooldownIntervalUpgradeLevel,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PersonalTrainManagerCooldownTimerTicks,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PersonalTrainManagerCurrentLevel,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PersonalTrainManagerCurrentCapacityLevel,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PersonalTrainManagerCurrentVillageCapacity,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PersonalTrainManagerCurrentVillageVisitorCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
AIVisitorPickupBits,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
AIVisitorCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
AIVisitorSpawnCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
AIVisitorCooldownTimerTicks,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
SecondsSinceLastOpenCrateAtFriend,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
MysteryCrateRandomSeed,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ShowMysteryCrateAtFriend,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FriendMysteryCrateState,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
RoadsideShopPutStuffLastDayIndex,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
RoadsideShopPutStuffCountToday,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
RoadsideShopPutStuffMostPutsInDay,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
GregTrainTownVisited,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FreeCash,sc/icons.sc,icon_coin_big,,,,TID_CASH,TID_CASH_DESCRIPTION,,,,
LastManualOfferID,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastSeenManualOfferTime,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PreviousOfferWaitingTimeLeftSeconds,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastManualOfferVersion,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
GCPopupCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
DuckSalonRank,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ExpLevelThresholdRewardIndex1,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ExpLevelThresholdRewardIndex2,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ExpLevelThresholdRewardIndex3,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
DuckDown,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
MaxSimultaneousDucks,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ExpLevelThresholdRewardIndex4,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
ExpLevelThresholdRewardIndex5,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
RoadsideShopStandDiamondPriceCurrent,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
Honeycombs,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
DerbyRacePoints,sc/icons.sc,icon_nh_derby_star,,,,TID_NONE,TID_NONE,,,,
TotalDerbyPoints,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
TotalDerbyTasks,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
NoticeDialogToSPrivacyPolicyDisplayed,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
RedPackageState,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
TimesInLeague5,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastCheckedSeasonId,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PurchasedLayoutSlots,sc/icons.sc,tool_collect_milk,,,,TID_PANDORA_PURCHASED_FARM_LAYOUT_SLOT,TID_NONE,,,,
ActiveLayout,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PurchasedLayoutSlotsTown,sc/icons.sc,tool_collect_milk,,,,TID_PANDORA_PURCHASED_TOWN_LAYOUT_SLOT,TID_NONE,,,,
ActiveLayoutTown,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
WWFPackageState,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
NeighborhoodRequestCooldownTimerTicks,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
NeighborhoodRequestCounter,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
NeighborhoodDonationCooldownTimerTicks,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
NeighborhoodDonationCounter,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
DonationCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastCheckedTradingSeasonId,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
WarehouseUpgradeBits,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
SiloUpgradeBits,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
TackleBoxUpgradeBits,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LumberjackState,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LumberjackTicks,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LumberjackTreeCounter,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
DailyEventCountLastDayIndex,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
DailyEventCountToday,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
DailyEventMostEventsInDay,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CampaignPackageState,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
SanctuaryAnimalFeedCount,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
SpecialBoatCycleEndDay,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
BoatsUntilNextSpecialReward,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
SpecialRewardBoatsInCurrentCycle,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CounterSanctuaryAnimalCollect,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FirstOfMonthSpecialBoatLastGenerated,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastViewedNewsStory,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PersonalEventRewardCounter,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
CurrentMapGameEventID,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
TotalBingoLines,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
DiamondsAsCash,sc/icons.sc,icon_coin_big,,,,TID_CASH,TID_CASH_DESCRIPTION,,,,
MapGameSunPointUnit,sc/map_icons.sc,icon_sun,,,,TID_MAPGANE_SUN_POINT_UNIT,TID_MAPGAME_SUN_POINT_UNIT_DESCRIPTION,,,,
MapGameFuelUnit,sc/map_icons.sc,icon_canister_big,,,,TID_MAPGANE_FUEL_UNIT,TID_MAPGAME_FUEL_DESCRIPTION,,,,
CurrentEventID,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastSeenMapGameEvent,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
MapGameFuelSpinUnit,sc/map_icons.sc,icon_dailytask02,,,,TID_MAPGAME_FUEL_SPIN_UNIT,TID_MAPGAME_FUEL_SPIN_UNIT_DESCRIPTION,,,,
Stat1LastDayIndex,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
Stat1Today,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
Stat1MostInDay,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
IgnoreSocialConnect,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastSeenPopEvent,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
Stat2LastDayIndex,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
Stat2Today,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
Stat2MostInDay,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
PeanutBags,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
NeighborhoodExtraRequests,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FarmPoints,sc/icons.sc,icon_fp_taskpoints_small,,,,TID_FARM_POINT,TID_FARM_POINT_DESCRIPTION,,,,
FarmPassMembership,sc/icons.sc,chick_icon,,,,TID_FARM_PASS_TIER_1,TID_NONE,,11,,
LastReEngagementFlowTime,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
NoticeDialogTrackingConfirmationDisplayed,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastTimeLimitedOfferSeenTime,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastTimeLimitedOfferEndTime,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
LastLevelUpTime,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FreeSiloUpgrade,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FreeWarehouseUpgrade,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FarmPassMembership2,sc/icons.sc,chick_icon,,,,TID_FARM_PASS_TIER_2,TID_NONE,,11,,
FarmPassMembership123,sc/icons.sc,chick_icon,,,,TID_FARM_PASS_TIER_123,TID_NONE,,11,,
DailyTaskPatches,sc/icons.sc,icon_streak_patch,,,,TID_NONE,TID_NONE,,,,
DailyTaskYarnPoints,sc/icons.sc,icon_yarn,,,,TID_YARN_POINT,TID_YARN_POINT_DESCRIPTION,,,,
VouchersHintSeen,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
GachaCurrency,sc/icons.sc,icon_gacha,sc/icons.sc,icon_gacha_big,,TID_ICON_GACHA_CURRENCY,TID_ICON_GACHA_CURRENCY_DESCRIPTION,0.1,11,,
DecoEventCurrency,sc/icons.sc,icon_film_roll,sc/icons.sc,icon_film_roll_big,,TID_DECO_EVENT_CURRENCY,TID_DECO_EVENT_CURRENCY_DESC,,23,,
UnscaledExpPoints,sc/icons.sc,icon_xp_star,,,,TID_XP,TID_XP_DESCRIPTION,,,,
MiniPassPoints,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
MiniPassMember,sc/icons.sc,icon_truck_colour,,,,TID_MINIPASS_PREMIUM_MEMBERSHIP,TID_NONE,,,,
CounterPetCollect,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,,
FarmPassMembership3Only,sc/icons.sc,chick_icon,,,,TID_FARM_PASS_TIER_3,TID_NONE,,11,,
FarmPassMembership23,sc/icons.sc,chick_icon,,,,TID_FARM_PASS_TIER_23,TID_NONE,,11,,
GoodWill,sc/icons.sc,tool_collect_milk,,,,TID_NONE,TID_NONE,,,5,5
Pearl,sc/icons.sc,icon_pearl,sc/icons.sc,icon_pearl_big,,TID_PEARL,TID_PEARL_DESCRIPTION,,1,,
