Name,TID,SubtitleString,FileName,ExportName,AmbianceExportName,IntroSound,IconDeco,Year,UnlockLevel,PendingRelease,Deco1,Deco2,Deco3,Deco4,Deco5,Deco6,Deco7,Deco8,Deco9,Deco10,Deco11,Deco12,Deco13,Deco14,Deco15,Deco16,Deco17,Deco18,Deco19,Deco20
Collection10,TID_DECO_STICKER_BOOK_COLLECTION_10,,sc/hud_sticker_book.sc,collection_10,,,,2024,,,Leafpile path,Laundry_rack,Poisonous mushroom path,Mushroom_bench,Mushroom table,LeafPile,RakeLeafs,,,,,,,,,,,,,
Collection11,TID_DECO_STICKER_BOOK_COLLECTION_11,,sc/hud_sticker_book.sc,collection_11,,,,2024,,,Rasberry refreshment,Wooden heart fence,Gingerbread hearts,Autumn picnic,Pretzel_picnic,Tuba pig,Accordeon pig,Dirdln pig,,,,,,,,,,,,
Collection12,TID_DECO_STICKER_BOOK_COLLECTION_12,,sc/hud_sticker_book.sc,collection_12,,,,2024,,,Mausoleum,Halloween path,HalloweenTombstone,HalloweenCoffin,HalloweenLantern,HalloweenGate,HalloweenGrave,Mummy pig,CemetaryFence,Trick tree,,,,,,,,,,
Collection13,TID_DECO_STICKER_BOOK_COLLECTION_13,,sc/hud_sticker_book.sc,collection_13,,,,2024,,,Draculas apprentices,Pumpkin pyramid,Abandoned tombs,Gloomy candles,Scary mausoleum,Scary organ music,Glass wall,Black roses,Scary tomb,Lobster ride,Centipede fence,Cleaner pig,Ghost pig,,,,,,,
Collection14,TID_DECO_STICKER_BOOK_COLLECTION_14,,sc/hud_sticker_book.sc,generic_9decos_winter,,,,2024,,,Wood cutters,Pond yachting,Mushroom log,Mushroom fence,Boat statue,Mushroom picking,Fox statue,Sleeping fox,Bird feeder,,,,,,,,,,,
Collection15,TID_DECO_STICKER_BOOK_COLLECTION_15,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2024,,,Thanksgiving pavilion,Thanksgiving fence,Thanksgiving balloon,Thanksgiving table,Thanksgiving bouque m,Thanksgiving bouque s,,,,,,,,,,,,,,
Collection16,TID_DECO_STICKER_BOOK_COLLECTION_16,,sc/hud_sticker_book.sc,generic_9decos_neutral,,,,2024,,,Thanksgiving wagon,Thanksgiving cosplay,Thanksgiving path,Thanksgiving fence,Thanksgiving balloon,Thanksgiving pavilion,Thanksgiving table,Thanksgiving bouque m,Thanksgiving bouque s,,,,,,,,,,,
Collection17,TID_DECO_STICKER_BOOK_COLLECTION_17,,sc/hud_sticker_book.sc,generic_9decos_winter,,,,2024,,,Holiday spirit,Lumberjacks,Airmail,Gingerbread workshop,Gift delivery,Electric candles fence,Seasonal greetings,Mail office,Market cart,,,,,,,,,,,
Collection18,TID_DECO_STICKER_BOOK_COLLECTION_18,,sc/hud_sticker_book.sc,generic_6decos_winter,,,,2024,17,,Wooden santa,Gingerbread path,Cow santa,Jolly path,Market feast,Market table,,,,,,,,,,,,,,
Collection19,TID_DECO_STICKER_BOOK_COLLECTION_19,,sc/hud_sticker_book.sc,generic_9decos_christmas,,,,2024,17,,Jolly wreath,Gingerbread path,Candle chimes,Holiday baking,Cow santa,Jolly path,Wooden santa,Tree delivery,Market feast,,,,,,,,,,,
Collection20,TID_DECO_STICKER_BOOK_COLLECTION_20,,sc/hud_sticker_book.sc,generic_6decos_winter,,,,2025,,,Winter photo op,Snowcastle fence,Snowman balloon,Rescue patrol,Bunny burrow,Snowfight,,,,,,,,,,,,,,
Collection21,TID_DECO_STICKER_BOOK_COLLECTION_21,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2025,,,Spa treatment,Pond of harmony,Bubble bath,Gentle fire,Sound bath,Calming cairns,,,,,,,,,,,,,,
Collection22,TID_DECO_STICKER_BOOK_COLLECTION_22,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2025,,,Path of harmony,Spring of serenity,Nap time,Snake path,Jade snake,Snake dance,,,,,,,,,,,,,,
Collection23,TID_DECO_STICKER_BOOK_COLLECTION_23,,sc/hud_sticker_book.sc,generic_6decos_valentines,,,,2025,23,,Cupid's bench,Heartwarming gift,Heartwarming fountain,Cupid's cannon,Heartwarming fence,Valentine's Gardenbench,,,,,,,,,,,,,,
Collection24,TID_DECO_STICKER_BOOK_COLLECTION_24,,sc/hud_sticker_book.sc,generic_9decos_valentines,,,,2025,23,,Chocolate frenzy,Heartwarming gift,Cupid's bench,Balcony serenade,Heart balloon,Heart confetti,Heartwarming fountain,Cupid's cannon,Valentine's Roseplanter,,,,,,,,,,,
Collection25,TID_DECO_STICKER_BOOK_COLLECTION_25,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2025,,,Rainbow arch,Flag bearer,Heart tile,Carnival jester,Carnival tractor,Chicken galley,,,,,,,,,,,,,,
Collection26,TID_DECO_STICKER_BOOK_COLLECTION_26,,sc/hud_sticker_book.sc,generic_9decos_spring,,,,2025,27,,Garden pavilion,Her journey,Garden helpers,Bee topiary,Lucky well,Her swing,Monument of her,Garden fence,Marble flowervase,,,,,,,,,,,
Collection27,TID_DECO_STICKER_BOOK_COLLECTION_27,,sc/hud_sticker_book.sc,generic_9decos_spring,,,,2025,,,Hidden garden,Garden helpers,Busy bees,Garden chess,Garden cart,Garden rooster,Marble duck bath,Big bonsai tree,Small bonsai tree,,,,,,,,,,,
Collection28,TID_DECO_STICKER_BOOK_COLLECTION_28,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2025,23,,Surprise eggs,Easter carriage,EasterGate,Easter banquet,Easter stand,Easter parade arch,EasterEggTree,Chocolate egg planter,Carrot gazebo,Easter balloon,Easter egg hunt,Paw prints,,,,,,,,
Collection29,TID_DECO_STICKER_BOOK_COLLECTION_29,,sc/hud_sticker_book.sc,generic_9decos_spring,,,,2025,23,,Solar flowers,Cleanup Crew,Green globe,Toad oasis,Cheetah topiary,Stone turtle path,Green energy,Green future,Green gold,,,,,,,,,,,
Collection30,TID_DECO_STICKER_BOOK_COLLECTION_30,,sc/hud_sticker_book.sc,generic_9decos_neutral,,,,2025,,,Bamboo forest,Kitsune bush,Wisteria pagoda,Wisteria fence,Bento box,Fish kite,Wish board,Koto drummer,Koi fence,,,,,,,,,,,
Collection31,TID_DECO_STICKER_BOOK_COLLECTION_31,,sc/hud_sticker_book.sc,collection_6,,,,2025,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection32,TID_DECO_STICKER_BOOK_COLLECTION_32,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2025,,,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,FrogKing,,,,,,,,
Collection33,TID_DECO_STICKER_BOOK_COLLECTION_33,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2025,17,,Vertical garden,Rainwater collector,Plant wagon,Hedge pruning,Zinnia planter,Pruning station,Chasing droplets,Pot display,Chamomile fence,Fiesta,Mariachi corner,Piñata party,,,,,,,,
Collection34,TID_DECO_STICKER_BOOK_COLLECTION_34,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2025,,,Topiary letter A,Topiary letter H,Topiary letter Y,Topiary letter A,Topiary letter Y,Topiary letter D,,,,,,,,,,,,,,
Collection35,TID_DECO_STICKER_BOOK_COLLECTION_35,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2025,,,Groovy peace doves,Honeycomb path,Roundabout,Spring Fence,Bee Flowers,Bee Lights,,,,,,,,,,,,,,
Collection36,TID_DECO_STICKER_BOOK_COLLECTION_36,,sc/hud_sticker_book.sc,special_13decos_nostalgic,,,,2025,,,Groovy Mr.Scarecrow,ChocoFountain,BlueCake,Lollipop Cake,Veggie Cake,Bird Cake,Birthday Gift Tent,Rainbow Cake,10thBirthday Cake,Band poster,Party balloons,Carnival balloon,BirthdayCake,,,,,,,
Collection37,TID_DECO_STICKER_BOOK_COLLECTION_37,,sc/hud_sticker_book.sc,special_14decos_birthday_13th,,,,2025,17,,Groovy Farmpass June Deco01,Groovy Farmpass June Deco02,Groovy bug,Groovy van,Groovy fence,Groovy Mrs.Scarecrow,Groovy Mr.Scarecrow,Groovy eggchair,Groovy guitar case,Groovy bike,Groovy side table,Groovy corner,Groovy tile,Groovy guitar player,,,,,,
Collection38,TID_DECO_STICKER_BOOK_COLLECTION_38,,sc/hud_sticker_book.sc,generic_9decos_neutral,,,,2025,23,,Camper van,Camp grill,Camp radio,Lookout tower,Rafting gear,Climbing gear,Camp signpost,Camping gear,No fire sign,,,,,,,,,,,
Collection39,TID_DECO_STICKER_BOOK_COLLECTION_39,,sc/hud_sticker_book.sc,generic_9decos_spring,,,,2025,,,Western gate,Western booth,Western water tower,Western wagon,Cowboy nap shot,Western fence,Independent parade,Independent BBQ,Independent gnome,,,,,,,,,,,
Collection40,TID_DECO_STICKER_BOOK_COLLECTION_40,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2025,,,Western water tower,Cowboy accessories,Jailhouse,Hitching post,Wanted poster,Saloon Lady,,,,,,,,,,,,,,
Collection41,TID_DECO_STICKER_BOOK_COLLECTION_41,,sc/hud_sticker_book.sc,generic_6decos_summer,,,,2025,,,Tropical tan,Tropical dance,Tropical tile,Tropical hut,Surfer buddies,Tropical necklace,,,,,,,,,,,,,,
Collection42,TID_DECO_STICKER_BOOK_COLLECTION_42,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2025,23,,Bird pavilion,Fossil site,Plushies stand,Wingspan display,Feeding time,Walrus photo board,Grass board fence,Helium balloons,Height display,Tortoise corner,Paw print display,Frozen treats cart,,,,,,,,
Collection43,TID_DECO_STICKER_BOOK_COLLECTION_43,,sc/hud_sticker_book.sc,generic_9decos_summer,,,,2025,,,Lifeguard,Aquarium,Flower gate,Rustic picnic,Tallest sunflower,Surfboards,Wicker_bench,Barrel fence,Surf_rental_stand,,,,,,,,,,,
Collection44,TID_DECO_STICKER_BOOK_COLLECTION_44,,sc/hud_sticker_book.sc,generic_9decos_summer,,,,2025,,,Hay storage,Farm windmill,Tire tracks,Hay loader,Plowed field,Fertilizer sacks,Milk dock,Plow,Hay pile,,,,,,,,,,,
Collection45,TID_DECO_STICKER_BOOK_COLLECTION_45,,sc/hud_sticker_book.sc,generic_9decos_neutral,,,,2025,,,Big greenhouse,Rose tree,Large slates,Raised flowerbed,Reading nook,Croquet game,Homemade pie,Afternoon tea,Wash basin,,,,,,,,,,,
Collection46,TID_DECO_STICKER_BOOK_COLLECTION_46,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2025,,,Leaf angel,Organic juice,Picking apples,Apple press,Hedge maze,Apple sign,,,,,,,,,,,,,,
Collection47,TID_DECO_STICKER_BOOK_COLLECTION_47,,sc/hud_sticker_book.sc,generic_12decos_halloween,,,,2025,,,Creepy bed,Creepy mirror,Hide and seek,Frankenstraw,Ghostly theater,Wool busters,Devilish magician,Baby plant,Smashed pumpkins,Creepy path,HalloweenPumpkintotem,HalloweenLantern,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collection48,TID_DECO_STICKER_BOOK_COLLECTION_48,,sc/hud_sticker_book.sc,generic_6decos_halloween,,,,2025,,,Devilish stilt walker,Lobster ride,Pig ride,Black roses,Cleaner pig,Ghost pig,,,,,,,,,,,,,,
Collection49,TID_DECO_STICKER_BOOK_COLLECTION_49,,sc/hud_sticker_book.sc,generic_6decos_halloween,,,,2025,23,,Creepy cave,Mystic fountain,Ghostly fence,Ghostly stove,Creepy clock,Scary mausoleum,,,,,,,,,,,,,,
Collection50,TID_DECO_STICKER_BOOK_COLLECTION_50,TID_GHOST_COLLECTION_SUBTITLE,sc/hud_sticker_book.sc,collection_special_ghosts,ghosts_ambiance,HauntedStickerbookSting,,2025,,,GhostChicken,GhostChained,GhostDracula,GhostGroovy,GhostMayor,GhostMummy,GhostPatched,GhostPhotographer,GhostPig,GhostPirate,GhostWitch,,,,,,,,,
Collection51,TID_DECO_STICKER_BOOK_COLLECTION_51,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2025,,,Sugar skull puppeteers,Sugar skull carriage,Sugar skull lantern,Sugarskull Tomb,Sugarskull Altar,Sugarskull path,,,,,,,,,,,,,,
Collection52,TID_DECO_STICKER_BOOK_COLLECTION_52,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2025,,,Space engineers,Planets pendulum,Lunar letters,Sky projection,Astronaut training,Unidentified fun object,Astronaut’s corner,Meteor crater,Observatory gazebo,Spherical strolabe,Starry lights,Cheesemoon path,,,,,,,,
Collection53,TID_DECO_STICKER_BOOK_COLLECTION_53,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2025,,,Pilgrim caravel,Thanksgiving tree,Turkey craft,Thanksgiving corner,Thanksgiving preparations,Thanksgiving planter,,,,,,,,,,,,,,
Collection54,TID_DECO_STICKER_BOOK_COLLECTION_54,,sc/hud_sticker_book.sc,generic_12decos_winter,,,,2025,23,,Reindeer shed,Festive wishes,Festive fountain,Carver reindeer,Winter lookout,Mail sorting,Hot cocoa station,Cozy winter stop,Nutcracker Greg,Rocking reindeer,Festive fence,Log bench,,,,,,,,
Collection55,TID_DECO_STICKER_BOOK_COLLECTION_55,,sc/hud_sticker_book.sc,generic_9decos_winter,,,,2025,,,Frozen train,Frozen lamp,Frozen tree,Frozen bridge,Frozen tile,Festive birch,Snowcastle fence,Frozen bush,Snowcastle,,,,,,,,,,,
Collection56,TID_DECO_STICKER_BOOK_COLLECTION_56,,sc/hud_sticker_book.sc,collection_special_dogs,dogs_ambiance,,,2025,,,MalamuteRudolf,MalamuteElf,MalamuteJumper,MalamuteChicken,MalamuteGift,HuskyGift,HuskySanta,HuskyElf,HuskyJumper,HuskySnowman,,,,,,,,,,
Collection57,TID_DECO_STICKER_BOOK_COLLECTION_57,,sc/hud_sticker_book.sc,generic_6decos_winter,,,,2025,,,Santa's workbench,Santa’s gifts,Chasing droplets,Sand Toys,CNYGDogStatue,Groovy corner,,,,,,,,,,,,,,
Collection58,TID_DECO_STICKER_BOOK_COLLECTION_58,,sc/hud_sticker_book.sc,generic_12decos_winter,,,,2026,23,,Skiing break,Cozy sauna,Puppy treadmill,Tranquil pond,Fitness resolution,Pebble arch,Smoothie operator,Cleansing station,Workout spot,Snowy refuge,Cozy firepit,Icy dip,,,,,,,,
Collection59,TID_DECO_STICKER_BOOK_COLLECTION_59,,sc/hud_sticker_book.sc,generic_9decos_winter,,,,2026,,,Neighborhood winter tree 3,Neighborhood winter tree 2,Neighborhood winter tree 1,Small spruce,Frozen chestnut tree,Medium frozen tree,Small frozen tree,LeafyTree_winter,LeafyTree_Small_winter,,,,,,,,,,,
Collection60,TID_DECO_STICKER_BOOK_COLLECTION_60,,sc/hud_sticker_book.sc,generic_6decos_winter,,,,2026,,,Covered hot spring,Snowy lantern fence,Snowy boulder,Spa sign,Circle sculpture,Special pruned pine,,,,,,,,,,,,,,
Collection61,TID_DECO_STICKER_BOOK_COLLECTION_61,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2026,23,,Lovely music box,Lovely typewriter,Boardgame night,TV night,Gumball machine,Karaoke night,Purple maple,Yellow ipe,Cupid practice,Soap bubbles,Valentine's topiary,Yellow camellia,,,,,,,,
Collection62,TID_DECO_STICKER_BOOK_COLLECTION_62,,sc/hud_sticker_book.sc,generic_9decos_valentines,,,,2026,23,,Puppie surprise,Cotton candy cart,Friendship bracelets,Puppy mail,Disco tile,Cupid practice,Teddy love,Animal paper fence,Valentine's pedestal,,,,,,,,,,,
Collection63,TID_DECO_STICKER_BOOK_COLLECTION_63,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2026,,,Fireworks vendor,Lunar obstacle,Trophy shelf,Fireworks selection,Snake dance,Dragon paddling pool,,,,,,,,,,,,,,
Collection64,TID_DECO_STICKER_BOOK_COLLECTION_64,,sc/hud_sticker_book.sc,generic_9decos_neutral,,,,2026,,,Crescent picnic,Crescent Arch,Crescent Fountain,Crescent tent,Crescent swing,Crescent fence,Ramadan fence,Moon lanterns,Ramadan Table,,,,,,,,,,,
Collection65,TID_DECO_STICKER_BOOK_COLLECTION_65,,sc/hud_sticker_book.sc,generic_9decos_neutral,,,,2026,,,Her park,Her code,Soul Icon,Flowery hedge,Justice Icon,Artistic Icon,Fashion Icon,Egyptian Icon,Science Icon,,,,,,,,,,,
Collection66,TID_DECO_STICKER_BOOK_COLLECTION_66,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2026,,,Festival of colors,Pigment piles,Pigment path,Colorful dance,Festival treats,Festival chair,,,,,,,,,,,,,,
Collection67,TID_DECO_STICKER_BOOK_COLLECTION_67,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2026,,,Artistic Icon,Science Icon,Fashion Icon,Her swing,Monument of her,Her journey,,,,,,,,,,,,,,
Collection68,TID_DECO_STICKER_BOOK_COLLECTION_68,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2026,,,Wooden letter A,Wooden letter H,Wooden letter Y,Wooden letter A,Wooden letter Y,Wooden letter D,,,,,,,,,,,,,,
Collection69,TID_DECO_STICKER_BOOK_COLLECTION_69,,sc/hud_sticker_book.sc,generic_9decos_spring,,,,2026,17,,Chocolatier,Spring lounge chair,Pink bow tree,Green bow tree,Chocolate tile,Chocolate statue,Easter stand,Bunny Trampoline,Carrot Heist,,,,,,,,,,,
Collection70,TID_DECO_STICKER_BOOK_COLLECTION_70,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2026,27,,Bunny pond,Eggspected guest,Sow much fun,Hay fever,Flower crown,Uneggspected gift,Mud madness,Cart delivery,Eggstra surprise,Splash exchange,Farm path,Garden chess,,,,,,,,
Collection71,TID_DECO_STICKER_BOOK_COLLECTION_71,,sc/hud_sticker_book.sc,collection_special_chicks,,,,2026,,,Chickzilla,TNTilly,Sneaky beaks,Tiny Tom,Beaktiste,Capy cowboy,Great hatchini,,,,,,,,,,,,,
Collection72,TID_DECO_STICKER_BOOK_COLLECTION_72,,sc/hud_sticker_book.sc,collection_chicks,,,,2026,,,Chickzilla,TNTilly,Sneaky beaks,Tiny Tom,Beaktiste,Capy cowboy,Great hatchini,Sow much fun,Hay fever,Flower crown,,,,,,,,,,
Collection73,TID_DECO_STICKER_BOOK_COLLECTION_73,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2026,,,Prospector pond,Playful chase,Azure wisteria,Wildflower patch,Creek,Stacked rock,Dark hellebores,Large longleaf pine,Medium longleaf pine,Small longleaf pine,Scaly juniper,White grape hyacinth,,,,,,,,
Collection74,TID_DECO_STICKER_BOOK_COLLECTION_74,,sc/hud_sticker_book.sc,generic_9decos_summer,,,,2026,,,River cleanup,Beach cleanup,Upcycled swordfish,Recycling truck,Bottle upcycling,Upcycled bottle fence,Sorting station,Cleanup Crew,Green gold,,,,,,,,,,,
Collection75,TID_DECO_STICKER_BOOK_COLLECTION_75,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2026,,,Weeping cherry,Wisteria bridge,Wisteria pagoda,Bamboo forest,Flower shrine,Wisteria fence,,,,,,,,,,,,,,
Collection76,TID_DECO_STICKER_BOOK_COLLECTION_76,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2026,,,Lantern temple,Mask stand,Carp stream fence,Azalea,Flower field,Lantern procession,,,,,,,,,,,,,,
Collection77,TID_DECO_STICKER_BOOK_COLLECTION_77,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2026,,,Woolly shuffle,Lamb topiary,Nursery fence,Tender care,Woolly rest,Nursing Icon,,,,,,,,,,,,,,
Collection78,TID_DECO_STICKER_BOOK_COLLECTION_78,,sc/hud_sticker_book.sc,generic_9decos_spring,,,,2026,,,Eggspressive minds,Peaceful pond,Counting lambs,Peaceful meadow,Finding balance,Songbird pond,Peaceful bench,Water wheel,Creek,,,,,,,,,,,
Collection79,TID_DECO_STICKER_BOOK_COLLECTION_79,,sc/hud_sticker_book.sc,generic_9decos_spring,,,,2026,,,Yellow tecoma,Red tecoma,Pink tecoma,Magenta bougainvillea,Yellow bougainvillea,Purple bougainvillea,White rhododendron,Pink rhododendron,Purple rhododendron,,,,,,,,,,,
Collection80,TID_DECO_STICKER_BOOK_COLLECTION_80,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2026,,,Festival ride,Fan meetup,Festival stage,Festival tent,Festival lights,Festival gate,Festival photo op,Country dancers,Line dancer,Festival vendor,Large haybale bench,Festival floor tile,,,,,,,,
Collection81,TID_DECO_STICKER_BOOK_COLLECTION_81,,sc/hud_sticker_book.sc,generic_9decos_spring,,,,2026,,,First aid training,Scout headquarters,Camp entrance,Selling cookies,Bugle call,Gate guardians,Bird watchtower,Lookout tower,Rafting gear,,,,,,,,,,,
Collection82,TID_DECO_STICKER_BOOK_COLLECTION_82,,sc/hud_sticker_book.sc,generic_9decos_summer,,,,2026,,,WonderTree,Flowerlog,Timeless magnolia,PoincianaTree,Flowerlog,Paw prints,Yellow camellia,Tropical tile,Wild flowers,,,,,,,,,,,
Collection83,TID_DECO_STICKER_BOOK_COLLECTION_83,,sc/hud_sticker_book.sc,generic_6decos_summer,,,,2026,,,Alpaca agility,Pamper pen,Alpaca feeder,Alpaca lounge,Alpaca fluff,Siesta stool,,,,,,,,,,,,,,
Collection84,TID_DECO_STICKER_BOOK_COLLECTION_84,,sc/hud_sticker_book.sc,collection_musical_13decos,,,,2026,,,Cactus key,Banjo key,Sunflower key,Notes key,Balloon key,Microphone key,Puppy key,Wheel key,Guitar key,Drum key,Rock key,Truck key,,,,,,,,
Collection85,TID_DECO_STICKER_BOOK_COLLECTION_85,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2026,,,Mail coach,Western post office,Rodeo,Card game fence,Western table,Trading post,Piano player,Milk wagon,Wagon wheels,Long days rest,Milk bar,Western saloon,,,,,,,,
Collection86,TID_DECO_STICKER_BOOK_COLLECTION_86,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2026,23,,Purple wood spurge,Split-leaf philodendron,Croton,Iresine,Persian shield,Bird of paradise,Festive pirate ship,Seagull's nest,Beach corals,Tropical stand,Tropical picnic,Tropical fence,,,,,,,,
Collection87,TID_DECO_STICKER_BOOK_COLLECTION_87,,sc/hud_sticker_book.sc,generic_9decos_summer,,,,2026,,,Barn bounce,Minigolf fence,Minigolf sign,Minigolf rentals,Minigolf practice track,Capybara curve,Ghostly gap,Sandy spin,Independent gnome,,,,,,,,,,,
Collection88,TID_DECO_STICKER_BOOK_COLLECTION_88,,sc/hud_sticker_book.sc,generic_9decos_summer,,,,2026,,,Feathered rapids,Garden guesthouse,Fieldflower patch,Puddle path,Tent defence,Alpine blossom,Rusty flower pot,Feathered gathering,Flowerbed_1,,,,,,,,,,,
Collection89,TID_DECO_STICKER_BOOK_COLLECTION_89,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2026,23,,Chick nursery,Donkey curtsy,Dog agility course,Princess treatment,Can of kittens,Tropical playground,Guinea pig castle,Bunny bath,Cardboard fun,Big stick,Stylish haircut,Tortoise corner,,,,,,,,
Collection90,TID_DECO_STICKER_BOOK_COLLECTION_90,,sc/hud_sticker_book.sc,generic_6decos_neutral,,,,2026,,,Giant panda lantern,Panda platforms,Bamboo lunch,Panda snooze,Panda climbing post,Cute sneeze,,,,,,,,,,,,,,
Collection91,TID_DECO_STICKER_BOOK_COLLECTION_91,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2026,,,Valley trophy Liberty,Valley trophy Pig tower,Valley trophy Desert dog,Valley trophy France Tower,Valley trophy Brazil Statue,Valley China,Valley Greece,Tuk Tuk stand,Valley Mexico,Valley Peru,Valley Marocco,Peaceful place,,,,,,,,
Collection92,TID_DECO_STICKER_BOOK_COLLECTION_92,,sc/hud_sticker_book.sc,generic_12decos_neutral,,,,2026,23,,Harvest shelter,Hay wagon,Corn thresher,Hay bale bear,Harvest trailer,Pig paradise,Farm hands lunch,Fieldstone fence,Fieldstone path,Farm windmill,Plowed field,Plow,,,,,,,,
Collection93,TID_DECO_STICKER_BOOK_COLLECTION_93,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection94,TID_DECO_STICKER_BOOK_COLLECTION_94,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection95,TID_DECO_STICKER_BOOK_COLLECTION_95,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
Collection96,TID_DECO_STICKER_BOOK_COLLECTION_96,,sc/hud_sticker_book.sc,collection_6,,,,2026,,TRUE,,,,,,,,,,,,,,,,,,,,
