Name,ExportName,FileName,TileWidth,TileHeight,TapSound,MinStayTimeRandomAddMinutes,MaxStayTimeRandomAddMinutes,MaxSharedCrates,MaxSharedExtraNeighborhoodCrates,MovingTime,MovingTimeSpeededUp,BlackLists
,,,,,,,,,,,,"Carrot Pie,Pumpkin Pie,Bacon Pie,Fish Pie,Apple Pie,Feta Pie,Casserole,Shepherds Pie,Lemon Pie,Peach Tart,Eggplant Parmesan,Chocolate Pie,Passion Fruit Pie,Mushroom Pot Pie,Asparagus Quiche,Gift_Box3"
,,,,,,,,,,,,"Pancakes,Bacon and Eggs,Hamburger,Fishburger,Roasted Tomatoes,Baked Potato,Fish and Chips,Lobster Skewer,Grilled Onion,BananaPancakes,Grilled Eggplant,FishSkewer,Garlic bread,Roast veggies,Stuffed Bellpeppers,Grilled Asparagus,Gift_Box2,Grilled Lamb Skewer"
,,,,,,,,,,,,"VeggieBagel,BLTToast,EggSandwich,Honey Toast,Goat Cheese Toast,Onion melt,Cucumber Sandwich,PBJ Sandwich,Hummus Wrap"
,,,,,,,,,,,,"SoySauce,OliveOil,Mayonaise,Lemon Curd,Tomato Sauce,Salsa,Olive Dip,Hummus"
,,,,,,,,,,,,"BerrySmoothie,GreenSmoothie,YogurtSmoothie,MixedSmoothie,Cocoa smoothie,PlumSmoothie,Cucumber Smoothie,SesameSmoothie,TropicalSmoothie"
,,,,,,,,,,,,"Lobster Soup,Tomato Soup,Fish Soup,Noodle Soup,Pumpkin Soup,Onion Soup,PotatoSoup,PepperSoup,Broccoli Soup,MushroomSoup,Cabbage Soup,Asparagus Soup"
,,,,,,,,,,,,"SushiRoll,LobsterSushi,EggRoll,SoySauce,Big sushi roll,Rice Ball"
,,,,,,,,,,,,"Taco,Fish Taco,Quesadilla,Nachos,Spicy Bean Taco"
,,,,,,,,,,,,"Lemon,Lemon Tea,Lemon Curd,Lemon Candle,Pasta Salad,Lemon Pie,Lemon Cake,Olive Dip,Lemon essential oil"
,,,,,,,,,,,,"Orange,Orange Tea,Marmelade,Orange Sorbet,Orange Juice,MixedSmoothie"
,,,,,,,,,,,,"Peach,Ice Tea,Peach Ice Cream,Peach Jam,Peach Tart,MixedSmoothie"
,,,,,,,,,,,,"Apple,Apple Jam,Caramel Apple,Apple Juice,Apple Pie,Honey Apple Cake,GingerTea,Gift_Box1"
,,,,,,,,,,,,"Blackberry,Blackberry Jam,Blackberry Muffin,BerrySmoothie,Berry Juice,Fruit Salad,Jelly Beans,BananaPancakes,Flower Shawl"
,,,,,,,,,,,,"Cherry,Cherry Jam,Cherry Juice,Berry Cake,YogurtSmoothie,Cherry Popsicle,Fruitcake,Gift_Box2_24,Gift_Box4"
,,,,,,,,,,,,"Cacao,Chocolate Popcorn,Hot Chocolate,Mocha,Raspberry Mocha,Chocolate,Chocolate Cake,Chocolate Ice Cream,Cocoa smoothie,MintIcecream,Fried Candy,Peanut Butter Milkshake,Chocolate Roll,Chocolate Pie,Gift_Box3_24"
,,,,,,,,,,,,"Coffee,Espreso,Latte,Mocha,Raspberry Mocha,BananaLatte,Caramel latte,Affogato"
,,,,,,,,,,,,"Olive,OliveOil,Pasta Salad,Mayonaise,Corn Dog,GreekSalad,VeggieBagel,Olive Dip,PepperSoup,Meat fondue,Spicy fish,Coleslaw,Lemon Lotion,Canned Fish"
,,,,,,,,,,,,"Raspberry,Raspberry Jam,Raspberry Muffin,Jelly Beans,Berry Cake,Berry Juice,BerrySmoothie,Raspberry Candle,Violet Dress,YogurtSmoothie,Raspberry Mocha,SunHat,Fancy Cake,Filled donut,Gift_Box1_24"
,,,,,,,,,,,,"Duck Down,Pillow,Blanket,TopHat,SunHat"
,,,,,,,,,,,,"Lobster Meat,Frutti di Mare Pizza,Lobster Skewer,Lobster Pasta,SeafoodSalad,LobsterSushi"
,,,,,,,,,,,,"Goat Milk,Goat Cheese,Tomato Soup,Potato Feta Cake,GreekSalad,Summer Salad,Feta Pie,Goat Cheese Toast,MushroomPasta,Beetroot salad,Gift_Box4,Tower Doner Supreme"
,,,,,,,,,,,,"Wool,ClocheHat,SunHat,Sweater,Blue Woolly Hat,Blue Sweater,Red Scarf,Wooly Pants,Flower Shawl,Gift_Box1"
,,,,,,,,,,,,"Bread,Hamburger,Fishburger,Onion Dog,Onion Soup,Hot Dog,VeggieBagel,BLTToast,EggSandwich,Honey Toast,Goat Cheese Toast,Cucumber Sandwich,Garlic bread,Lamb Doner Wrap"
,,,,,,,,,,,,"Tomato,Roasted Tomatoes,Tomato Juice,Tomato Soup,Lamb Doner Wrap"
,,,,,,,,,,,,"Milk,Frutti di Mare Pizza,Baked Potato,Carrot Cake,Birthday Cake,Cheese Cake,Lemon Cake,Chocolate,Latte,Hot Chocolate,Vanilla Ice Cream,Strawberry Ice Cream,Chocolate Ice Cream,Casserole,Lasagna,Butter Popcorn,Grilled Onion,Peach Ice Cream,Lobster Soup,Fish Soup,Quesadilla,Milk Tea,Chocolate Cake,Toffee,Cream,Butter,Cheese,Vanilla Ice Cream,Strawberry Ice Cream,Chocolate Ice Cream,YogurtSmoothie,Pizza,Spicy Pizza,Berry Cake,Strawberry Cake,Mocha,Raspberry Mocha,Hot Chocolate,Honey Toast,Lemon Curd,Peach Tart,Pumpkin Soup,Onion Soup,Nachos,Potato Bread,Baked Potato,Gnocchi,Lobster Pasta,BananaPancakes,BananaLatte,BananaSplit,PotatoSoup,MintIcecream,VeggieDip,Eggplant Parmesan,Broccoli Mac,SesameIceCream,MushroomSoup,Garlic bread,Fancy Cake,Cheese fondue,Chocolate fondue,Stuffed Peppers,Peanut Butter Milkshake,Stuffed Bellpeppers,Cream donut,Easter_egg1_24,Spicy Bean Doner"
,,,,,,,,,,,,"Fish Meat,Frutti di Mare Pizza,SeafoodSalad,Fish Soup,SushiRoll,Fish Taco,Fishburger,Fish and Chips,Fish Pie,Olive Dip,Big sushi roll,FishSkewer,Spicy fish,Canned Fish,Gift_Box3"
,,,,,,,,,,,,"Onion,Grilled Onion,MushroomSoup,Tofu stir fry"
,,,,,,,,,,,,"TopHat,Cotton Shirt,Wooly Pants,Violet Dress,Pillow,Blanket,Cotton Fabrics,Gracious bouquet,Veggie Bouquet,Soothing Pad"
,,,,,,,,,,,,"Raw Pasta,Lobster Pasta,Lasagna,Pasta Salad,Pasta Carbonara,Broccoli Mac,MushroomPasta"
,,,,,,,,,,,,"Rice Noodles,Noodle Soup,Summer Rolls"
,,,,,,,,,,,,"BaconSalad,SeafoodSalad,BLTToast,EggSandwich,Mayonaise,Cucumber Sandwich"
,,,,,,,,,,,,"Bacon,Corn Dog,Bacon Pie,Onion Dog,Bacon and Eggs,Hamburger,Hot Dog,BaconSalad,Taco,Casserole,Shepherds Pie,BLTToast,Pasta Carbonara,MushroomSalad,Meat fondue,Gift_Box2"
,,,,,,,,,,,,"Banana,BananaBread,BananaPancakes,BananaLatte,BananaSplit,Cocoa smoothie"
,,,,,,,,,,,,"Bright Bouquet,Rustic Bouquet,Soft Bouquet,Candy bouquet,Veggie Bouquet,Birthday Bouquet"
,,,,,,,,,,,,"Tomato Sauce,Spicy spaghetti,Lasagna,Hot Dog,Eggplant Parmesan"
,,,,,,,,,,,,"Toffee,Candy bouquet,Caramel latte,Gift_Box4_24"
,,,,,,,,,,,,"Caramel Apple,Candy bouquet"
,,,,,,,,,,,,"PlumSmoothie,Plum,PlumJam,Rice Ball"
,,,,,,,,,,,,"Salsa,Grilled Eggplant,Taco,Nachos"
,,,,,,,,,,,,"Ginger,FishSkewer,SesameBrittle,GingerTea,Ginger essential oil"
,,,,,,,,,,,,"Mushroom,FishSkewer,MushroomPasta,MushroomSalad,MushroomSoup"
,,,,,,,,,,,,"Sesame,FishSkewer,SesameBrittle,SesameIceCream,SesameSmoothie,Tofu stir fry,Lamb Stir Fry"
,,,,,,,,,,,,"Spicy fish,Fried rice,Tofu stir fry,Lamb Stir Fry"
,,,,,,,,,,,,"Cheese fondue,Meat fondue,Chocolate fondue,Tropical fondue"
,,,,,,,,,,,,"Lily,Fancy Cake,Gracious bouquet"
,,,,,,,,,,,,"Potato Bread,Cheese fondue"
,,,,,,,,,,,,"Garlic,Garlic bread,Spicy fish"
,,,,,,,,,,,,"Egg,Fried rice,Bacon and Eggs,EggRoll"
,,,,,,,,,,,,"Rice,Fried rice,EggRoll,LobsterSushi,SushiRoll,Big sushi roll,Lamb Stir Fry"
,,,,,,,,,,,,"CandiedPeanuts,Caramel Apple,Toffee,Chocolate,Lollipop,Jelly Beans,SesameBrittle,Cotton Candy,Gift_Box4_24"
,,,,,,,,,,,,"Stuffed Peppers,Loaded Fries,Hand Pies,Fried Candy,Falafel,Samosa"
,,,,,,,,,,,,"Peanut noodles,Fried rice,Tofu stir fry,Spicy fish,Lamb Stir Fry"
,,,,,,,,,,,,"Peanut noodles,PBJ Sandwich,CandiedPeanuts,Fried Candy,Peanut Butter Milkshake,Chocolate Pie,Snack Mix,Crunchy donut"
,,,,,,,,,,,,"Exfoliating Soap,Face Mask,Honey Soap,Lemon Lotion,Rich soap"
,,,,,,,,,,,,"Plain donut,Cream donut,Bacon donut,Filled donut,Crunchy donut,Sprinkles donut"
,,,,,,,,,,,,"Dried Fruit,Pickles,Canned Fish,Kimchi,Guava Compote"
,,,,,,,,,,,,"Tea Pot,Plant pot,Mug"
,,,,,,,,,,,,"Rich Fudge,Mint Fudge,Chili Fudge,Lemon Fudge,Peanut Fudge"
,,,,,,,,,,,,"Plain Yoghurt,Strawberry Yoghurt,Tropical Yoghurt,Breakfast Bowl"
,,,,,,,,,,,,"Chickpea Stew,Winter Stew,Chili Stew"
,,,,,,,,,,,,"Plain Cupcake,Tropical Cupcake,Cookie Cupcake,Guava Cupcake"
,,,,,,,,,,,,"Plain Waffles,Breakfast Waffles,Berry Waffles,Chocolate Waffles,White Chocolate Blueberry Waffle"
,,,,,,,,,,,,"Colorful omelet,Spring omelet,Cheese omelet,Rice omelet,Potato omelet"
,,,,,,,,,,,,"Asparagus,Breakfast Waffles,Grilled Asparagus,Asparagus Soup,Asparagus Quiche"
,,,,,,,,,,,,"Oats,Apple porridge,Sweet porridge,Fresh porridge,Pineapple coconut bars,Breakfast Bowl"
,,,,,,,,,,,,"Vanilla Milkshake,Mocha Milkshake,Fruity Milkshake"
,,,,,,,,,,,,"Lemon essential oil,Mint essential oil,Ginger essential oil,Fresh Diffuser,Zesty Perfume,Calming Diffuser,Chamomile essential oil"
,,,,,,,,,,,,"Mint,Mint essential oil,MintIcecream,MintTea,Chocolate Roll,Mint Fudge,PlumSmoothie,Fresh porridge"
,,,,,,,,,,,,"Fresh Diffuser,Zesty Perfume,Calming Diffuser"
,,,,,,,,,,,,"Soothing Pad,Chamomile,Chamomile essential oil,Chamomile Tea,Calming Diffuser"
,,,,,,,,,,,,"White Chocolate Blueberry Waffle,Blueberry Chutney,Blueberry,Blueberry Cheesecake,Blueberry Muffin"
,,,,,,,,,,,,"Birthday_balloon1_26,Birthday_balloon2_26,Birthday_balloon3_26,Birthday_balloon4_26,Birthday_balloon5_26,Birthday_balloon6_26,Birthday_balloon7_26,Birthday_balloon8_26,Carrot Pie,Soybean,Wheat,Raspberry Muffin,Pumpkin,Tomato Juice,Potato,Goat Cheese,Lamb Soup,Sesame,Corn,Pancakes,Milk,Blue Sweater,Carrot,Bacon,Fish Pie,Tomato,Egg,Chocolate Cake,Coffee,Bread,Cream,Corn Bread,Butter,Cookie,Bacon and Eggs,Cheese,Pumpkin Pie,Sweater,Hamburger,Bacon Pie,Blue Woolly Hat,Carrot Cake,Berry Cake,Birthday Cake,Cheese Cake,Blackberry Muffin,Fishburger,Carrot Juice,Apple Pie,Roasted Tomatoes,Apple Juice,Berry Juice,Pizza,Cherry Juice,Feta Pie,Baked Potato,Strawberry Cake,Casserole,Spicy Pizza,Potato Feta Cake,Potato Bread,Shepherds Pie,Frutti di Mare Pizza,Red Scarf,Fish and Chips,Lobster Soup,Tomato Soup,Fish Soup,Lemon Pie,Lemon Cake,Honey Apple Cake,Lobster Skewer,Pumpkin Soup,Noodle Soup,PotatoSoup,Grape Juice,Fruitcake,BananaBread,BananaPancakes,Cotton Fabrics,Grilled Onion,Orange Juice,Onion Soup,Peach Tart,Flower Shawl,PepperSoup,WatermelonLemonade,Pineapple Juice,Pineapple Cake,Broccoli Soup,Grilled Eggplant,Eggplant Parmesan,FishSkewer,MushroomSoup,Fancy Cake,Garlic bread,Roast veggies,Chocolate Pie,Stuffed Bellpeppers,Gingerbread Cookie,Chocolate Roll,Cabbage Soup,Mushroom Pot Pie,Passion Fruit Juice,Passion Fruit Pie,Mango Juice,Macaroon,Guava Juice,Pomegranate Cake,Asparagus Quiche,Asparagus Soup,Grilled Asparagus,Pineapple coconut bars,Blueberry Muffin,Blueberry Cheesecake,Grilled Lamb Skewer,Brown_Sugar"
,,,,,,,,,,,,"BlackBean,Bean Dip,Bean Salad,Spicy Bean Taco,Spicy Bean Doner"
,,,,,,,,,,,,"Lamb Doner Wrap,Spicy Bean Doner,Tower Doner Supreme"
,,,,,,,,,,,,"Lamb Meat,Grilled Lamb Skewer,Tower Doner Supreme"
,,,,,,,,,,,,"Grilled Lamb Skewer,Lamb Stir Fry,Lamb Doner Wrap"
