Name,RepeatCount,Cost
ProductionGroup2_Bucket2,1,5
,2,8
,3,12
,4,16
,5,23
,6,32
,7,45
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
ProductionGroup2_Bucket3,1,5
,2,9
,3,13
,4,18
,5,25
,6,35
,7,49
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
CropGroup3_Bucket1,1,3
,2,5
,3,7
,4,10
,5,15
,6,23
,7,34
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
CropGroup3_Bucket2,1,3
,2,6
,3,9
,4,14
,5,21
,6,32
,7,47
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
CropGroup3_Bucket3,1,3
,2,8
,3,12
,4,18
,5,27
,6,41
,7,50
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
AnimalGroup3_Bucket1,1,6
,2,8
,3,11
,4,15
,5,22
,6,30
,7,42
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
AnimalGroup3_Bucket2,1,6
,2,10
,3,14
,4,19
,5,26
,6,37
,7,50
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
AnimalGroup3_Bucket3,1,6
,2,11
,3,15
,4,22
,5,30
,6,42
,7,50
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
ProductionGroup3_Bucket1,1,7
,2,10
,3,14
,4,20
,5,29
,6,42
,7,50
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
ProductionGroup3_Bucket2,1,7
,2,12
,3,17
,4,24
,5,35
,6,50
,7,50
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
ProductionGroup3_Bucket3,1,7
,2,13
,3,18
,4,26
,5,38
,6,50
,7,50
,8,50
,9,50
,10,50
,11,50
,12,50
,13,50
,14,50
,15,50
,16,50
,17,50
,18,50
,19,50
,20,50
